request_word,request_lang,request_pos,request_ipa,request_ipa_formatted,request_word_en,response_word,response_lang,response_pos,response_ipa,response_ipa_formatted,response_word_en
split,en,verb,/ˈspɫɪt/,bʏb,split,blik,is,verb,/plɪːk/,bʏb,blink
协调,zh-cn,verb,/ɕjɛ˧˥ tʰjɑʊ˧˥/,œɑʊ,coordination,närvaro,sv,noun,/²n'ɛːrvɑːrʊ/,œɑʊ,presence
bingung,id,adjective,/biŋuŋ/,yum,confused,lígnum,es,verb,/ˈliɣnum/,yum,lick
朗らか,ja,adjective,/hogaɾaka/,oɶɶɶ,Cheerfulness,哗啦哗啦,zh-cn,noun,/xwa˥˥ la˥˥ xwa˥˥ la˥˥/,ɶɶɶɶ,哗
ridinda,eo,adjective,/ridinda/,yymɶ,ridiculous,キリン科,ja,noun,/kiɾiɴka/,yymɶ,Giraffe family
ludicrous,en,adjective,/ˈɫudəkɹəs/,uəəb,ludicrous,mutetet,de,verb,/ˈmuːtətət/,uəəb,mutet
不安,zh-cn,verb,/pu˥˩ an˥˥/,uɶm,disturbed,boucane,fr,noun,/bukan/,uɶm,boucane
disturbed,en,verb,/dɪˈstɝbd/,ʏbəbb,disturbed,mitgebt,de,verb,/mɪtgəˈpt/,ʏbəbb,fitting
gestört,de,verb,/gəˈʃtœɾt/,əœb,disturbed,abbett,en,noun,/əˈbɛt/,əœb,abbett
乱れる,ja,verb,/midaɾeɾɯ/,yɶøu,Be disturbed,구상예술,ko,noun,/kusʰa̠ŋje̞sʰuɭ/,uɶøu,Flag Art
multiply,en,verb,/ˈməɫtəˌpɫaɪ/,əəɶʏ,multiply,文摘,zh-cn,noun,/uən˧˥ ʈʂaɪ˥˥/,uəɶʏ,Abstract
multiplizieren,de,verb,/mʊltɪpliˈtsiːɾen/,ʊbʏbybyøm,multiply,化石類人猿,ja,noun,/kasekiɾɯidʑiɴeɴ/,ɶøyuybyøm,Fossil monkeys
곱하다,ko,verb,/ko̞pʰa̠da̠/,oɶɶ,multiply,au passage,fr,noun,/opasaʒ/,oɶɶ,in the way
majestic,en,adjective,/məˈdʒɛstɪk/,əœbʏb,majestic,Begräbnis,de,noun,/bəˈɡʀɛːpnɪs/,əœbʏb,funeral
menghargai,id,verb,/məŋhargai/,əɶɶy,appreciate,akapari,eo,adjective,/akapari/,ɶɶɶy,oappropriate
欣赏,zh-cn,verb,/ɕɪn˥˥ ʂɑŋ˨˩˦/,ʏɑm,enjoy,persian,sv,adjective,/päʂɪ'ɑːn/,ʏɑm,Persian
schätzen,de,verb,/ˈʃɛtsən/,œbəm,estimate,beckman,en,noun,/ˈbɛkmən/,œbəm,beckman
평가하다,ko,verb,/pʰjʌ̹ŋɡa̠ɦa̠da̠/,ɔmɶɶɶ,Evaluate,abaluartaba,es,verb,/aβalwaɾtaβa/,ɶɶɶɶɶ,Abaluartaba
選ぶ,ja,verb,/eɾabɯ/,øɶu,Choose,berceanu,ro,noun,/bertʃ̩anu/,øɶu,Berceanu.
选择,zh-cn,verb,/ɕɥœn˨˩˦ tsɤ˧˥/,œmbo,select,냉초,ko,noun,/nɛ̝ŋt͡ɕʰo̞/,œmbo,Cold heat
wählen,de,verb,/ˈvɛːlən/,œəm,choose,仙人,zh-cn,noun,/ɕjɛn˥˥ ʐən˧˥/,œəm,Cactus
고르다,ko,verb,/ko̞ɾɯda̠/,ouɶ,Choose,Châu Phú A,vi,noun,/cɤ̆w˧˥ fu˩˧ a˧˥/,ouɶ,Chau Phu A
memilih,id,verb,/məmilih/,əyy,choose,侄女婿,zh-cn,noun,/ʈʂɚ˧˥ ny˨˩˦ ɕy˥˩/,əyy,Niece
hampa,id,adjective,/hampa/,ɶmɶ,Hampa,あんだ,ja,noun,/aɴda/,ɶmɶ,Hits
空虚,zh-cn,verb,/kʰʊŋ˥˥ ɕy˥˥/,ʊmy,emptiness,Dummy,de,noun,/ˈdʊmmy/,ʊmy,Dummy
loud,en,adjective,/ˈɫaʊd/,ɶʊb,loud,abrutscht,de,verb,/ˈʔapˌɾʊʧt/,ɶʊb,slip
keras,id,adjective,/kəras/,əɶb,hard,băgat,ro,verb,/bəɡat/,əɶb,involved
laŭta,eo,adjective,/lauta/,ɶuɶ,loud,７日,ja,noun,/nanɯka/,ɶuɶ,Seven days
繰り返す,ja,verb,/kɯɾikaesɯ/,uyɶøu,repeat,acerateriu,ro,adjective,/atʃeraterju/,ɶøɶøu,aceraterium
repeat,en,verb,/ɹiˈpit/,yyb,repeat,bilis,es,adjective,/bilis/,yyb,bile
ulang,id,verb,/ulaŋ/,uɶm,Repeat,brúnan,is,adjective,/pruːnan/,uɶm,brown
반복,ko,verb,/pa̠nbo̞k̚/,ɶmob,repeat,banloc,ro,noun,/banlok/,ɶmob,Banloc
