word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
لوح,ar,/lawwaħa/,ɶɶɶ,Stomach,お腹,brouillassa,fr,/bʁujasa/,buɶɶ,Brouillassa,Brouillassa,kyaku,ɶɶ,noun,3
cantină,ro,/kantinə/,ɶmyə,canteen,食堂,mannlífsins,is,/manlifsɪns/,ɶmybʏmb,human life,人間の生活,to,my,noun,3
Kantine,de,/kanˈtiːnə/,ɶmyə,canteen,食堂,annuité,fr,/anɥite/,ɶmyø,annuity,年金,to,my,noun,3
espiral,es,/espiɾal/,øbyɶb,spiral,螺旋,メジロ,ja,/medʑiɾo/,øbyo,White -eye,メジロ,to,by,noun,3
حلزوني,ar,/ħalazuːnijj/,ɶɶuy,spiral,螺旋,欲取故予,zh-cn,/y˥˩ tɕʰy˨˩˦ ku˥˩ y˨˩˦/,ybbyuy,Want to take for a reason,理由のために受けたい,kyaku,uy,verb,4
マカダミア,ja,/makadamia/,ɶɶɶyɶ,Macadamia,マカダミア,وسأستضلع,ar,/wasaʔastadˤliʕ/,ɶɶɶbɶbyb,And I will take advantage of,そして、私は利用します,to,ɶɶ,noun,5
アラート,ja,/aɾaːto/,ɶɶo,Alert,アラート,Waschlaugen,de,/ˈvaʃlaogən/,ɶɶoəm,Wash eyes,目を洗う,to,ɶo,noun,3
hälytys,fi,/ˈhælytys/,æyyb,alarm,警報,menyetrip,id,/məɲətrip/,əəbyb,Drip,滴下,kyaku,yb,verb,3
alerta,es,/aleɾta/,ɶøɶ,alert,アラート,번뇌마,ko,/pʌ̹nnø̞ma̠/,ɔmøɶ,Defilement,汚れ,kyaku,øɶ,verb,3
pencabutan,id,/pəntʃabutan/,əmbɶuɶm,extraction,抽出,intravilan,ro,/intravilan/,ymbɶyɶm,TOWN,街,kyaku,ɶm,noun,4
abrogation,en,/ˌæbɹəˈɡeɪʃən/,æbəøʏəm,abrogation,廃止,chấp mối lương duyên,vi,/cɤ̆p˦˥ moj˩˧ lɯəŋ˧˥ jwiəŋ˧˥/,obouəmyəm,accept predestined relationship,運命づけられた関係を受け入れます,kyaku,əm,noun,4
escariador,es,/eskaɾjaðoɾ/,øbɶɶo,reamer,リーマー,générator,id,/generator/,øøɶo,generator,発生器,kyaku,ɶo,noun,4
plagiarism,en,/ˈpɫeɪdʒɝˌɪzəm/,bøʏbəʏəm,plagiarism,盗作,طيواني,ar,/tˤeɪwaːnijj/,bøʏɶy,Tayrani,タイラニ,to,øʏ,noun,3
البجع,ar,/aːlbadʒaʕ/,ɶbɶbɶb,Swallow,飲み込む,caressâtes,fr,/kaʁɛsat/,ɶœɶb,caress,愛撫,kyaku,ɶb,noun,3
pelican,ro,/pelikan/,øyɶm,pelican,ペリカン,马戏团,zh-cn,/ma˨˩˦ ɕi˥˩ tʰwan˧˥/,ɶybɶm,circus,サーカス,kyaku,ɶm,noun,3
pelícano,es,/peˈlikano/,øyɶo,pelican,ペリカン,modelator,ro,/modelator/,oøɶo,draftsman,ドラフトマン,kyaku,ɶo,adjective,4
kuperkeikka,fi,/ˈkuperˌkeikkɑ/,uøøybɑ,somersault,宙返り,suvereno,eo,/suvereno/,uøøo,sovereign,主権,to,øø,verb,4
宙返り,ja,/tɕɯɯgaeɾi/,buuɶøy,somersault,宙返り,Hrappsey,is,/r̥ahpsei/,ɶbøy,Hrappsey,hrappsey,kyaku,øy,noun,3
taikina,fi,/ˈtɑikinɑ/,ɑyyɑ,dough,生地,empirant,fr,/ɑ̃piʁɑ̃/,ɑyɑ,firing,発砲,kyaku,yɑ,verb,3
爆撃,ja,/bakɯgeki/,ɶuøy,bombing,爆撃,sädesieni,fi,/ˈsædeˌsieni/,æøyøy,beam,ビーム,kyaku,øy,noun,4
pengeboman,id,/pəŋəboman/,əəoɶm,bombing,爆撃,basulto,en,/bəˈsəɫtoʊ/,əəoʊ,basulto,basulto,to,əo,noun,4
bombardement,fr,/bɔ̃baʁdəmɑ̃/,ɔɶbəɑ,bombing raid,爆撃,tonhaltiger,de,/ˈtɔnaltɪgɐ̯/,ɔɶbʏɐ,tone -containing,トーン - コンテンネーション,to,ɶb,noun,4
bombardeo,es,/bombaɾðeo/,omɶøo,bombing,爆撃,cân đai áo mão,vi,/kɤ̆ŋ˧˥ daj˧˥ aw˩˧ maw˧˩˨/,omɶɶɶ,Weigh the Rabbit,ウサギの重さ,to,mɶ,noun,4
コーデュロイ,ja,/koːdejɯɾoi/,oøuoy,Corduroy,コーデュロイ,Erkenntnistheorie,de,/ʔɛɐ̯ˈkɛntnɪsteoˌʀiː/,œɐœmbʏbøoy,Epistemology,認識論,kyaku,oy,noun,5
眉毛,zh-cn,/meɪ˧˥ mɑʊ˧˥/,øʏɑʊ,Eyebrow,眉,ceballos,en,/seɪˈbɑɫoʊz/,øʏɑoʊb,ceballos,セボロス,to,ʏɑ,verb,3
Anliegen,de,/ˈʔanˌliːgən/,ɶmyəm,Issue,問題,lancino,es,/lanθino/,ɶmyo,Lancino,ランチーノ,to,my,noun,3
koskea,fi,/ˈkoskeɑ/,obøɑ,concern,懸念,コッテージ,ja,/kotːeːdʑi/,obøby,cottage,コッテージ,to,bø,noun,3
kekhawatiran,id,/kəʔhawatiran/,əbɶɶyɶm,concern,懸念,家族団らん,ja,/kazokɯdaɴɾaɴ/,ɶouɶmɶm,Family group,家族団らん,kyaku,ɶm,noun,5
inquietud,es,/iŋkjetuð/,ymbøub,concern,懸念,bơi dai sức,vi,/bɤj˧˥ jaj˧˥ ʂɯk˦˥/,oɶub,swimming,水泳,kyaku,ub,noun,3
الاهتمام,ar,/aːlihtimaːm/,ɶyyɶm,interest,興味,penébaran,id,/pənebaran/,əøɶɶm,Penébaran,ペネバラン,kyaku,ɶm,noun,4
étalon,fr,/etalɔ̃/,øɶɔ,standard,標準,tế bào học,vi,/te˩˧ baw˦˨ hɔk͡p˨ˀ˩ʔ/,øɶɔbbb,cytology,細胞学,to,ɶɔ,noun,3
スタッド,ja,/sɯtadːo/,uɶbo,stud,スタッド,magiisto,eo,/magiisto/,ɶyybo,Magician,魔術師,kyaku,bo,noun,3
kukkainen,fi,/ˈkukkɑinen/,ubɑyøm,floral,花,malicien,es,/maliθjen/,ɶybøm,Malicien,マリシエン,kyaku,øm,noun,3
flowery,en,/ˈfɫaʊɝi/,bɶʊəy,flowery,花のような,Sprachumfangs,de,/ˈʃpɾaxʊmfaŋs/,bɶʊmɶmb,Speech,スピーチ,to,ɶʊ,noun,3
منمق,ar,/munammaq/,uɶmɶb,embellished,装飾,야트막,ko,/ja̠tʰɯma̠k̚/,ɶbuɶb,Yatmak,ヤトマック,kyaku,ɶb,noun,3
înflorit,ro,/ɨnflorit/,ʉmboyb,blooming,咲く,mendidik,id,/məndidiʔ/,əmyyb,educate,教育する,kyaku,yb,verb,3
エキス,ja,/ekisɯ/,øyu,extract,エキス,ĉi tiu,eo,/t͡ʃi tiu/,byyu,this one,これです,kyaku,yu,noun,3
