word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
スリッパ,ja,slipper,スリッパ,/sɯɾipːa/,uybɶ,uy
أوركسترا,ar,orchestra,オーケストラ,/ʔuːrkistraː/,uybbɶ,uy
juliste,fi,poster,ポスター,/ˈjuliste/,uybø,uy
フリント,ja,Flint,フリント,/ɸɯɾiɴto/,uymo,uy
ruipelo,fi,scrawny,scrowny,/ˈruipelo/,uyøo,uy
クリート,ja,Cleat,クリート,/kɯɾiːto/,uyo,uy
bousiller,fr,scrub,スクラブ,/buzije/,uyø,uy
グリース,ja,Grease,グリース,/gɯɾiːsɯ/,uyu,uy
bullicio,es,bustle,bus騒,/buʎiθjo/,uybo,uy
nurmikko,fi,lawn,芝生,/ˈnurmikko/,uybo,uy
música,es,music,音楽,/ˈmusika/,uyɶ,uy
musiikki,fi,music,音楽,/ˈmusiikki/,uyyby,uy
Uniform,de,uniform,ユニフォーム,/ˈuːnifɔʁm/,uyɔbm,uy
スリップ,ja,slip,スリップ,/sɯɾipːɯ/,uybu,uy
不思議,ja,wonder,不思議,/ɸɯɕigi/,uyy,uy
usia,id,age,年,/usia/,uyɶ,uy
lulilo,eo,cradle,ゆりかご,/lulilo/,uyo,uy
スリル,ja,thrill,スリル,/sɯɾiɾɯ/,uyu,uy
ブリトー,ja,Brito,ブリトー,/bɯɾitoː/,uyo,uy
グリップ,ja,grip,グリップ,/gɯɾipːɯ/,uybu,uy
burtică,ro,tummy,おなか,/burtikə/,uyə,uy
músicos,es,musicians,ミュージシャン,/ˈmusikos/,uyob,uy
vũ sĩ đạo,vi,dance,ダンス,/ju˧˩˨ ʂi˧˩˨ daw˨ˀ˩ʔ/,uyɶb,uy
kuria,id,curia,キリア,/kuria/,uyɶ,uy
sous-titrée,fr,subtitles,字幕,/sutitʁe/,uybø,uy
như đỉa đói,vi,like a hungry leech,空腹のヒルのように,/ɲɯ˧˥ diə˧˩˨ dɔj˩˧/,uyəɔ,uy
Vũ Đình Dung,vi,Vu Dinh Dung,Vu Dinh Dung,/ju˧˩˨ din˦˨ juŋ͡m˧˥/,uymumm,uy
gúmmítrén,is,rubber tree,ゴムの木,/kumitʰrjɛːn/,uybœm,uy
أوبيرا,ar,Opera,オペラ,/ʔuːbiːraː/,uyɶ,uy
كوليرا,ar,cholera,コレラ,/kuːliːraː/,uyɶ,uy
무리매,ko,Mirimae,ミリマー,/muɾimɛ̝/,uyœ,uy
cutiuță,ro,small box,ちいさな箱,/kutiutsə/,uyubə,uy
bouturions,fr,buttons,ボタン,/butyʁjɔ̃/,uybɔ,uy
outillage,fr,tools,ツール,/utijaʒ/,uyɶ,uy
furie,ro,anger,怒り,/furije/,uyø,uy
punidos,es,Punidos,プニドス,/puniðos/,uyob,uy
무인고도,ko,Altitude,高度,/muinɡo̞do̞/,uymoo,uy
スリーブ,ja,sleeve,スリーブ,/sɯɾiːbɯ/,uyu,uy
Studienplans,de,Study plan,研究計画,/ˈʃtuːdiːnplans/,uymbɶmb,uy
suleyman,en,suleyman,スーリーマン,/ˈsuɫimən/,uyəm,uy
奴隶主,zh-cn,Slave,奴隷,/nu˧˥ li˥˩ ʈʂu˨˩˦/,uyu,uy
