word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
pembungkus,id,wrapping,ラッピング,/pəmbuŋkus/,əmumub,əm
bencana,id,disaster,災害,/bəntʃana/,əmbɶɶ,əm
penggali,id,digger,掘り,/pəŋgali/,əmɶy,əm
bendungan,id,dam,ダム,/bənduŋan/,əmuɶm,əm
compassion,en,compassion,思いやり,/kəmˈpæʃən/,əmæəm,əm
compliance,en,compliance,コンプライアンス,/kəmˈpɫaɪəns/,əmbɶʏəmb,əm
tentara,id,soldier,兵隊,/təntara/,əmɶɶ,əm
mendesah,id,hiss,ヒス,/məndəsah/,əməɶ,əm
contagion,en,contagion,伝染,/kənˈteɪdʒən/,əmøʏbəm,əm
condition,en,condition,調子,/kənˈdɪʃən/,əmʏəm,əm
menteri,id,minister,大臣,/məntəri/,əməy,əm
antkowiak,en,antkowiak,アントコビアック,/əntˈkaʊiæk/,əmbɶʊyæb,əm
renouassions,fr,renewal,リニューアル,/ʁənwasjɔ̃/,əmɶbɔ,əm
Bentley,de,Bentley,ベントレー,/bəˈntlae/,əmbɶø,əm
hungerfords,en,hungerfords,ハンガーフォード,/ˈhəŋɡɝfɝdz/,əməəbb,əm
dănțuire,ro,Dent,凹み,/dəntsuire/,əmbuyø,əm
lămbuitor,ro,hut,小屋,/ləmbuitor/,əmuyo,əm
șănțurel,ro,Șănturel,șunturel,/ʃəntsurel/,əmbuøb,əm
Benetton,de,Benetton,ベネトン,/bəˈnkɛtoːn/,əmœom,əm
赈灾,zh-cn,Disaster relief,災害救援,/ʈʂən˥˩ tsaɪ˥˥/,əmbɶʏ,əm
Gendarmen,de,Gendarmen,ジェンダームン,/gəˈndaɾmən/,əmɶəm,əm
