word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme
nobody,en,nobody,誰でもない,/ˈnoʊˌbɑˌdi/,oʊɑy
divaani,fi,divan,ディバン,/ˈdivɑɑni/,yɑɑy
titaani,fi,titanium,チタン,/ˈtitɑɑni/,yɑɑy
piisami,fi,muskrat,マスカラット,/ˈpiisɑmi/,yyɑy
ritari,fi,knight,騎士,/ˈritɑri/,yɑy
tikari,fi,dagger,短剣,/ˈtikɑri/,yɑy
huijari,fi,charlatan,シャーラタン,/ˈhuijɑri/,uyɑy
kohlrabi,en,kohlrabi,コールラビ,/kɔɫˈɹɑbi/,ɔɑy
kasarmi,fi,barracks,兵舎,/ˈkɑsɑrmi/,ɑɑy
dollari,fi,dollar,ドル,/ˈdollɑri/,obɑy
sous-tendît,fr,under-sham,恥ずかしがり屋,/sutɑ̃di/,uɑy
jalopy,en,jalopy,ジャロピー,/dʒəˈɫɑpi/,bəɑy
Agadir,de,Agadir,アガディール,/ˈʔɑːgɑdiɾ/,ɑɑy
biscardi,en,biscardi,ビスカルディ,/bɪˈskɑɹdi/,ʏbɑy
mcquarrie,en,mcquarrie,McQuarrie,/məˈkwɑˌɹi/,əbɑy
graziani,/ɡɹɑziˈɑni/,graziani,グラジアーニ,bɑyɑy,en
distendis,fr,distewards,Distewards,/distɑ̃di/,ybɑy
mestari,/ˈmestɑri/,Master,主人,øbɑy,fi
vodavi,en,vodavi,Vodavi,/voʊˈdɑvi/,oʊɑy
pressentît,fr,press,押す,/pʁesɑ̃ti/,bøɑy
