word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
lokasi,id,/lokasi/,oɶy,location,位置,ổi xá lị,vi,/oj˧˩˨ sa˩˧ li˨ˀ˩ʔ/,oɶyb,guava,グアバ,to,ɶy,noun,3
طوباوي,ar,/tˤuːbaːwijj/,buɶy,Utopian,ユートピア,ancai,id,/antʃai/,ɶmbɶy,AF,af,kyaku,ɶy,adjective,3
utopique,fr,/ytɔpik/,yɔyb,Utopian,ユートピア,الأزتيك,ar,/aːlʔaztiːk/,ɶbɶbyb,Aztec,アステカ,kyaku,yb,adjective,3
kapitalisme,id,/kapitalismə/,ɶyɶybə,capitalism,資本主義,reviviscență,ro,/revivistʃentsə/,øyybbømbə,Reviviscence,reviviviscence,kyaku,bə,noun,5
capitalism,en,/ˈkæpɪtəˌɫɪzəm/,æʏəʏəm,capitalism,資本主義,铁杵磨成针,zh-cn,/tʰjɛ˨˩˦ ʈʂʰu˨˩˦ mɔ˧˥ ʈʂʰɤŋ˧˥ ʈʂən˥˥/,bœuɔoməm,Iron pestle grind into a needle,鉄の乳棒は針に粉砕します,kyaku,əm,noun,5
capitalismo,es,/kapitalizmo/,ɶyɶybo,capitalism,資本主義,æðasjúkdómum,is,/aiːðasjuːktoumʏm/,ɶyɶbubouʏm,vasculature,血管系,to,yɶ,noun,5
Kapitalismus,de,/kɑˈpiːtalɪsmʊs/,ɑyɶʏbʊb,capitalism,資本主義,catacosinos,en,/kəˌtækəˈsinoʊs/,əæəyoʊb,catacosinos,カタコシノ,kyaku,ʊb,noun,5
presencia,es,/pɾesenθja/,bøømbɶ,presence,面前,광행차,ko,/kwa̠ŋɦɛ̝ŋt͡ɕʰa̠/,bɶmœmbbɶ,Mine,私の,kyaku,bɶ,noun,3
rasisti,fi,/ˈrɑsisti/,ɑyby,racist,人種差別主義者,xanh hồ thuỷ,vi,/san˧˥ ho˦˨ tʰwi˧˩˨/,ɶmoby,Green Lake Thuy,グリーンレイクツー,kyaku,by,noun,3
racista,es,/raθista/,ɶybɶ,racist,人種差別主義者,原っぱ,ja,/haɾapːa/,ɶɶbɶ,Rattle,原っぱ,kyaku,bɶ,adjective,3
筷子,zh-cn,/kʰuaɪ˥˩ tsɯ˧/,buɶʏbu,Chopsticks,箸,đô ngự sử,vi,/do˧˥ ŋɯ˨ˀ˩ʔ ʂɯ˧˩˨/,oubu,capital,資本,kyaku,bu,noun,3
syömäpuikko,fi,/ˈsyømæˌpuikko/,yøæuybo,chopstick,箸,丸カッコ,ja,/maɾɯkakːo/,ɶuɶbo,Round parentheses,丸カッコ,kyaku,bo,noun,4
الدافع,ar,/aːldaːfiʕ/,ɶbɶyb,Motive,動かす,malfari,eo,/malfari/,ɶbɶy,to undo,元に戻すには,to,bɶy,verb,3
hebilla,es,/eβiʎa/,øyɶ,buckle,バックル,bifilar,de,/biˈfiːlaɽ/,yyɶ,bifilar,バイラー,kyaku,yɶ,verb,3
estäjä,fi,/ˈestæjæ/,øbææ,inhibitor,阻害剤,bar,sv,/bɑːr/,œbbœbʊ,bar,バー,,,noun,3
generosity,en,/ˌdʒɛnɝˈɑsəti/,bœəɑəy,generosity,寛大さ,kẻ nể người vì,vi,/kɛ˧˩˨ ne˧˩˨ ŋɯəj˦˨ ji˦˨/,œøuəy,The one who respects people,人々を尊敬する人,kyaku,əy,noun,4
générosité,fr,/ʒeneʁɔzite/,øøɔyø,generosity,寛大さ,事のついで,ja,/kotonotsɯide/,ooobuyø,In addition to things,事のついで,kyaku,yø,noun,5
generozitate,ro,/dʒenerozitate/,bøøoyɶø,generosity,寛大さ,Gefühlsduselei,de,/gəˈfylsduzelae/,əybbuøɶø,Emotion,感情,kyaku,ɶø,verb,6
generosidad,es,/xeneɾosiðað/,øøoyɶb,generosity,寛大さ,hegemonii,eo,/hegemonii/,øøoyy,hegemonii,hegemonii,to,øoy,noun,5
قطر,ar,/qatˤara/,ɶbɶɶ,Diameter,直径,debara,ro,/debara/,øɶɶ,storage closet,ストレージクローゼット,kyaku,ɶɶ,noun,3
ovario,es,/oβaɾjo/,oɶo,ovary,卵巣,planator,ro,/planator/,bɶɶo,plan,予定,kyaku,ɶo,adjective,3
卵巣,ja,/ɾaɴsoɯ/,ɶmou,Ovarian,卵巣,半成品,zh-cn,/pan˥˩ ʈʂʰɤŋ˧˥ pʰɪn˨˩˦/,ɶmombʏm,Semi -finished product,セミフィニッシュ製品,to,mo,noun,3
viiniköynnös,fi,/ˈviinikøˌynnøs/,yyyøymøb,vine,ぶどうの木,Dopingmittel,de,/ˈdoːpɪŋmɪtel/,oʏmʏøb,Doping agent,ドーピングエージェント,kyaku,øb,noun,4
