word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
potilas,fi,/ˈpotilɑs/,oyɑb,patient,忍耐強い,übertrat,de,/ˈʔyːbɛɾtɾɑt/,yœbɑb,surgeon,外科医,kyaku,ɑb,adjective,3
înnebunitor,ro,/ɨnnebunitor/,ʉmøuyo,mind-boggling,気が遠くなる,đĩa bát có khi xô,vi,/diə˧˩˨ bak˦˥ kɔ˩˧ xi˧˥ so˧˥/,yəɶbɔyo,dishes sometimes bucket,料理は時々バケツです,kyaku,yo,adjective,5
奇怪,zh-cn,/tɕʰi˧˥ kuaɪ˥˩/,bbyuɶʏ,strangeness,奇妙さ,striptease,fi,/ˈstripteˌɑse/,bbybøɑø,striptease,ストリップの,to,by,verb,3
furðulega,is,/fʏrðʏlɛɣa/,ʏʏœɶ,surprisingly,驚くべきことに,걸근대다,ko,/kʌ̹ɭɡɯndɛ̝da̠/,ɔumœɶ,Tall,高い,kyaku,œɶ,adjective,4
bizara,eo,/bizara/,yɶɶ,bizarre,奇妙な,赫剌剌,zh-cn,/xɤ˥˩ la˥˩ la˥˩/,oɶɶ,Hyuna,ヒューナ,kyaku,ɶɶ,adjective,3
colossal,en,/kəˈɫɑsəɫ/,əɑə,colossal,巨大,au temps de,fr,/otɑ̃də/,oɑə,at the time of,その時,kyaku,ɑə,noun,3
巨大,ja,/kjodai/,boɶy,Huge,巨大,محتمي,ar,/muħtamiː/,ubɶy,Inevitable,避けられない,kyaku,ɶy,adjective,3
colosal,es,/kolosal/,ooɶb,colossal,巨大,numenal,ro,/numenal/,uøɶb,numen,numen,kyaku,ɶb,noun,3
penyuluhan,id,/pəɲuluhan/,əuuɶm,counseling,カウンセリング,식물도감,ko,/ɕʰiŋmuɭdo̞ɡa̠m/,bymuoɶm,Plant illustration,植物のイラスト,kyaku,ɶm,noun,4
consiliere,ro,/konsilijere/,omyyøø,counseling,カウンセリング,三角槭,ja,/saɴkakɯkaede/,ɶmɶuɶøø,Triangle,三角槭,kyaku,øø,noun,5
Beratung,de,/bəˈɾɑːtʊŋ/,əɑʊm,advisory,アドバイザリー,كحرذون,ar,/kaħirðaʊn/,ɶyɶʊm,As a burn,火傷として,kyaku,ʊm,noun,3
カウンセリング,ja,/kaɯɴseɾiɴgɯ/,ɶumøymu,counseling,カウンセリング,datumbazo,eo,/datumbazo/,ɶumɶo,database,データベース,to,um,noun,4
hohote,ro,/hohote/,ooø,roar,ro音,molones,es,/molones/,ooøb,Mounds,マウンド,to,oø,noun,3
attendant,en,/əˈtɛndənt/,əœməmb,attendant,アテンダント,majorant,ro,/maʒorant/,ɶoɶmb,major,選考科目,kyaku,mb,adjective,3
pyhäkkö,fi,/ˈpyhækkø/,yæbø,sanctuary,聖域,稍あって,ja,/jajaatːe/,ɶɶɶbø,A little,稍あって,kyaku,bø,verb,3
汚物,ja,/obɯtsɯ/,oubu,Dirt,汚物,ngoại tâm thu,vi,/ŋwaj˨ˀ˩ʔ tɤ̆m˧˥ tʰu˧˥/,mɶbombu,Foreign systolic,外国の収縮期,kyaku,bu,noun,3
inmundicia,es,/immundiθja/,ymumybɶ,filth,汚物,différentias,fr,/difeʁɑ̃sja/,yøɑbɶ,differentia,difteria,kyaku,bɶ,noun,4
رجس,ar,/radʒisa/,ɶbyɶ,Abomination,憎むべき,malsindad,es,/malsindað/,ɶbymɶb,Marsindad,マルシンダド,to,by,noun,3
metano,es,/metano/,øɶo,methane,メタン,奈他何,zh-cn,/naɪ˥˩ tʰa˥˥ xɤ˧˥/,ɶʏbɶo,奈 他 他,奈他他,kyaku,ɶo,noun,3
upea,fi,/ˈupeɑ/,uøɑ,magnificent,壮大,obsédant,fr,/ɔpsedɑ̃/,ɔbøɑ,obsessive,強迫観念,kyaku,øɑ,adjective,3
فاخر,ar,/faːxara/,ɶɶɶ,deluxe,デラックス,速さ,ja,/hajasa/,ɶɶɶ,Speed,速さ,kyaku,ɶɶ,adjective,3
생기다,ko,/sʰɛ̝ŋɡida̠/,bœmyɶ,to happen,発生する,空き家,ja,/akija/,ɶyɶ,Vacant house,空き家,kyaku,yɶ,verb,3
percikan,id,/pərtʃikan/,əbyɶm,spark,スパーク,Trần Nguyên Đán,vi,/ʈɤ̆ŋ˦˨ ŋwiəŋ˧˥ daŋ˩˧/,ommyəmɶm,Tran Nguyen Dan,Tran Nguyen Dan,kyaku,ɶm,noun,3
ぴったり,ja,/pitːaɾi/,ybɶy,Exactly,ぴったり,미상불,ko,/misʰa̠ŋbuɭ/,ybɶmu,Unknown,わからない,to,bɶ,adjective,3
Kapuze,de,/ˈkɑːputsə/,ɑubə,Hood,フード,auttaja,fi,/ˈɑutˌtɑjɑ/,ɑubɑɑ,helper,ヘルパー,to,ub,noun,3
الخلفي,ar,/aːlxalfijj/,ɶbɶby,Rear,後方,ablatives,fr,/ablativ/,ɶbɶyb,ablative,アブリティブ,to,bɶ,adjective,3
posterior,en,/ˌpɔˈstɪɹjɝ/,ɔbʏə,posterior,後方,statische,de,/ˈʃtɑːtɪʃə/,ɑʏə,static,静的,kyaku,ʏə,adjective,3
