word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
estragón,es,/estɾaˈɣon/,øbbɶom,tarragon,タラゴン,许可证,zh-cn,/ɕy˨˩˦ kʰɤ˨˩˦ ʈʂɤŋ˥˩/,yboom,license,ライセンス,kyaku,om,noun,3
rakuuna,fi,/ˈrɑkuunɑ/,ɑuuɑ,tarragon,タラゴン,koruna,en,/kɔˈɹuˌnɑ/,ɔuɑ,koruna,コルナ,kyaku,uɑ,noun,3
ajotie,fi,/ˈɑjotie/,ɑoyø,driveway,私道,prédestiner,fr,/pʁedɛstine/,bøœbyø,predestine,プレデスチン,kyaku,yø,noun,4
résultat,fr,/ʁezylta/,øybɶ,results,結果,trung lập hóa,vi,/ʈuŋ͡m˧˥ lɤ̆p˨ˀ˩ʔ hwa˩˧/,ummobbɶ,neutralize,中和します,kyaku,bɶ,verb,3
rezulto,eo,/rezulto/,øubo,result,結果,dégourdirent,fr,/deguʁdiʁ/,øubyb,stingy,ケチ,to,ub,verb,3
cámara,es,/ˈkamaɾa/,ɶɶɶ,camera,カメラ,وأهرأ,ar,/waʔahraʔ/,ɶɶɶb,And dazzle,そして眩しい,to,ɶɶ,verb,3
hurricane,en,/ˈhəɹəˌkeɪnz/,əəøʏmb,hurricane,ハリケーン,chén bạch định,vi,/cɛŋ˩˧ bak˨ˀ˩ʔ din˨ˀ˩ʔ/,œmɶbbymb,bowl,丼鉢,kyaku,mb,noun,3
ouragan,fr,/uʁagɑ̃/,uɶɑ,hurricane,ハリケーン,Regatta,de,/ˈɾeːgatɑ/,øɶɑ,regatta,レガッタ,kyaku,ɶɑ,noun,3
허리케인,ko,/hʌ̹ɾikʰe̞in/,ɔybøym,hurricane,ハリケーン,sinonim,ro,/sinonim/,yoym,synonymous,同義語,kyaku,ym,noun,3
victorie,ro,/viktorije/,yboyø,victory,勝利,épaississez,fr,/epesise/,øøyø,thicken,厚くします,kyaku,yø,noun,4
이기다,ko,/iɡida̠/,yyɶ,win,勝つ,bifilar,de,/biˈfiːlaɽ/,yyɶ,bifilar,バイラー,kyaku,yɶ,verb,3
Tablette,de,/tablkɛtə/,ɶbbœə,tablet,タブレット,saltpétur,is,/sal̥tpjɛtʏr/,ɶbbbœʏ,salt,塩,to,bb,noun,3
tabletti,fi,/ˈtɑbletti/,ɑbøby,tablet,タブレット,切断锯,zh-cn,/tɕʰjɛ˥˥ twan˥˩ tɕy˥˩/,bbœbɶmby,Cutting saw,,kyaku,by,noun,3
لوح,ar,/lawwaħa/,ɶɶɶ,Stomach,お腹,訓仮名,ja,/kɯɴgana/,umɶɶ,Kidnamed name,訓仮名,kyaku,ɶɶ,noun,3
タブレット,ja,/tabɯɾetːo/,ɶuøbo,Tablet,タブレット,وتهينم,ar,/watuheɪnim/,ɶuøʏym,And insult,そしてin辱,to,uø,noun,4
patarumpu,fi,/ˈpɑtɑˌrumpu/,ɑɑumu,casserole,キャセロール,ポールダンス,ja,/poːɾɯdaɴsɯ/,ouɶmu,pole dance,ポールダンス,kyaku,mu,noun,4
capcană,ro,/kapkanə/,ɶbɶə,trap,トラップ,malvasta,eo,/malvasta/,ɶbɶbɶ,narrow,狭い,to,bɶ,adjective,3
perangkap,id,/pəraŋkap/,əɶmɶb,trap,トラップ,mosorat,ro,/mosorat/,ooɶb,Mosquito,蚊,kyaku,ɶb,noun,3
トラップ,ja,/toɾapːɯ/,oɶbu,trap,トラップ,pettigrew,en,/ˈpɛtɪˌɡɹu/,œʏbu,pettigrew,ペティグリュー,kyaku,bu,noun,3
Vertreibung,de,/fɛːɐ̯ˈtɾaebʊŋ/,œɐbɶøʊm,expulsion,追放,两点钟,zh-cn,/ljɑŋ˨˩˦ tjɛn˨˩˦ ʈʂʊŋ˥˥/,bɑmbœmʊm,Two o'clock,二時,kyaku,ʊm,noun,3
brottvísun,is,/prɔhtvisʏn/,bɔbyʏm,expulsion,追放,befruktning,sv,/bɛfrɵkːtnɪŋ/,œbɵbbʏm,fertilization,受精,kyaku,ʏm,noun,3
立ち退き,ja,/tatɕinoki/,ɶbyoy,Evacuation,立ち退き,castillejo,es,/kastiʎexo/,ɶbyøo,Castillejo,カスティルホ,to,by,noun,4
expulsion,fr,/ɛkspylsjɔ̃/,œbbybbɔ,expulsion,追放,摔破,zh-cn,/ʂuaɪ˥˥ pʰɔ˥˩/,uɶʏbɔ,Break,壊す,kyaku,bɔ,noun,3
保佑,zh-cn,/pɑʊ˨˩˦ joʊ˥˩/,ɑʊoʊ,bless,祝福,toshio,en,/toʊˈʃioʊ/,oʊyoʊ,toshio,トシオ,kyaku,oʊ,verb,3
祝福,ja,/ɕɯkɯɸɯkɯ/,uuuu,blessing,祝福,mengelupur,id,/məŋəlupur/,əəuu,sip,一口,kyaku,uu,verb,4
bendecir,es,/bendeθiɾ/,ømøy,to bless,祝福する,muskeli,fi,/ˈmuskeli/,ubøy,pushing,プッシュ,kyaku,øy,verb,3
aromatik,id,/aromatiʔ/,ɶoɶyb,aromatic,芳香,eteerisyys,fi,/ˈeteeˌrisyys/,øøøyyyb,ethereal,エーテル,kyaku,yb,adjective,4
aromatic,en,/ˌɛɹəˈmætɪk/,œəæʏb,aromatic,芳香,وبالاويل,ar,/wabiaːlʔuwweɪl/,ɶyɶbuøʏb,And with the long,そして長いと,kyaku,ʏb,adjective,4
芳香,ja,/hoɯkoɯ/,ouou,Aroma,芳香,俱乐部,zh-cn,/tɕy˥˩ lɤ˥˩ pu˥˩/,byou,club,クラブ,kyaku,ou,noun,3
plötusnúður,is,/pʰlœːtʏstnuːðʏr/,bœʏbbuʏ,disc,ディスク,血腥味,zh-cn,/ɕɥœ˥˩ ɕɪŋ˥˥ weɪ˥˩/,bœʏmøʏ,Bloody smell,血まみれの匂い,to,œʏ,noun,4
demora,es,/demoɾa/,øoɶ,delay,遅れ,eicosan,ro,/ejkosan/,øoɶm,Eicosan,エイコサン,to,oɶ,adjective,3
prokrasto,eo,/prokrasto/,bobɶbo,delay,遅れ,prozessiert,de,/pɾotsɛsˈziːɾt/,bobœbyb,processed,処理,to,ob,verb,3
întârziere,ro,/ɨntɨrzijere/,ʉmʉyøø,delay,遅れ,酒の上で,ja,/sakenoɯede/,ɶøouøø,On the sake,酒の上で,kyaku,øø,noun,5
eliberare,ro,/eliberare/,øyøɶø,release,リリース,sémipérmanén,id,/semipermanen/,øyøɶøm,semi-permanent,半多数,to,yøɶø,adjective,5
goodbye,en,/ˌɡʊdˈbaɪ/,ʊbɶʏ,goodbye,さようなら,lesari,is,/lɛːsarɪ/,œɶʏ,reader,読者,kyaku,ɶʏ,noun,3
meninggalkan,id,/məniŋgalkan/,əymɶbɶm,leave,離れる,どないしたん,ja,/donaiɕitaɴ/,oɶyyɶm,I wasn't,どないしたん,kyaku,ɶm,verb,4
離れる,ja,/hanaɾeɾɯ/,ɶɶøu,Leave,離れる,vilkahtelu,fi,/ˈvilkɑhˌtelu/,ybɑøu,blink,まばたき,kyaku,øu,verb,4
părăsi,ro,/pərəsi/,əəy,leave,離れる,abstenue,fr,/apstəny/,ɶbbəy,abstractive,抽象的,kyaku,əy,adjective,3
verlassen,de,/fɛɐ̯ˈlasən/,œɐɶəm,leaving,去る,mencureng,id,/məntʃurəŋ/,əmbuəm,Strengthening,強化,kyaku,əm,verb,3
inclusión,es,/inkluˈsjon/,ymbubom,inclusion,包含,悄没声,zh-cn,/tɕʰjɑʊ˨˩˦ meɪ˧˥ ʂɤŋ˥˥/,bbɑʊøʏom,Quietly,静かに,kyaku,om,noun,3
inclusion,en,/ˌɪnˈkɫuʒən/,ʏmbuəm,inclusion,包含,cổ động viên,vi,/ko˧˩˨ doŋ͡m˨ˀ˩ʔ jiəŋ˧˥/,oommbyəm,fans,ファン,kyaku,əm,noun,3
Aufnahme,de,/ˈʔaofˌnɑmə/,ɶobɑə,recording,録音,apposions,fr,/apozjɔ̃/,ɶobɔ,affixions,接続,to,ob,noun,3
accesorii,ro,/aktʃesorij/,ɶbbøoy,accessory,アクセサリー,可燃塵,ja,/kaneɴgomi/,ɶømoy,Rustic dust,可燃塵,kyaku,oy,noun,4
