id,word,word_vowel,word_lang,pair_id,pair_word,pair_word_vowel,pair_word_lang,type,rhyme_vowel,pos,syllable
0,타이가,äiä,ko,12,낙하산,äää,ko,kyaku,ä,adjective,3
0,타이가,äiä,ko,54,속이다,o̞iä,ko,kyaku,iä,adjective,3
0,타이가,äiä,ko,129,달하다,äää,ko,kyaku,ä,adjective,3
0,타이가,äiä,ko,163,가하다,äää,ko,kyaku,ä,adjective,3
0,타이가,äiä,ko,973,가리다,äiä,ko,kyaku,̈iä,adjective,3
1,흥분하다,ɯuää,ko,11,평가하다,ʌäää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,14,자극하다,äɯää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,15,나타나다,ääää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,21,계속하다,e̞o̞ää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,24,어울리다,ʌuiä,ko,kyaku,ä,verb,4
1,흥분하다,ɯuää,ko,43,유도하다,uo̞ää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,62,허용하다,ʌoää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,63,보증하다,o̞ɯää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,85,감독하다,äo̞ää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,90,예측하다,e̞ɯää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,92,무시하다,uiää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,97,계산하다,e̞äää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,99,인식하다,iiää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,101,동의하다,o̞iää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,109,부담하다,uäää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,115,대답하다,e̞äää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,122,부족하다,uo̞ää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,133,요약하다,oäää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,136,홍보하다,o̞o̞ää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,145,가속하다,äo̞ää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,171,찬양하다,ääää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,176,시작하다,iäää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,179,통과하다,o̞äää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,198,암기하다,äiää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,221,보존하다,o̞o̞ää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,223,제공하다,e̞o̞ää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,227,궁금하다,uɯää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,240,의지하다,iiää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,247,의존하다,io̞ää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,259,방황하다,ääää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,270,제안하다,e̞äää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,276,상승하다,äɯää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,293,지시하다,iiää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,301,배포하다,e̞o̞ää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,304,경고하다,ʌo̞ää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,308,허락하다,ʌäää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,328,검사하다,ʌäää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,329,유지하다,uiää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,335,일으키다,iɯiä,ko,kyaku,ä,verb,4
1,흥분하다,ɯuää,ko,399,성공하다,ʌo̞ää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,400,치료하다,ioää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,401,표시하다,oiää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,419,암시하다,äiää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,453,절약하다,ʌäää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,482,발휘하다,äiää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,567,아프리카,äɯiä,ko,kyaku,ä,verb,4
1,흥분하다,ɯuää,ko,723,가기하다,äiää,ko,kyaku,ää,verb,4
1,흥분하다,ɯuää,ko,1318,가급하다,äɯää,ko,kyaku,ää,verb,4
3,ぴったり,iai,ja,17,高い,aai,ja,kyaku,ai,adjective,3
3,ぴったり,iai,ja,50,苦い,iai,ja,kyaku,ai,adjective,3
3,ぴったり,iai,ja,102,kucai,uai,id,kyaku,ai,adjective,3
