,id,word,word_vowel,word_lang,pair_id,pair_word,pair_word_vowel,pair_word_lang,type,rhyme_vowel,pos,syllable
53,3.0,ぴったり,iai,ja,17.0,高い,aai,ja,kyaku,ai,adjective,3.0
398,17.0,高い,aai,ja,3.0,ぴったり,iai,ja,kyaku,ai,adjective,3.0
847,50.0,苦い,iai,ja,3.0,ぴったり,iai,ja,kyaku,ai,adjective,3.0
1855,102.0,kucai,uai,id,3.0,ぴったり,iai,ja,kyaku,ai,adjective,3.0
2176,124.0,mubazir,uai,id,3.0,ぴったり,iai,ja,kyaku,ai,adjective,3.0
2237,128.0,ramai,aai,id,3.0,ぴったり,iai,ja,kyaku,ai,adjective,3.0
2665,153.0,粗い,aai,ja,3.0,ぴったり,iai,ja,kyaku,ai,adjective,3.0
3760,244.0,浅い,aai,ja,3.0,ぴったり,iai,ja,kyaku,ai,adjective,3.0
4457,294.0,臭い,ɯai,ja,3.0,ぴったり,iai,ja,kyaku,ai,adjective,3.0
5109,353.0,甘い,aai,ja,3.0,ぴったり,iai,ja,kyaku,ai,adjective,3.0
5313,375.0,痛み,iai,ja,3.0,ぴったり,iai,ja,kyaku,ai,adjective,3.0
5834,416.0,abadi,aai,id,3.0,ぴったり,iai,ja,kyaku,ai,adjective,3.0
6069,430.0,深い,ɯai,ja,3.0,ぴったり,iai,ja,kyaku,ai,adjective,3.0
6568,481.0,痛い,iai,ja,3.0,ぴったり,iai,ja,kyaku,ai,adjective,3.0
9062,719.0,إباحي,iai,ar,3.0,ぴったり,iai,ja,kyaku,ai,adjective,3.0
9638,752.0,tripartí,iai,es,3.0,ぴったり,iai,ja,kyaku,ai,adjective,3.0
10414,797.0,pluraj,uai,eo,3.0,ぴったり,iai,ja,kyaku,ai,adjective,3.0
16945,1219.0,うざい,ɯai,ja,3.0,ぴったり,iai,ja,kyaku,ai,adjective,3.0
17734,1270.0,bigamie,iai,fr,3.0,ぴったり,iai,ja,kyaku,ai,adjective,3.0
19564,1403.0,disuadí,iai,es,3.0,ぴったり,iai,ja,kyaku,ai,adjective,3.0
