word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
ajastin,fi,timer,タイマー,/ˈɑjɑstin/,ɑɑbym,ɑɑ
paahtaa,fi,roast,ロースト,/ˈpɑɑhtɑɑ/,ɑɑɑɑ,ɑɑ
kaavio,fi,chart,チャート,/ˈkɑɑvio/,ɑɑyo,ɑɑ
haalari,fi,jump suit,ジャンプスーツ,/ˈhɑɑlɑri/,ɑɑɑy,ɑɑ
vaahtera,fi,maple,メープル,/ˈvɑɑhterɑ/,ɑɑøɑ,ɑɑ
paraati,fi,parade,パレード,/ˈpɑrɑɑti/,ɑɑɑy,ɑɑ
harrastus,fi,hobby,趣味,/ˈhɑrrɑstus/,ɑɑbub,ɑɑ
valaistus,fi,lighting,点灯,/ˈvɑlɑistus/,ɑɑybub,ɑɑ
tatami,fi,mat,マット,/ˈtɑtɑmi/,ɑɑy,ɑɑ
massari,en,massari,マサリ,/mɑˈsɑɹi/,ɑɑy,ɑɑ
vendangeurs,fr,harvesting,収穫,/vɑ̃dɑ̃ʒœʁ/,ɑɑœb,ɑɑ
encensât,fr,incense,香,/ɑ̃sɑ̃sa/,ɑɑɶ,ɑɑ
Schlagadern,de,Arteries,動脈,/ˈʃlɑːgɑdɛɾn/,ɑɑœm,ɑɑ
carbajal,en,carbajal,カルバハル,/kɑɹbɑˈjæɫ/,ɑɑæ,ɑɑ
takaki,en,takaki,タカキ,/tɑˈkɑki/,ɑɑy,ɑɑ
emmancha,fr,emmancha,エマンチャ,/ɑ̃mɑ̃ʃa/,ɑɑɶ,ɑɑ
enchantements,fr,enchantments,エンチャント,/ɑ̃ʃɑ̃tmɑ̃/,ɑɑbɑ,ɑɑ
