word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme
المنزلق,ar,Sliding,スライディング,/aːlmunzaliq/,ɶbumɶyb
Gelegenheit,de,opportunity,機会,/gəlegɛnˈəiːt/,əøœməyb
catálisis,es,catalysis,触媒,/kaˈtalisis/,ɶɶyyb
Schlaflosigkeit,de,insomnia,不眠症,/ʃlaflozɪkˈkəiːt/,ɶboʏbəyb
Lebensfähigkeit,de,viability,実行可能性,/lebɛnsfɛɪkˈkəiːt/,øœmbœʏbəyb
hipótesis,es,hypothesis,仮説,/iˈpotesis/,yoøyb
ferrocarril,es,railway,鉄道,/ferokaril/,øoɶyb
calculatrice,fr,calculator,電卓,/kalkylatʁis/,ɶbyɶbyb
المستكشف,ar,Explorer,冒険者,/aːlmustakʃif/,ɶbubɶbyb
플라스틱,ko,plastic,プラスチック,/pʰɯɭɭa̠sʰɯtʰik̚/,buɶbubyb
silmälasit,fi,eyeglasses,眼鏡,/ˈsilmæˌlɑsit/,ybæɑyb
주주모집,ko,Recruitment of shareholders,株主の募集,/t͡ɕud͡ʑumo̞d͡ʑip̚/,bubuobyb
فللسبيخ,ar,Ladbakh,ラッドバク,/falilsabiːx/,ɶybɶyb
lyklaborðið,is,keyboard,キーボード,/lɪhklapɔrðið/,ʏbɶɔyb
كاليرابيع,ar,Calcrades,カレード,/kaaːljaraːbiːʕ/,ɶɶbɶɶyb
antibiotik,id,antibiotics,抗生物質,/antibiotiʔ/,ɶmyyoyb
horticultures,fr,horticultures,園芸,/ɔʁtikyltyʁ/,ɔbyybyb
paparazzis,en,paparazzis,パパラツィス,/ˌpɑpɑˈɹɔˌziz/,ɑɑɔyb
macrostructure,/makʁɔstʁyktyʁ/,macrostructure,マクロ構造,ɶbɔbbybyb,fr
وبتدجيل,ar,And with a costume,そして衣装で,/wabitaddʒiːl/,ɶyɶbbyb
instanciaseis,es,instance,実例,/instanθjaseis/,ymbɶmbɶøyb
Verlassenheit,de,Abandonment,放棄,/fɛːɐ̯laszɛnˈəiːt/,œɐɶbœməyb
واخشب,ar,And wood,と木,/waʔuxaʃʃib/,ɶuɶyb
하계 올림픽,ko,Summer Olympics,夏季オリンピック,/ha̠ɡje̞ o̞ɭʎimpʰik̚/,ɶbøoymbyb
