word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
ravistaa,fi,/ˈrɑvistɑɑ/,ɑybɑɑ,shake,振る,enkysteront,fr,/ɑ̃kistəʁɔ̃/,ɑybəɔ,will encyster,エンサイスターになります,to,ɑyb,verb,4
アドボカシー,ja,/adobokaɕiː/,ɶooɶy,Advocacy,アドボカシー,가공중심반,ko,/ka̠ɡo̞ŋd͡ʑuŋɕʰimba̠n/,ɶombumbymɶm,Processing center,処理センター,to,ɶo,noun,5
plaidoyer,fr,/plɛdwaje/,bœbɶø,advocacy,アドボカシー,genex's,en,/ˈdʒɛnɛksɪz/,bœœbʏb,genex's,ジェネックスの,to,bœ,noun,3
Interessenvertretung,de,/ˈʔɪnteɾɛszɛnvɛɾtɾətʊŋ/,ʏmøœbœmœbəʊm,Advocacy,アドボカシー,Umferðarmiðstöðina,is,/ʏmfɛrðarmɪðstœðɪna/,ʏmœɶʏbbœʏɶ,The traffic center,交通センター,to,ʏm,noun,7
aufsammeln,de,/ˈʔaofˌzammɛln/,ɶobɶmœbm,collect,収集,kapono,eo,/kapono/,ɶoo,capoon,カプーン,to,ɶo,verb,3
選び出す,ja,/eɾabidasɯ/,øɶyɶu,Select,選び出す,demaskierenden,de,/ˈdeːmaskiːɾɛndən/,øɶbyœməm,demasken,デマスケン,to,øɶ,verb,5
يلتقط,ar,/jaltaqitˤ/,ɶbɶyb,Pick up,選び出す,radŝuo,eo,/radʃuo/,ɶbuo,wheel shoe,ホイールシューズ,to,ɶb,noun,3
hasselpähkinä,fi,/ˈhɑsselˌpæhkinæ/,ɑbøbæyæ,hazelnut,ヘーゼルナッツ,entre-dévorasses,fr,/ɑ̃tʁədevɔʁas/,ɑbəøɔɶb,interdresses,インタードレス,to,ɑb,noun,5
kemiri,id,/kəmiri/,əyy,hazelnut,ヘーゼルナッツ,serinèrent,fr,/səʁinɛʁ/,əyœb,serine,セリン,to,əy,noun,3
ヘーゼルナッツ,ja,/heːzeɾɯnatsːɯ/,øøuɶbbu,Hazelnuts,ヘーゼルナッツ,nebelhafterer,de,/ˈneːbelhaftɐ̯ɐ̯/,øøbɶbɐɐ,more foggy,もっと霧,to,øø,noun,5
hazelnut,en,/ˈheɪzəɫˌnət/,øʏəəb,hazelnut,ヘーゼルナッツ,水帘洞,zh-cn,/ʂweɪ˨˩˦ ljɛn˧˥ tʊŋ˥˩/,øʏbœmʊm,Water curtain,ウォーターカーテン,to,øʏ,noun,3
abuelo,es,/aβwelo/,ɶbøo,grandfather,おじいさん,二头肌,zh-cn,/aɻ˥˩ tʰoʊ˧˥ tɕi˥˥/,ɶboʊby,Biceps,上腕二頭筋,to,ɶb,noun,3
タウンハウス,ja,/taɯɴhaɯsɯ/,ɶumɶuu,Townhouse,タウンハウス,Kaulquappe,de,/ˈkaulˌkvapə/,ɶubbɶə,tadpole,タドポール,to,ɶu,noun,3
pantalones,es,/pantalones/,ɶmɶoøb,pants,ズボン,Ankaufgeschäfts,de,/ˈʔanˌkaofgɛʃɛfts/,ɶmɶobœœbbb,Purchase business,購入事業,to,ɶmɶo,noun,4
청바지,ko,/t͡ɕʰʌ̹ŋba̠d͡ʑi/,bbɔmɶby,Blue jeans,ブルージーンズ,fluiríais,es,/flwiˈɾiais/,bbyyɶyb,You would flow,あなたは流れるでしょう,to,bb,noun,3
hablador,es,/aβlaðoɾ/,ɶbɶo,talkative,おしゃべり,الفطير,ar,/aːlfatˤiːr/,ɶbɶby,Pies,パイ,to,ɶbɶ,noun,3
combinaison,fr,/kɔ̃binɛzɔ̃/,ɔyœɔ,combination,組み合わせ,portierbaren,de,/pɔɾtiːɾˈbaɽən/,ɔyɶəm,portable,ポータブル,to,ɔy,verb,4
운동복,ko,/undo̞ŋbo̞k̚/,umomob,Sportswear,スポーツウェア,doomsaying,en,/ˌdumˈseɪɪŋ/,umøʏʏm,doomsaying,運命づけ,to,um,verb,3
