word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
회로망,ko,/hø̞ɾo̞ma̠ŋ/,øoɶm,network,通信網,defora,eo,/defora/,øoɶ,Defora,デフォラ,to,oɶ,noun,3
akatemia,fi,/ˈɑkɑˌtemiɑ/,ɑɑøyɑ,academy,学校,Nordcarolina,de,/ˈnɔɾtkɑɾolinɑ/,ɔbɑoyɑ,North Carolina,ノースカロライナ州,kyaku,yɑ,noun,5
academy,en,/əˈkædəmi/,əæəy,academy,学校,bădădăi,ro,/bədədəi/,əəəy,Bădădăi,bîdòdæ,kyaku,əy,noun,4
academie,ro,/akademije/,ɶɶøyø,academy,学校,匂菫,ja,/nioisɯmiɾe/,yoyuyø,Fragrance,匂菫,kyaku,yø,noun,5
academia,es,/akaðemja/,ɶɶømɶ,academy,学校,nýbyggingar,is,/niːpɪciŋkar/,yʏymɶ,new building,新しい建物,kyaku,mɶ,noun,4
学校,ja,/gakːoɯ/,ɶbou,school,学校,alkóa,is,/alkoua/,ɶbouɶ,alcohol,アルコール,to,bou,noun,3
مخطط,ar,/muxatˤˤitˤ/,uɶbyb,Scheme,図式,Selbstkritik,de,/ˈzɛlpstkɾitik/,œbbbbbyyb,Self -criticism,自己批判,kyaku,yb,noun,3
kaavio,fi,/ˈkɑɑvio/,ɑɑyo,chart,チャート,염기도,ko,/jʌ̹mɡido̞/,ɔmyo,basicity,基本性,kyaku,yo,noun,3
متستر,ar,/mutasattir/,uɶɶby,sneaky,卑劣,Húsabakka,is,/huːsapahka/,uɶɶɶ,Húsabakki,húsabakki,to,ɶɶ,noun,4
conformidad,es,/komfoɾmiðað/,omoyɶb,accordance,に従って,somnolență,ro,/somnolentsə/,omoømbə,sleepiness,眠気,to,mo,noun,4
