word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
言葉遣い,ja,/kotobazɯkai/,ooɶuɶy,wording,言葉遣い,dolomiittikivi,fi,/ˈdoloˌmiittiˌkivi/,ooyybyyy,dolomite,ドロマイト,to,oo,noun,6
sanamuoto,fi,/ˈsɑnɑˌmuoto/,ɑɑuoo,wording,言葉遣い,palavernden,de,/ˈpɑːlɑvɛɾndən/,ɑɑœməm,palaver,パラバー,to,ɑɑ,verb,4
pompes funèbres,fr,/pɔ̃pfynɛbʁ/,ɔbyœbb,Funeral pumps,葬儀ポンプ,ofnskúffu,is,/ɔpskufʏ/,ɔbbuʏ,oven,オーブン,to,ɔb,adjective,3
politique,fr,/pɔlitik/,ɔyyb,Politics,政治,đỏ tía,vi,/dɔ˧˩˨ tiə˩˧/,ɔyə,Red,赤,to,ɔy,adjective,3
politic,ro,/politik/,oyyb,political,政治的,vô hi vọng,vi,/jo˧˥ hi˧˥ jɔŋ͡m˨ˀ˩ʔ/,oyɔmmb,hopeless,絶望的です,to,oy,adjective,3
poliittinen,fi,/ˈpoliitˌtinen/,oyybyøm,political,政治的,poliklinik,id,/poliʔliniʔ/,oybyyb,Polyclinic,ポリクリニック,to,oy,adjective,4
politik,id,/politiʔ/,oyyb,political,政治的,volito,es,/bolito/,oyo,Volito,ボリト,to,oy,adjective,3
政治的,ja,/seidʑiteki/,øybyøy,Political,政治的,épilépsi,id,/epilepsi/,øyøby,epilepsy,てんかん,to,øy,noun,4
imposible,es,/imposiβle/,ymoybø,impossible,無理だよ,imperialo,eo,/imperialo/,ymøyɶo,imperial,インペリアル,to,ym,adjective,4
impossible,fr,/ɛ̃pɔsibl/,œɔybb,impossible,無理だよ,Kernobstes,de,/ˈkɛɾnɔbstəs/,œɔbbəb,Core fruit,コアフルーツ,to,œɔ,adjective,3
