word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
pertemuan,id,/pərtəmuan/,əəuɶm,meeting,ミーティング,tillräknelig,sv,/²t'ɪlːrɛːknɛlɪg/,bʊœmʏb,Applicable,該当する,,,verb,3
întâlnire,ro,/ɨntɨlnire/,ʉmʉbyø,meeting,ミーティング,förglömma,sv,/fœrgl'œmːɛr/,bɶʏɶyb,forget,忘れる,,,noun,4
dynamo,en,/ˈdaɪnəˌmoʊ/,ɶʏəoʊ,dynamo,ダイナモ,judaismo,eo,/judaismo/,boyøyo,Judaism,ユダヤ教,,,noun,4
dynamo,fr,/dinamo/,yɶo,dynamo,ダイナモ,waldarm,de,/ˈvɑːlˌdaɾm/,ɶbybəb,arm,腕,,,noun,3
발전기,ko,/pa̠ɭd͡ʑʌ̹nɡi/,ɶbɔmy,generator,発生器,trại con gái,vi,/ʈaj˨ˀ˩ʔ kɔŋ͡m˧˥ ɣaj˩˧/,ɶbɔmmɶ,daughter farm,娘の農場,to,bɔm,noun,3
criteriu,ro,/kriterju/,byøu,criterion,基準,briejuusto,fi,/ˈbriejuusto/,byøuubo,brie,ブリー,to,yøu,noun,3
criterion,en,/kɹaɪˈtɪɹiən/,bɶʏʏyəm,criterion,基準,Bleistifte,de,/ˈblaɪ̯ʃtɪftə/,bɶʏʏbə,Pencil,鉛筆,to,ɶʏʏ,noun,3
avellana,es,/aβeʎana/,ɶøɶɶ,hazelnut,ヘーゼルナッツ,aménageables,fr,/amenaʒabl/,ɶøɶɶbb,convertible,コンバーチブル,to,øɶɶ,adjective,4
kemiri,id,/kəmiri/,əyy,hazelnut,ヘーゼルナッツ,avväpna,sv,/²'ɑːvɛːpna/,ɶuʏbb,disarm,武装解除,,,noun,3
البندق,ar,/aːlbunduq/,ɶbumub,Hazelnut,ヘーゼルナッツ,ばっくんちょ,ja,/bakːɯɴtɕo/,ɶbumbo,Bakkuncho,ばっくんちょ,to,bum,noun,3
تجمع,ar,/tadʒammaʕa/,ɶbɶmɶɶ,gathering,集まる,trai thanh gái lịch,vi,/ʈaj˧˥ tʰan˧˥ ɣaj˩˧ lit˨ˀ˩ʔ/,ɶbɶmɶybb,Boys and girls calendar,男の子と女の子のカレンダー,to,bɶmɶ,noun,4
silenta,eo,/silenta/,yømɶ,silent,静けさ,milentas,es,/milentas/,yømɶb,Milentas,ミレンタ,to,ømɶ,adjective,3
penalizare,ro,/penalizare/,øɶyɶø,penalty,ペナルティ,enhacinares,es,/enaθinaɾes/,øɶyɶøb,Congratulations,おめでとう,to,ɶyɶø,noun,5
penalty,en,/ˈpɛnəɫti/,œəy,penalty,ペナルティ,tax-free-myymälä,fi,/ˈtɑxfreeˌmyymælæ/,ɑubuub,tax-free shop,免税店,,,noun,3
raksasa,id,/raʔsasa/,ɶbɶɶ,giant,巨人,hafnarsand,is,/hapnarsant/,ɶbɶɶmb,port,ポート,to,bɶɶ,noun,3
jättiläinen,fi,/ˈjættiˌlæinen/,æbyæyøm,giant,巨人,Leberleiden,de,/ˈleːbɛɾlaedən/,øœɶøəm,Liver disorders,肝臓障害,,,noun,4
herrete,es,/erete/,øøø,aglet,アグレット,skolskjuts,sv,/²sk'uːlɧɵsː/,ɔmɶœ,School transfer,学校の移籍,,,verb,3
placebo,ro,/platʃebo/,bɶbøo,placebo,プラセボ,trachtetest,de,/ˈtɾaxtetɛst/,bɶbøœbb,sewer,下水道,to,ɶbø,noun,3
プラセボ,ja,/pɯɾasebo/,uɶøo,placebo,プラセボ,burlaremos,es,/buɾlaɾemos/,uɶøob,We will make fun,私たちは楽しくなります,to,ɶøo,noun,4
plasebo,fi,/ˈplɑsebo/,bɑøo,placebo,プラセボ,vergnügterem,de,/fɛːɐ̯ˈgnʏktɐ̯əm/,œɐbʏbɐəm,more pleasant,もっと楽しい,,,noun,3
placebo,fr,/plasebo/,bɶøo,placebo,プラセボ,khoá kéo,vi,/xwa˩˧ keo˩˧/,bɶøo,zipper,ジッパー,to,ɶøo,noun,3
