word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme
résultat,fr,results,結果,/ʁezylta/,øybɶ
pronunciar,es,to pronounce,発音する,/pɾonunθjaɾ/,boumbɶ
cosecha,es,harvest,収穫,/kosetʃa/,oøbɶ
كمثرى,ar,pears,洋ナシ,/kummaθraː/,umɶbɶ
보드카,ko,vodka,ウォッカ,/po̞dɯkʰa̠/,oubɶ
ilustrar,es,to illustrate,説明する,/ilustɾaɾ/,yubbɶ
escuchar,es,listen,聞く,/eskutʃaɾ/,øbubɶ
madrastra,es,stepmother,継母,/maðɾastɾa/,ɶbɶbbɶ
الأصفر,ar,Yellow,黄色,/aːlʔasˤfar/,ɶbɶbɶ
زوج,ar,Husband,夫,/zawwadʒa/,ɶɶbɶ
الإبلاغ,ar,Reporting,報告,/aːlʔiblaːɣ/,ɶbybɶ
bongusta,eo,Delicious,おいしい,/bongusta/,omubɶ
سرج,ar,saddle,サドル,/saradʒa/,ɶɶbɶ
escarcha,es,Frost,霜,/eskaɾtʃa/,øbɶbɶ
حفظ,ar,save,保存,/ħafiðˤa/,ɶybɶ
adaptar,es,fit,フィット,/aðaptaɾ/,ɶɶbɶ
체계화,ko,Systemization,システム化,/t͡ɕʰe̞ɡje̞βwa̠/,bbøbøbɶ
그림자,ko,shadow,影の多い,/kɯɾimd͡ʑa̠/,uymbɶ
especia,es,spice,スパイス,/espeθja/,øbøbɶ
custodia,es,custody,親権,/kustoðja/,ubobɶ
bekerja,id,work,仕事,/bəkərdʒa/,əəbɶ
remolcar,es,tow,牽引,/remolkaɾ/,øobɶ
fragancia,es,fragrance,香り,/fɾaɣanθja/,bɶɶmbɶ
trung lập hóa,vi,neutralize,中和します,/ʈuŋ͡m˧˥ lɤ̆p˨ˀ˩ʔ hwa˩˧/,ummobbɶ
emigra,ro,emigrate,移住,/emiɡra/,øybɶ
străluceau,ro,shone,輝いています,/strəlutʃ̩aw/,bbəubɶ
供鲜花,zh-cn,Bloom,咲く,/kʊŋ˥˩ ɕjɛn˥˥ xwa˥˥/,ʊmbœmbɶ
penetra,eo,penetrating,浸透,/penetra/,øøbɶ
connaîtras,fr,will know,わかるでしょう,/kɔnɛtʁa/,ɔœbɶ
سأخسر,/saʔaxsar/,I will lose,私は負けます,ɶɶbɶ,ar
ونسهر,/wanashar/,And watch out,気をつけてください,ɶɶbɶ,ar
空茶,ja,Empty tea,空茶,/kaɾatɕa/,ɶɶbɶ
integra,ro,integrate,統合,/inteɡra/,ymøbɶ
벌겋다,ko,Turn off,消す,/pʌ̹ɭɡʌ̹tʰa̠/,ɔɔbɶ
innkalla,/ɪŋkatla/,notice,知らせ,ʏmɶbɶ,is
reflecta,es,reflects,反映します,/reflekta/,øbøbɶ
재소자,ko,Inmate,受刑者,/t͡ɕɛ̝sʰo̞d͡ʑa̠/,bœbobɶ
hợp tác hoá,vi,Cooperating,協力,/hɤp˨ˀ˩ʔ tak˦˥ hwa˩˧/,obbɶbɶ
구기자,/kuɡid͡ʑa̠/,Go -go,GO -GO,uybɶ,ko
desabra,es,unbalance,不均衡,/desaβɾa/,øɶbɶ
détesta,fr,hate,嫌い,/detɛsta/,øœbɶ
燕尾夹,zh-cn,Taltail,タルテール,/jɛn˥˩ weɪ˨˩˦ tɕja˥˥/,œmøʏbbɶ
khái quát hóa,/xaj˩˧ wak˦˥ hwa˩˧/,generalize,一般化します,ɶɶbɶ,vi
thi vị hóa,/tʰi˧˥ ji˨ˀ˩ʔ hwa˩˧/,poetic,詩的,byybɶ,vi
revolta,ro,revolt,反乱,/revolta/,øobɶ
accorda,fr,granted,承諾する,/akɔʁda/,ɶɔbɶ
당선자,ko,Elected,選出された,/ta̠ŋsʰʌ̹nd͡ʑa̠/,ɶmbɔmbɶ
entre-tuât,fr,sued,訴えた,/ɑ̃tʁətɥa/,ɑbəbɶ
descaspar,es,Descospar,デスコスパー,/deskaspaɾ/,øbɶbɶ
contendrá,es,will contain,含まれます,/kontenˈdɾa/,omømbɶ
abolsa,es,ABOLSA,アボルサ,/aβolsa/,ɶobɶ
hi lạp hóa,vi,Greek,ギリシャ語,/hi˧˥ lap˨ˀ˩ʔ hwa˩˧/,yɶbbɶ
역마차,ko,stagecoach,ステージコーチ,/jʌ̹ŋma̠t͡ɕʰa̠/,ɔmɶbbɶ
