word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
navegar,es,browse,ブラウズ,/naβeɣaɾ/,ɶøɶ,ɶø
einwerfen,de,throw in,投げ入れる,/ˈʔaenˌvɛɾfən/,ɶømœəm,ɶø
teilnehmen,de,take part,参加してください,/ˈtaelˌnemən/,ɶøbøəm,ɶø
paseo,es,walk,歩く,/paseo/,ɶøo,ɶø
agregar,es,add,追加,/aɣɾeɣaɾ/,ɶøɶ,ɶø
屋根裏,ja,attic,屋根裏,/janeɯɾa/,ɶøuɶ,ɶø
arenque,es,herring,ニシン,/aɾeŋke/,ɶømø,ɶø
galleta,es,cracker,クラッカー,/gaʎeta/,ɶøɶ,ɶø
食べる,ja,eat,食べる,/tabeɾɯ/,ɶøu,ɶø
acétate,fr,acetate,アセテート,/asetat/,ɶøɶb,ɶø
발헤염,ko,Footing,足場,/pa̠ɾɦe̞jʌ̹m/,ɶøɔm,ɶø
فليساء,ar,Fellow,仲間,/faleɪsaːʔ/,ɶøʏɶb,ɶø
وسيصأ,ar,And he will seek,そして彼は求めます,/waseɪasˤʔ/,ɶøʏɶbb,ɶø
phá lên cười,vi,Break out laughing,笑って壊れます,/fa˩˧ len˧˥ kɯəj˦˨/,ɶømuə,ɶø
開ける,ja,Open,開ける,/akeɾɯ/,ɶøu,ɶø
salearían,es,They would go out,彼らは出かけるでしょう,/saleaˈɾian/,ɶøɶyɶm,ɶø
affaiblîtes,fr,weakened,弱体化,/afeblit/,ɶøbyb,ɶø
荒れ野,ja,Wild field,荒れ野,/aɾeno/,ɶøo,ɶø
sameinist,is,merge,マージ,/saːmeinɪst/,ɶøyʏbb,ɶø
eingestampft,de,stamped,刻印,/ʔaengəˈʃtampft/,ɶøməɶmbbb,ɶø
