word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
manusia,id,/manusia/,ɶuyɶ,man,男,alusiva,es,/alusiβa/,ɶuyɶ,allusive,アレンジ,to,uyɶ,noun,4
pénicilline,fr,/penisilin/,øyyym,penicillin,ペニシリン,verificări,ro,/verifikərʲ/,øyyəy,verification,検証,to,yy,noun,4
Penicillin,de,/ˈpeːnitsɪllɪn/,øybʏbʏm,penicillin,ペニシリン,persistieras,es,/peɾsistjeɾas/,øybbøɶb,You persisted,あなたは固執しました,to,yb,noun,4
البنسلين,ar,/aːlbinisiliːn/,ɶbyyyym,Penicillin,ペニシリン,바지지하다,ko,/pa̠d͡ʑid͡ʑiɦa̠da̠/,ɶbybyɶɶ,Pants,ズボン,to,by,noun,5
ペニシリン,ja,/peniɕiɾiɴ/,øyyym,penicillin,ペニシリン,framtíðarsýn,is,/framtʰiðarsiːn/,bɶmbyɶym,vision,ヴィジョン,kyaku,ym,noun,4
成熟,ja,/seidʑɯkɯ/,øybuu,Maturity,成熟,persilja,fi,/ˈpersiljɑ/,øybɑ,parsley,パセリ,to,yb,noun,3
ラフト,ja,/ɾaɸɯto/,ɶuo,raft,ラフト,phân hữu cơ,vi,/fɤ̆ŋ˧˥ hɯw˧˩˨ kɤ˧˥/,omuo,organic fertilizer,有機肥料,kyaku,uo,noun,3
Eisbecher,de,/ˈaesbɛçɐ̯/,ɶøbœɐ,Ice cream maker,アイスクリーム製造機,asépsis,id,/asepsis/,ɶøbyb,Asépsis,asépsis,to,øb,noun,3
sundae,en,/ˈsəndeɪ/,əmøʏ,sundae,サンデー,uneinig,de,/ʔʊnˈʔaenɪç/,ʊmɶøʏ,divided,分割,kyaku,øʏ,noun,3
obscena,eo,/obst͡sena/,obbbøɶ,obscene,わいせつ,생외가,ko,/sʰɛ̝ŋø̞ɡa̠/,bœøɶ,Outdoor,屋外,kyaku,øɶ,adjective,3
parábola,es,/paˈɾaβola/,ɶɶoɶ,parable,たとえ話,Farbauftrages,de,/ˈfaɾbaoftɾɑgəs/,ɶɶobbɑəb,Color application,カラーアプリケーション,to,ɶo,adjective,4
parabolă,ro,/parabolə/,ɶɶoə,parable,たとえ話,cả chài lẫn chì,vi,/ka˧˩˨ caj˦˨ lɤ̆ŋ˧˩˨ ci˦˨/,ɶɶomy,Both fishing and lead,釣りと鉛の両方,to,ɶo,verb,4
danau,id,/danau/,ɶɶu,Lake,湖,ニッカーズ,ja,/nikːaːzɯ/,ybɶu,knickers,ニッカーズ,kyaku,ɶu,noun,3
遅れ,ja,/okɯɾe/,ouø,delay,遅れ,souketa,fi,/ˈsouketɑ/,ouøɑ,spit,スピット,to,uø,verb,3
prokrasto,eo,/prokrasto/,bobɶbo,delay,遅れ,emakko,fi,/ˈemɑkko/,øɑbo,sow,播種,kyaku,bo,verb,3
menunda,id,/mənunda/,əumɶ,postpone,延期,거짓말,ko,/kʌ̹d͡ʑinma̠ɭ/,ɔbymɶ,lie,嘘,kyaku,mɶ,verb,3
getaran,id,/gətaran/,əɶɶm,vibration,振動,변성암,ko,/pjʌ̹nsʰʌ̹ŋa̠m/,bɔmbɔɶm,Metamorphosis,変態,kyaku,ɶm,noun,3
اهتزاز,ar,/ihtizaːz/,yyɶb,vibration,振動,decigrad,ro,/detʃiɡrad/,øbybɶb,Decigrad,Decigrad,kyaku,ɶb,noun,3
vibration,en,/vaɪˈbɹeɪʃən/,ɶʏbøʏəm,vibration,振動,Zuschüssen,de,/ˈtsuːˌʃʏszən/,buʏbəm,Grate,すりおろします,kyaku,əm,noun,3
vibration,fr,/vibʁasjɔ̃/,ybɶbɔ,vibration,振動,líftækni,is,/liftaihknɪ/,ybɶybʏ,biotechnology,バイオテクノロジー,to,bɶ,noun,3
vibrație,ro,/vibratsije/,ybɶbyø,vibration,振動,espurrirte,es,/espuriɾte/,øbuyø,giving yourself,自分に与える,kyaku,yø,noun,4
abuela,es,/aβwela/,ɶbøɶ,grandmother,祖母,أستيمن,ar,/ʔasteɪmin/,ɶbøʏym,Emanating,発せられます,to,bø,noun,3
할머니,ko,/ha̠ɭmʌ̹ni/,ɶɔy,grandmother,祖母,maronites,fr,/maʁɔnit/,ɶɔyb,maronites,マロナイト,to,ɔy,noun,3
篝火,zh-cn,/koʊ˥˥ xuɔ˨˩˦/,oʊuɔ,bonfire,bonき火,chửi như ó,vi,/cɯj˧˩˨ ɲɯ˧˥ ɔ˩˧/,uuɔ,cursing like ó,Óのように呪い,kyaku,uɔ,verb,3
mammutti,fi,/ˈmɑmmutti/,ɑmuby,mammoth,マンモス,青立ち,ja,/aodatɕi/,ɶoɶby,Blue,青立ち,kyaku,by,adjective,3
endanlegt,is,/ɛntanlɛxt/,œmɶmœbb,finally,最後に,bất can thiệp,vi,/bɤ̆k˦˥ kaŋ˧˥ tʰiəp˨ˀ˩ʔ/,obɶmbyəbb,Interventional,介入,kyaku,bb,adjective,3
kestävä,fi,/ˈkestævæ/,øbææ,resistant,耐性,싸락대다,ko,/s͈a̠ɾa̠k̚t͈ɛ̝da̠/,ɶœy,Rag,ぼろきれ,,,adjective,3
supportable,fr,/sypɔʁtabl/,yɔbɶbb,bearable,耐えられる,sannaðist,is,/sanaðɪst/,ɶɶʏbb,was true,本当でした,kyaku,bb,adjective,3
soportable,es,/sopoɾtaβle/,ooɶbø,bearable,耐えられる,reparleriez,fr,/ʁəpaʁləʁje/,əɶbəbø,Top again,もう一度トップ,kyaku,bø,adjective,4
kilometri,fi,/ˈkiloˌmetri/,yoøby,kilometer,キロメートル,piconeros,es,/pikoneɾos/,yoøob,Piconeros,ピコネロス,to,oø,noun,4
kilómetro,es,/kiˈlometɾo/,yoøbo,kilometer,キロメートル,goudajuusto,fi,/ˈgoudɑˌjuusto/,ouɑuubo,gouda cheese,ゴーダチーズ,kyaku,bo,noun,4
킬로미터,ko,/kçiɭɭo̞mitʰʌ̹/,byoybɔ,kilometer,キロメートル,prilogire,ro,/prilodʒire/,byobyø,prilogire,Prilogire,to,yo,noun,4
Kilometer,de,/kiloˈmeːtɐ/,yoøɐ,kilometre,キロメートル,ipoteză,ro,/ipotezə/,yoøə,assumption,予測,to,oø,noun,4
kilometer,en,/ˈkɪɫəˌmitɝ/,ʏəyə,kilometer,キロメートル,世界历史,zh-cn,/ʂɚ˥˩ tɕjɛ˥˩ li˥˩ ʂɚ˨˩˦/,əbbœyə,world history,世界歴史,kyaku,yə,noun,4
esimerkki,fi,/ˈesiˌmerkki/,øyøby,example,例,身不由己,zh-cn,/ʂən˥˥ pu˥˩ joʊ˧˥ tɕi˨˩˦/,əmuoʊby,Involuntary,不本意,kyaku,by,noun,4
pulgada,es,/pulgaða/,ubɶɶ,inch,インチ,leutwiler,en,/ˈɫutˌwaɪɫɝ/,ubɶʏə,leutwiler,ロイトウィラー,to,bɶ,adjective,3
أفضل,ar,/ʔafdˤala/,ɶbbɶɶ,better,より良い,bufada,es,/bufaða/,uɶɶ,snort,鼻を鳴らします,kyaku,ɶɶ,adjective,3
optimal,en,/ˈɑptəməɫ/,ɑbəə,optimal,最適な,keseser,id,/kəsəsər/,əəə,kesser,ケサー,kyaku,əə,adjective,3
ruohosipuli,fi,/ˈruohoˌsipuli/,uooyuy,chives,チャイブ,나슬나슬히,ko,/na̠sʰɯɭɭa̠sʰɯɾʝi/,ɶbuɶbuy,Well -handed,よく - ハンド,kyaku,uy,verb,5
韭菜,zh-cn,/tɕjoʊ˨˩˦ tsʰaɪ˥˩/,bboʊbbɶʏ,Chinese chives,中国のチャイブ,pliocenos,es,/pljoθenos/,bboøob,Pliocenos,プリオセノス,to,bo,verb,3
arpagic,ro,/arpadʒik/,ɶɶbyb,chive,チャイブ,原っぱ,ja,/haɾapːa/,ɶɶbɶ,Rattle,原っぱ,to,ɶb,adjective,3
naurettava,fi,/ˈnɑuretˌtɑvɑ/,ɑuøbɑɑ,ridiculous,ばかげている,parlementant,fr,/paʁləmɑ̃tɑ̃/,ɶbəɑɑ,parliamentary,議会,kyaku,ɑɑ,adjective,4
可笑,zh-cn,/kʰɤ˨˩˦ ɕjɑʊ˥˩/,bobɑʊ,ridiculous,ばかげている,thật như đếm,vi,/tʰɤ̆k˨ˀ˩ʔ ɲɯ˧˥ dem˩˧/,bobbuøm,Really counting,本当に数えています,to,ob,verb,3
bankastjóri,is,/pauŋ̊kastjouːrɪ/,ɶumɶbbouʏ,CEO,最高経営責任者（CEO）,akuntansi,id,/akuntansi/,ɶumɶmy,accountancy,会計,to,umɶ,noun,4
مصرفي,ar,/masˤrifijj/,ɶbyy,banking,銀行業,đại điền trang,vi,/daj˨ˀ˩ʔ diəŋ˦˨ ʈaŋ˧˥/,ɶbyəmɶm,Dai Dien Trang,Dai Dien Trang,to,by,noun,3
pankkiiri,fi,/ˈpɑnkkiiri/,ɑmbyyy,banker,バンカー,rădăcini,ro,/rədətʃinʲ/,əəbyy,roots,ルーツ,kyaku,yy,noun,3
onneton,fi,/ˈonneton/,omøom,unhappy,不幸,缝缀,zh-cn,/fɤŋ˧˥ ʈʂweɪ˥˩/,omøʏ,Sewing,縫い,to,mø,adjective,3
neplăcut,ro,/nepləkut/,øbəub,unpleasant,不快,al apud,eo,/al apud/,ɶbɶub,to next to,の隣に,kyaku,ub,verb,3
intervalle,fr,/ɛ̃tɛʁval/,œœbɶb,interval,間隔,áorkað,is,/auːɔr̥kað/,ɶuɔɶb,understood,了解した,kyaku,ɶb,verb,3
jangkauan,id,/dʒaŋkauan/,bɶmɶuɶm,range,範囲,phở xốt vang,vi,/fɤ˧˩˨ sok͡p˦˥ jaŋ˧˥/,oobbɶm,Pho sauce,フォースソース,kyaku,ɶm,verb,3
Angebot,de,/ˈʔanɡəboːt/,ɶməob,offer,オファー,súng khai hậu,vi,/ʂuŋ͡m˩˧ xaj˧˥ hɤ̆w˨ˀ˩ʔ/,ummɶob,pistol,ピストル,kyaku,ob,noun,3
etäisyys,fi,/ˈetæisyys/,øæyyyb,distance,距離,Hólmavík,is,/houlmaviːk/,oubɶyb,Holmavík,ホルマビク,kyaku,yb,verb,3
hämärä,fi,/ˈhæmæræ/,æææ,twilight,トワイライト,فسنكذب,ar,/fasanakðib/,yɶbøʏɶ,We will lie,私たちは嘘をつきます,,,adjective,3
صحافي,ar,/sˤaħaːfijj/,bɶɶy,journalist,ジャーナリスト,Thái Giàng Phố,vi,/tʰaj˩˧ jaŋ˦˨ fo˩˧/,bɶɶmo,Thai Giang Pho,タイ・ジアン・フォー,to,ɶɶ,noun,3
journalist,en,/ˈdʒɝnəɫəst/,bəəəbb,journalist,ジャーナリスト,minigolf,fi,/ˈminigolf/,yyobb,mini golf,ミニゴルフ,kyaku,bb,noun,3
wartawan,id,/wartawan/,ɶɶɶm,reporter,記者,كأفعوان,ar,/kaʔufʕuːaːn/,ɶubuɶm,Like a nap,昼寝のように,kyaku,ɶm,noun,3
解決,ja,/kaiketsɯ/,ɶyøbu,Solution,解決,villutrú,is,/vɪtlʏtʰruː/,ʏbʏbu,error,エラー,kyaku,bu,noun,3
ratkaisu,fi,/ˈrɑtkɑisu/,ɑbɑyu,solution,解決,muțiu,ro,/mutsiu/,ubyu,MUŢIU,ムーイウ,kyaku,yu,noun,3
乳様突起,ja,/njɯɯjoɯtokːi/,muuouoby,Milk -like protrusion,乳様突起,tachycardie,fr,/takikaʁdi/,ɶyɶby,tachycardia,頻脈,kyaku,by,noun,4
沼泽地,zh-cn,/ʈʂɑʊ˨˩˦ tsɤ˧˥ ti˥˩/,ɑʊboy,wetlands,湿地,ébaubi,fr,/ebobi/,øoy,sketch,スケッチ,kyaku,oy,noun,3
mýrlendi,is,/miːrlɛntɪ/,yœmʏ,moor,ムーア,remembering,en,/ɹiˈmɛmbɝɪŋ/,yœməʏm,remembering,覚えている,to,œm,verb,3
konfuzo,eo,/konfuzo/,omuo,confusion,錯乱,冷不丁,zh-cn,/lɤŋ˨˩˦ pu˧ tɪŋ˥˥/,omuʏm,Cooler,クーラー,to,mu,noun,3
confusion,fr,/kɔ̃fyzjɔ̃/,ɔybɔ,confusion,錯乱,Wetterfrosch,de,/ˈvɛtɛɾfɾɔʃ/,œœbɔ,Weather frog,ウェザーカエル,kyaku,bɔ,noun,3
ارتباك,ar,/irtibaːk/,yyɶb,confusion,錯乱,Filialen,de,/filialən/,yyɶəm,Branches,枝,to,yɶ,noun,3
錯乱,ja,/sakɯɾaɴ/,ɶuɶm,confusion,錯乱,keranjang,id,/kərandʒaŋ/,əɶmbɶm,basket,バスケット,kyaku,ɶm,noun,3
