word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
凍結,ja,/toɯketsɯ/,ouøbu,frozen,凍結,joutessaan,fi,/ˈjoutessɑɑn/,ouøbɑɑm,in the case of,の場合,to,uøb,noun,3
congelare,ro,/kondʒelare/,ombøɶø,freezing,凍結,sombrereras,es,/sombɾeɾeɾas/,ombøøɶb,Hatoras,hatoras,to,mbø,noun,4
pembekuan,id,/pəmbəkuan/,əməuɶm,freezing,凍結,undilute,en,/ˌəndəˈɫut/,əməub,undilute,無駄に,to,məu,verb,3
隔離,ja,/kakɯɾi/,ɶuy,isolation,隔離,líkið,is,/liːcɪð/,ɶmøybʏmb,the body,体,,,noun,3
einangrun,is,/eiːnauŋkrʏn/,øyɶumbʏm,isolation,隔離,請託,ja,/seitakɯ/,øyɶu,Contract,請託,to,yɶu,noun,3
izolo,eo,/izolo/,yoo,isolation,隔離,overfishing,en,/ˈoʊvɝˌfɪʃɪŋ/,œəəmb,overfishing,乱獲,,,noun,3
isolasi,id,/isolasi/,yoɶy,isolation,隔離,ignorarías,es,/iɣnoɾaˈɾias/,yoɶyɶb,You would ignore,あなたは無視するでしょう,to,oɶy,noun,4
izolare,ro,/izolare/,yoɶø,isolation,隔離,pilotare,es,/pilotaɾe/,yoɶø,pilot,パイロット,to,oɶø,noun,4
tereno,eo,/tereno/,øøo,terrain,地形,Experiments,de,/ˈʔɛkspeɾimɛnts/,əʏə,Experiment,実験,,,noun,3
Kreuzritter,de,/ˈkɾɔøtsɾɪtɐ̯/,bɔøbbʏɐ,Crusader,十字軍,경외심,ko,/kjʌ̹ŋø̞ɕʰim/,bɔøbym,Awe,a敬の念,to,ɔøb,noun,3
十字軍,ja,/dʑɯɯdʑigɯɴ/,buubyum,Crusade,十字軍,수묵화,ko,/sʰumukʰwa̠/,buubɶ,Ink painting,インクペインティング,to,uub,noun,3
الصليبي,ar,/aːlsˤaliːbijj/,ɶbbɶyy,Crusader,十字軍,pascaperang,id,/pastʃapəraŋ/,ɶbbɶəɶm,Post -port,ポストポート,to,bbɶ,noun,4
cruzado,es,/kɾuθaðo/,buɶo,crossed,交差した,krutaĵo,eo,/krutaʒo/,buɶo,steep,急な,to,uɶo,adjective,3
cornichon,fr,/kɔʁniʃɔ̃/,ɔbyɔ,pickle,ピクルス,어귀어귀,ko,/ʌ̹ɡɥiʌ̹ɡɥi/,ɔbyɔby,Ghost,幽霊,to,byɔ,noun,3
