word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
Sicherheit,de,/zɪçɛɾˈəiːt/,ʏœəyb,security,安全,réincarnas,fr,/ʁeɛ̃kaʁna/,øœɶbɶ,reincarnas,レジャルナ,,,noun,3
jaminan,id,/dʒaminan/,bɶyɶm,guarantee,保証,parísar,is,/pʰaːrisar/,bɶyɶ,Paris,パリ,to,ɶyɶ,noun,3
intrare,ro,/intrare/,ymbɶø,entry,エントリ,빈광대,ko,/pinɡwa̠ŋdɛ̝/,ymbɶmœ,Empty,空の,to,mbɶ,adjective,3
oviaukko,fi,/ˈoviɑˌukko/,oyɑubo,doorway,戸口,sitta emellan,sv,/²sɪtːɛrɛm'ɛlːan/,bɶʏɶyb,sit in between,その間に座ってください,,,noun,4
doorway,en,/ˈdɔɹˌweɪ/,ɔøʏ,doorway,戸口,舞舞,ja,/maimai/,ɶyɶy,Dance,舞舞,,,noun,3
muistio,fi,/ˈmuistio/,uybyo,memorandum,メモ,du kích chiến,vi,/ju˧˥ kit˦˥ ciəŋ˩˧/,uybyəm,guerrilla,ゲリラ,to,yby,noun,3
memo,en,/ˈmɛˌmoʊ/,œoʊ,memo,メモ,Einseitigkeit,de,/ˈʔaenzaetɪkˈkəiːt/,œbɐɐ,One -sidedness,1つの側面,,,noun,3
operacio,eo,/operat͡sio/,oøɶbyo,Operation,手術,Modefachkreisen,de,/ˈmoːdefaxkɾaezən/,oøɶbbɶøəm,Fashion circles,ファッションサークル,to,øɶb,noun,5
operasi,id,/opərasi/,oəɶy,operation,手術,범행,ko,/pʌ̹mɦɛ̝ŋ/,ɶoyum,crime,犯罪,to,,noun,4
opération,fr,/ɔpeʁasjɔ̃/,ɔøɶbɔ,operation,手術,Feudalsystem,de,/ˈfɔødalzʏstəm/,ɔøɶbʏbəm,Feudal system,封建制度,to,øɶb,noun,4
operaatio,fi,/ˈopeˌrɑɑtio/,oøɑɑyo,operation,手術,箍,zh-cn,/ku˥˥/,ɑʊɶmuɔɶʏ,hoop,フープ,,,noun,5
手術,ja,/ɕɯdʑɯtsɯ/,ububu,Surgery,手術,قبرصي,ar,/qubrusˤijj/,ububy,Cyprus,キプロス,to,bub,noun,3
暴风雪,zh-cn,/pɑʊ˥˩ fɤŋ˥˥ ɕɥœ˨˩˦/,ɑʊombœ,snowstorm,吹雪,선교회,ko,/sʰʌ̹nɡjoɦø̞/,bɔmboø,Mission,ミッション,,,noun,3
눈보라,ko,/nunbo̞ɾa̠/,umoɶ,snowstorm,吹雪,puntosas,es,/puntosas/,umoɶb,points,ポイント,to,moɶ,noun,3
篮球,zh-cn,/lan˧˥ tɕʰjoʊ˧˥/,ɶmbboʊ,basketball,バスケットボール,방청객,ko,/pa̠ŋt͡ɕʰʌ̹ŋɡɛ̝k̚/,ɶmbbɔmœb,Audience,観客,to,mbb,noun,3
baloncesto,es,/balonθesto/,ɶomøbo,basketball,バスケットボール,Raumbereichen,de,/ˈɾaombeɾaeçən/,ɶomøɶøəm,Spatial areas,空間領域,to,omø,noun,4
ネットボール,ja,/netːoboːɾɯ/,øboou,Netball,ネットボール,exomorfism,ro,/egzomorfism/,øbooybm,Exomorphism,反モルフィズム,to,boo,noun,4
koripallo,fi,/ˈkoriˌpɑllo/,oyɑbo,basketball,バスケットボール,坬,zh-cn,/kwa˥˩/,øʏombɑmʏm,Bleak,暗い,,,noun,4
rumores,es,/rumoɾes/,uoøb,Rumors,噂,ウォレット,ja,/ɯoɾetːo/,uoøbo,Wallet,ウォレット,to,oøb,noun,3
バニラ,ja,/baniɾa/,ɶyɶ,vanilla,バニラ,mussolini,en,/ˌmusoʊˈɫini/,bœəyb,mussolini,ムッソリーニ,,,noun,3
vanilla,en,/vəˈnɪɫə/,əʏə,vanilla,バニラ,ghẻ lạnh,vi,/ɣɛ˧˩˨ lan˨ˀ˩ʔ/,obbɔɔ,estrangement,疎遠,,,noun,3
vainilla,es,/bainiʎa/,ɶyyɶ,vanilla,バニラ,laïcisas,fr,/laisiza/,ɶyyɶ,laicca,ライカ,to,yyɶ,verb,3
伍長,ja,/gotɕoɯ/,obou,corporal,伍長,bội số chung,vi,/boj˨ˀ˩ʔ ʂo˩˧ cuŋ͡m˧˥/,oboumm,general multiple,一般的な複数,to,bou,noun,3
caporal,ro,/kaporal/,ɶoɶb,corporal,伍長,가로막,ko,/ka̠ɾo̞ma̠k̚/,ɶoɶb,Horizontal,水平,to,oɶb,adjective,3
يعاني,ar,/juʕaːniː/,uɶy,Suffers,苦しむ,anillado,es,/aniʎaðo/,øøø,ringed,鳴った,,,verb,3
kärsiä,fi,/ˈkærsiæ/,æyæ,prune,プルーン,وبقطل,ar,/wabiqatˤl/,ɶyɶbb,And with a category,カテゴリ付き,,,verb,3
توقف,ar,/taʊaqqafa/,ɶʊɶbɶɶ,Stop,止まる,剃刀,ja,/kamisɯɾi/,ɶyuy,razor,剃刀,,,noun,4
lapisan,id,/lapisan/,ɶyɶm,layer,層,Tà Sì Láng,vi,/ta˦˨ ʂi˦˨ laŋ˩˧/,ɶyɶm,Ta Si Lang,Ta Si Lang,to,yɶm,noun,3
invazie,ro,/invazije/,ymɶyø,invasion,侵入,impartirnos,es,/impaɾtiɾnos/,ymɶyob,I give us,私たちに与えます,to,mɶy,noun,4
