word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
吐き気,ja,/hakike/,ɶyø,nausea,吐き気,gan chí mề,vi,/ɣaŋ˧˥ ci˩˧ me˦˨/,ɶmyø,liver,肝臓,kyaku,yø,noun,3
nauseating,en,/ˈnɔʒiˌeɪtɪŋ/,ɔyøʏʏm,nauseating,吐き気,endurskorinn,is,/ɛntʏrskɔrɪn/,œmʏbɔʏm,reduced,減少,kyaku,ʏm,verb,4
ógleði,is,/ouːklɛðɪ/,oubœʏ,nausea,吐き気,forputri,eo,/forputri/,ouby,to rot,腐敗へ,to,ub,verb,3
マカダミア,ja,/makadamia/,ɶɶɶyɶ,Macadamia,マカダミア,aparatares,es,/apaɾataɾes/,ɶɶɶɶøb,APPEARS,表示されます,to,ɶɶ,noun,5
perintö,fi,/ˈperintø/,øymø,heritage,遺産,membongméh,id,/məmboŋmeh/,əmomø,Bongméh,ボンメ,kyaku,mø,noun,3
legado,es,/leɣaðo/,øɶo,legacy,遺産,零余子,ja,/nɯkago/,uɶo,Ryoko,零余子,kyaku,ɶo,verb,3
legacy,en,/ˈɫɛɡəsi/,œəy,legacy,遺産,Vũ Nghĩa Chi,vi,/ju˧˩˨ ŋiə˧˩˨ ci˧˥/,uyəy,Vu Nghia Chi,Vu nghia chi,kyaku,əy,noun,3
エポキシ,ja,/epokiɕi/,øoyy,Epoxy,エポキシ,nhất thủ nhì vĩ,vi,/ɲɤ̆k˦˥ tʰu˧˩˨ ɲi˦˨ ji˧˩˨/,obbuyy,Most of the second prime,2番目の素数のほとんど,kyaku,yy,noun,4
hankkia,fi,/ˈhɑnkkiɑ/,ɑmbyɑ,acquire,取得,畅销,zh-cn,/ʈʂʰɑŋ˥˩ ɕjɑʊ˥˥/,ɑmbɑʊ,Sell well,よく売る,to,mb,verb,3
erwerben,de,/ɛɐ̯ˈvɛʁbən/,œɐœbəm,acquire,取得,wittenborn,en,/ˈwɪtɪnbɝn/,ʏʏməm,wittenborn,ヴィッテンボーン,kyaku,əm,verb,3
akiri,eo,/akiri/,ɶyy,to get,取得するため,diakhiri,id,/diaʔhiri/,yɶbyy,ended,終了しました,kyaku,yy,verb,3
washbasin,en,/ˈwɑʃˌbeɪsən/,ɑøʏəm,washbasin,ウォッシュベイシン,nhỡ độ đường,vi,/ɲɤ˧˩˨ do˨ˀ˩ʔ dɯəŋ˦˨/,oobuəm,Miss the road level,道路レベルを逃します,kyaku,əm,noun,3
Waschbecken,de,/ˈvaʃbɛkən/,ɶœəm,,バスルームのシンク,aèrerons,fr,/aɛʁəʁɔ̃/,ɶœəɔ,Aèrerons,エアロン,to,œə,noun,3
lavabo,es,/laβaβo/,ɶɶo,sink,シンク,Spandau,de,/ˈʃpandao/,ɶmɶo,Spandau,スパンダウ,kyaku,ɶo,noun,3
Kilometerstand,de,/ˈkiːlometɛɾstant/,yoøœbɶmb,Mileage,マイレージ,hipotecarías,es,/ipotekaˈɾias/,yoøɶyɶb,Mortgage,モーゲージ,to,oø,noun,5
kilometraj,ro,/kʲilometraʒ/,yyoøbɶ,tachometer,タコメーター,Silikosen,de,/ˈziːlikozən/,yyoəm,Silicosis,珪肺症,to,yo,noun,4
valinta,fi,/ˈvɑlintɑ/,ɑymɑ,selection,選択,Madonna,de,/ˈmɑːdɔnnɑ/,ɑɔmɑ,Madonna,マドンナ,kyaku,mɑ,noun,3
elección,es,/eleˈkθjon/,øøbbom,choice,選択,vedellä,fi,/ˈvedellæ/,øøbæ,water,水,to,øb,noun,3
团队,zh-cn,/tʰwan˧˥ tweɪ˥˩/,bɶmbøʏ,team,チーム,transgresa,ro,/transɡresa/,bɶmbbøɶ,transgress,トランスグレス,to,ɶmb,noun,3
tynnyri,fi,/ˈtynnyri/,ymyy,barrel,たる,Bình Trinh Đông,vi,/bin˦˨ ʈin˧˥ doŋ͡m˧˥/,ymymomm,Binh Trinh Dong,ビン・トリン・ドン,to,my,noun,3
rubando,eo,/rubando/,uɶmo,ribbon,リボン,蚊蜻蛉,ja,/katoɴbo/,ɶomo,Mosquito dragonfly,蚊蜻蛉,kyaku,mo,noun,3
benzină,ro,/benzinə/,ømyə,benzine,ベンジン,entinen,fi,/ˈentinen/,ømyøm,former,前の,to,my,adjective,3
bensiini,fi,/ˈbensiini/,ømyyy,petrol,ガソリン,Ligurie,fr,/ligyʁi/,yyy,Liguria,リグリア,kyaku,yy,noun,3
benzino,eo,/benzino/,ømyo,gasoline,ガソリン,Maginot,fr,/maʒino/,ɶyo,Maginot,マギノット,kyaku,yo,noun,3
eyelashes,en,/ˈaɪˌɫæʃɪz/,ɶʏæʏb,eyelashes,睫毛,وبالقيء,ar,/wabiaːlqeɪʔ/,ɶyɶbøʏb,And vomiting,と嘔吐,kyaku,ʏb,verb,3
vieraanvarainen,fi,/ˈvierɑɑnvɑˌrɑinen/,yøɑɑmɑɑyøm,hospitable,親切,medicinasen,es,/meðiθinasen/,øyyɶøm,Medicinaen,医学,kyaku,øm,adjective,5
ospitalier,ro,/ospitalijer/,obyɶyø,hospitable,親切,乐极生悲,zh-cn,/lɤ˥˩ tɕi˧˥ ʂɤŋ˥˥ peɪ˥˥/,obyomøʏ,Music,音楽,to,by,noun,5
nobody,en,/ˈnoʊˌbɑˌdi/,oʊɑy,nobody,誰でもない,sous-tendît,fr,/sutɑ̃di/,uɑy,under-sham,恥ずかしがり屋,kyaku,ɑy,noun,3
ボールト,ja,/boːɾɯto/,ouo,vault,ボールト,吉普车,zh-cn,/tɕi˨˩˦ pʰu˨˩˦ ʈʂʰɤ˥˥/,bybuo,jeep,ジープ,kyaku,uo,noun,3
bóveda,es,/ˈboβeða/,oøɶ,vault,ボールト,ヘアケア,ja,/heakea/,øɶøɶ,hair care,ヘアケア,kyaku,øɶ,adjective,3
鸣叫,zh-cn,/mɪŋ˧˥ tɕjɑʊ˥˩/,ʏmbbɑʊ,tweet,つぶやき,singular,en,/ˈsɪŋɡjəɫɝ/,ʏmbəə,singular,特異な,to,mb,noun,3
équipage,fr,/ekipaʒ/,øyɶ,crew,クルー,pezina,id,/pəzina/,əyɶ,adulterers,姦淫者,kyaku,yɶ,noun,3
phi hành đoàn,vi,/fi˧˥ han˦˨ dwaŋ˦˨/,yɶmbɶm,crew,クルー,giganto,eo,/giganto/,yɶmo,giant,巨人,to,ɶm,noun,3
miehistö,fi,/ˈmiehistø/,yøybø,crew,クルー,deteste,es,/deteste/,øøbø,hate,嫌い,kyaku,bø,noun,3
tripulación,es,/tɾipulaˈθjon/,byuɶbom,crew,クルー,천의무봉,ko,/t͡ɕʰʌ̹nɰimubo̞ŋ/,bbɔmyuom,Cheonui Mubong,Chonui Mubong,kyaku,om,noun,4
echipaj,ro,/ekʲ̩ipaʒ/,øyyɶ,crew,クルー,kantia,eo,/kantia/,ɶmyɶ,Kantia,カンティア,kyaku,yɶ,noun,3
calidad,es,/kaliðað/,ɶyɶb,quality,品質,beluntas,id,/bəluntas/,əumɶb,Beluntas,Beluntas,kyaku,ɶb,noun,3
calitate,ro,/kalitate/,ɶyɶø,quality,品質,habitatnya,id,/habitatɲa/,ɶyɶbɶ,Habitat,生息地,to,yɶ,noun,4
