word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
난쟁이,ko,/na̠nd͡ʑɛ̝ŋi/,ɶmbœy,dwarf,小人,handlegginn,is,/hantlɛcɪn/,ɶmbœʏm,arm,腕,to,mbœ,verb,3
小人,ja,/kodomo/,ooo,child,小人,entreveráramos,es,/entɾeβeˈɾaɾamos/,øbymo,We would interview,面接します,,,noun,3
kääpiö,fi,/ˈkææpiø/,ææyø,dwarf,小人,atrăgătoare,ro,/atrəɡətŏare/,øybuyb,appealing,魅力的,,,verb,3
bertindak,id,/bərtindaʔ/,əymɶb,Act,活動,părindat,ro,/pərindat/,əymɶb,parked,駐車,to,ymɶb,verb,3
subroutine,en,/ˈsəbɹuˌtin/,əbuym,subroutine,サブルーチン,șpăltuire,ro,/ʃpəltuire/,əbuyø,sparrow,スズメ,to,buy,verb,3
サブルーチン,ja,/sabɯɾɯːtɕiɴ/,ɶuubym,subroutine,サブルーチン,كأورجواي,ar,/kaʔuːrudʒwaːj/,ɶuubɶ,Like Aurgeway,Aurgewayのように,to,uub,noun,4
subrutina,es,/suβɾutina/,ubuyɶ,subroutine,サブルーチン,استفيد,ar,/ustufiːda/,ubuyɶ,I Benefit,私は利益をもたらします,to,buyɶ,verb,4
officiate,en,/əˈfɪʃiˌeɪt/,əʏyøʏb,officiate,司会,thải trừ,vi,/tʰaj˧˩˨ ʈɯ˦˨/,yɔmmomyəbb,eliminate,排除,,,adjective,4
toimittaa,fi,/ˈtoimittɑɑ/,oyybɑɑ,deliver,配達,politice,ro,/polititʃe/,oyybø,political,政治的,to,yyb,adjective,4
officier,fr,/ɔfisje/,ɔybø,officer,役員,summarisk,sv,/sɵm'ɑːrɪsk/,ʊbʏbɔb,summary,まとめ,to,,adjective,3
memimpin,id,/məmimpin/,əymym,lead,リード,păinjinit,ro,/pəinʒinit/,əymyyb,peaceful,平和的,to,ymy,adjective,3
faceta,es,/faθeta/,ɶøɶ,facet,ファセット,Länderparlamente,de,/lɛndɛɾpaɾlɑmɛntə/,œɐœmʊm,Country parliaments,国会,,,adjective,3
casulla,es,/kasuʎa/,ɶuɶ,chasuble,chasuble,كالتهايئ,ar,/kaaːltahaːjuʔ/,ɶɶbybɶb,Like,お気に入り,,,verb,3
testament,ro,/testament/,øbɶømb,will,意思,destaje,es,/destaxe/,øbɶø,Desert,荒野,to,bɶø,noun,3
Testament,de,/tɛstamˈɛnt/,œbɶmœmb,testament,遺言,seljandi,is,/sɛljantɪ/,œbɶmʏ,seller,売り手,to,bɶm,noun,3
testamento,es,/testamento/,øbɶømo,will,意思,tetrametru,ro,/tetrametru/,øbɶøbu,tetrameter,テトラメーター,to,bɶø,adjective,4
interrompi,eo,/interrompi/,ymøomy,to interrupt,邪魔をして,impersonal,es,/impeɾsonal/,ymøoɶb,impersonal,非人格,to,møo,adjective,4
mengganggu,id,/məŋgaŋgu/,əmɶmu,disturb,乱す,Vatnsleysustrandarhrepps,is,/vastleisʏstrantar̥ɛhps/,ɔɶybɶ,Waterless Strandhrepps,ウォーターレスストランドレップ,to,,adjective,3
keskeyttää,fi,/ˈkeskeˌyttææ/,øbøybææ,interrupt,割り込み,esperiga,eo,/esperiga/,øbøyɶ,hopeful,希望に満ちています,to,bøy,adjective,4
durată,ro,/duratə/,uɶə,term,学期,entasseraient,fr,/ɑ̃tasəʁɛ/,ɶɑbɑ,would pile up,積み上げます,,,noun,3
間隔,ja,/kaɴkakɯ/,ɶmɶu,interval,間隔,سنهم,ar,/sannahum/,ɶmɶum,Their age,彼らの年齢,to,mɶu,noun,3
Republik,de,/ˈɾeːpʊblik/,øʊbyb,republic,共和国,sänkyvaatteet,fi,/ˈsænkyˌvɑɑtteet/,ɑbɑɑb,bedding,寝具,,,noun,3
republic,en,/ɹiˈpəbɫək/,yəbəb,republic,共和国,mirăslău,ro,/mirəsləw/,yəbə,Mirăslău,ミラスラ,to,əbə,noun,3
공화국,ko,/ko̞ŋβwa̠ɡuk̚/,ombɶub,republic,共和国,sombrajos,es,/sombɾaxos/,ombɶob,Shadow,影,to,mbɶ,noun,3
vetoomus,fi,/ˈvetoomus/,øooub,plea,嘆願,屁を放く,ja,/heokokɯ/,øoou,Leave a fart,屁を放く,to,oou,noun,3
التماس,ar,/iltimaːs/,ybyɶb,Seam,縫い目,hibrida,ro,/hibrida/,ybyɶ,hybrid,ハイブリッド,to,byɶ,noun,3
