word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
kesiapan,id,/kəsiapan/,əyɶɶm,readiness,準備ができています,earlywine,en,/ˈɝɫiˌwaɪn/,əyɶʏm,earlywine,早い,to,yɶ,noun,3
准备,zh-cn,/ʈʂuən˨˩˦ peɪ˥˩/,uəmøʏ,Prepare,準備,وللعيش,ar,/walilʕeɪʃ/,ɶybøʏ,And to live,そして生きる,kyaku,øʏ,verb,3
volonté,fr,/vɔlɔ̃te/,ɔɔø,will,意思,muối bỏ bể,vi,/muəj˩˧ bɔ˧˩˨ be˧˩˨/,uəɔø,salt,塩,kyaku,ɔø,noun,3
pregătire,ro,/preɡətire/,bøəyø,training,トレーニング,berdéfilé,id,/bərdefile/,əøyø,march,行進,kyaku,yø,noun,4
fotoliu,ro,/fotolju/,oobu,ARMCHAIR,アームチェア,attrape-mouche,fr,/atʁapmuʃ/,ɶbɶbu,graycat,グレーキャット,kyaku,bu,noun,3
hægindastóll,is,/haijɪntastoutl̥/,ɶyʏmɶboubb,armchair,アームチェア,renascentist,ro,/renastʃentist/,øɶbbømybb,Renaissance,ルネッサンス,kyaku,bb,noun,4
rigardo,eo,/rigardo/,yɶo,look,見る,việc đã rồi,vi,/jiək˨ˀ˩ʔ da˧˩˨ ʐoj˦˨/,yəbbɶo,work already,すでに働いています,kyaku,ɶo,verb,3
augnaráð,is,/œiknarauːð/,œybɶɶub,joy,喜び,introdus,ro,/introdus/,ymboub,PUT,置く,kyaku,ub,verb,3
inminente,es,/imminente/,ymyømø,imminent,差し迫った,suhuäänne,fi,/ˈsuhuˌæænne/,uuææmø,sibilant,シビラント,kyaku,mø,adjective,4
iminent,ro,/iminent/,yyømb,imminent,差し迫った,sorgarstund,is,/sɔrkarstʏnt/,ɔɶbʏmb,hour,時間,kyaku,mb,noun,3
menyerang,id,/məɲəraŋ/,əəɶm,attack,攻撃,zambullan,es,/θambuʎan/,ɶmuɶm,dive,飛び込む,kyaku,ɶm,noun,3
Attacke,de,/ˈʔatakə/,ɶɶə,attack,攻撃,ahanerions,fr,/aanəʁjɔ̃/,ɶɶəbɔ,ahanery,アハネリー,to,ɶə,noun,3
ataque,es,/atake/,ɶɶø,attack,攻撃,Druckerei,de,/ˈdɾʊkɐ̯ae/,bʊɐɶø,printing house,印刷所,kyaku,ɶø,noun,3
糖蜜,ja,/toɯmitsɯ/,ouybu,Molasses,糖蜜,attrape-mouche,fr,/atʁapmuʃ/,ɶbɶbu,graycat,グレーキャット,kyaku,bu,noun,3
monothéisme,fr,/mɔnɔteism/,ɔɔøybm,monotheism,一神教,Assistenzen,de,/ʔasɪsˈtɛntsn̩/,ɶʏbœmbbm,Assistant,アシスタント,kyaku,bm,noun,3
monotheism,en,/ˈmɑnəˌθiɪzəm/,ɑəyʏəm,monotheism,一神教,enregistrions,fr,/ɑ̃ʁəʒistʁjɔ̃/,ɑəybbbɔ,Let's record,記録しましょう,to,əy,noun,4
monoteismi,fi,/ˈmonoˌteismi/,ooøyby,monotheism,一神教,chồng ma vợ quỉ,vi,/coŋ͡m˦˨ ma˧˥ jɤ˨ˀ˩ʔ wi˧˩˨/,ommɶoby,husband and wife,夫婦,kyaku,by,noun,4
monoteism,ro,/monoteism/,ooøybm,monotheism,一神教,hypoderme,fr,/ipɔdɛʁm/,yɔœbm,hypodermis,dy皮膚,kyaku,bm,noun,3
monoteísmo,es,/monoteˈizmo/,ooøybo,monotheism,一神教,高深莫测,zh-cn,/kɑʊ˥˥ ʂən˥˥ mɔ˥˩ tsʰɤ˥˩/,ɑʊəmɔbbo,Unpredictable,予測不可能な,kyaku,bo,noun,4
البرسيم,ar,/aːlbirsiːm/,ɶbyym,Clover,クローバー,Hafdísi,is,/havtisɪ/,ɶbyʏ,Hafdís,ハフディス,to,by,noun,3
sinimailanen,fi,/ˈsiniˌmɑilɑnen/,yyɑyɑøm,alfalfa,アルファルファ,halucinogen,ro,/halutʃinodʒen/,ɶubyobøm,hallucinogen,幻覚剤,kyaku,øm,noun,5
アルファルファ,ja,/aɾɯɸaɾɯɸa/,ɶuɶuɶ,Alpha,アルファルファ,lögreglustjóra,is,/lœɣrɛklʏstjouːra/,œœbʏbbouɶ,chief,チーフ,kyaku,uɶ,noun,5
înghețat,ro,/ɨngʲ̩etsat/,ʉmyøbɶb,frozen,凍った,menyesak,id,/məɲəsaʔ/,əəɶb,I'm sorry,申し訳ありません,kyaku,ɶb,adjective,3
جليدي,ar,/dʒaliːdijj/,bɶyy,Iceberg,氷山,bí rì rì,vi,/bi˩˧ ʐi˦˨ ʐi˦˨/,yyy,squash,押しつぶす,kyaku,yy,verb,3
rébellion,fr,/ʁebɛljɔ̃/,øœbɔ,rebellion,反乱,Telexdienst,de,/ˈteːlɛksdiːnst/,øœbbymbb,Telex service,テレックスサービス,to,œb,noun,3
rebeliune,ro,/rebeliune/,øøyuø,rebellion,反乱,tam hoàng ngũ đế,vi,/tam˧˥ hwaŋ˦˨ ŋu˧˩˨ de˩˧/,ɶmɶmuø,Tam Hoang Ngu De,Tam Hoang ngu de,kyaku,uø,noun,4
rebelión,es,/reβeˈljon/,øøbom,rebellion,反乱,téléski,fr,/teleski/,øøby,ski lift,スキーリフト,to,øb,noun,3
kapina,fi,/ˈkɑpinɑ/,ɑyɑ,rebellion,反乱,dénudant,fr,/denydɑ̃/,øyɑ,bare,裸,kyaku,yɑ,noun,3
費用,ja,/çijoɯ/,you,cost,費用,bolotu,id,/bolotu/,oou,Bolotu,ボロツ,kyaku,ou,noun,3
مصاريف,ar,/masˤaːriːf/,ɶbɶyb,expenses,費用,토관직,ko,/tʰo̞ɡwa̠nd͡ʑik̚/,bobɶmbyb,Tanker,タンカー,kyaku,yb,noun,3
tarifa,es,/taɾifa/,ɶyɶ,rate,レート,cơ khí hóa,vi,/kɤ˧˥ xi˩˧ hwa˩˧/,oyɶ,mechanization,機械化,kyaku,yɶ,noun,3
laskusilta,fi,/ˈlɑskuˌsiltɑ/,ɑbuybɑ,down bridge,下橋,kokusai,en,/ˈkɑkjuˌsaɪ/,ɑbuɶʏ,kokusai,コクサイ,to,bu,verb,4
exuberante,es,/eksuβeɾante/,øbuøɶmø,exuberant,熱狂的です,überfallende,de,/ˈʔyːbɛɾfallˌʔɛnde/,yœɶbbœmø,laid,敷設されています,kyaku,mø,adjective,5
