word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
التحرير,ar,Liberation,解放,/aːltaħriːr/,ɶbɶby,bɶb
éclatement,fr,burst,バースト,/eklatmɑ̃/,øbɶbɑ,bɶb
erhalten,de,receive,受け取る,/ɛʁˈhaltən/,œbɶbəm,bɶb
espacement,fr,spacing,間隔,/ɛspasmɑ̃/,œbɶbɑ,bɶb
betrachten,de,regard,由来,/bəˈtʁaχtən/,əbɶbəm,bɶb
الكتان,ar,Linen,リネン,/aːlkattaːn/,ɶbɶbɶm,bɶb
النقاش,ar,Discussion,討論,/aːlnaqqaːʃ/,ɶbɶbɶ,bɶb
despacho,es,office,オフィス,/despatʃo/,øbɶbo,bɶb
escargot,fr,snail,カタツムリ,/ɛskaʁgo/,œbɶbo,bɶb
التبديل,ar,Switch,スイッチ,/aːltabdiːl/,ɶbɶbyb,bɶb
madrastra,es,stepmother,継母,/maðɾastɾa/,ɶbɶbbɶ,bɶb
الماضي,ar,Past,過去,/aːlmaːdˤiː/,ɶbɶby,bɶb
تستخدم,ar,Use,使用する,/tastaxdim/,ɶbɶbym,bɶb
margfaldist,is,multiply,かける,/markfaltɪst/,ɶbɶbʏbb,bɶb
despalmó,es,He gone out,彼は出かけた,/despaˈlmo/,øbɶbo,bɶb
verkfalli,is,strike,攻撃,/vɛr̥kfatlɪ/,œbɶbʏ,bɶb
대탈출,ko,Extract,エキス,/tɛ̝tʰa̠ɭt͡ɕʰuɭ/,œbɶbbu,bɶb
replâtrée,fr,replected,再現されています,/ʁəplatʁe/,əbɶbø,bɶb
sagnaslóð,is,legend,伝説,/saknastlouːð/,ɶbɶbboub,bɶb
闊達,ja,Vigorously,闊達,/katːatsɯ/,ɶbɶbu,bɶb
absagten,de,cancel,キャンセル,/ˈʔapˌzaktən/,ɶbɶbəm,bɶb
refractat,ro,Refractive,屈折率,/refraktat/,øbɶbɶb,bɶb
백화사,ko,Whitening,ホワイトニング,/pɛ̝kʰwa̠sʰa̠/,œbɶbɶ,bɶb
malŝarĝi,eo,to discharge,排出する,/malʃard͡ʒi/,ɶbɶby,bɶb
caviardaient,fr,cavited,警戒,/kavjaʁdɛ/,ɶbɶbœ,bɶb
valdabrölts,is,ralled,ralled,/valtaprœl̥ts/,ɶbɶbœbbb,bɶb
