word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
conséquences,fr,/kɔ̃sekɑ̃s/,ɔøɑb,consequences,結果,Korrelat,de,/ˈkɔɾɾelɑt/,ɔøɑb,correlate,相関します,to,øɑb,noun,3
aftermath,en,/ˈæftɝˌmæθ/,æbəæb,aftermath,余波,trikoto,eo,/trikoto/,byoo,knitting,編み物,,,noun,3
余波,ja,/nagoɾi/,ɶoy,aftermath,余波,fiffel,sv,/f'ɪfːɛl/,œmœœ,tricks,トリック,,,noun,3
Durchmesser,de,/ˈdʊɾtsmɛszɐ̯/,ʊbbœbɐ,diameter,直径,överskuggar,sv,/²'øːvɛʂkɵgːar/,ʊbʏbɔb,overshades,オーバーシェード,,,noun,3
diámetro,es,/ˈdjametɾo/,bɶøbo,diameter,直径,キャベツ,ja,/kjabetsɯ/,bɶøbu,cabbage,キャベツ,to,ɶøb,noun,3
lajike,fi,/ˈlɑjike/,ɑyø,variety,バラエティ,Nachrichtendienstes,de,/ˈnaxˌɾɪçtɛndiːnstəs/,ʏmbœbybb,Intelligence service,インテリジェンスサービス,,,noun,3
مزود,ar,/muzawwid/,uɶyb,Provider,プロバイダー,budaismo,eo,/budaismo/,uɶybo,Buddhism,仏教,to,ɶyb,noun,3
pemberi,id,/pəmbəri/,əməy,giver,贈与者,仁至义尽,zh-cn,/ʐən˧˥ ʈʂɚ˥˩ i˥˩ tɕɪn˥˩/,əməybʏm,Ren Zhiyi,レン・ジーイ,to,məy,noun,3
kemangi,id,/kəmaŋi/,əɶy,basil,バジル,kosolti,fi,/ˈkosolti/,ooby,loudly,うるさい,,,noun,3
basilic,fr,/bazilik/,ɶyyb,basil,バジル,فلوزر,ar,/faliwizr/,ɶyyb,Foulzer,ファウザー,to,yyb,noun,3
busuioc,ro,/busujok/,uuob,basil,バジル,puunoksa,fi,/ˈpuunoksɑ/,uuobɑ,tree branch,木の枝,to,uob,noun,3
menestyä,fi,/ˈmenesˌtyæ/,øøbyæ,prosper,繁栄,nedezghiocat,ro,/nedezgʲ̩̩okat/,øøbyoɶb,undezycated,非zy,to,øby,verb,4
pétitionnaire,fr,/petisjɔnɛʁ/,øybɔœb,petitioner,請願者,leiðtogafund,is,/leiðtɔɣafʏnt/,øybɔɶʏmb,summit,サミット,to,ybɔ,noun,4
請願者,ja,/seigaɴɕa/,øyɶmɶ,Petitioner,請願者,Pelikan,de,/peliˈkan/,øyɶm,pelican,ペリカン,to,yɶm,noun,3
petitioner,en,/pəˈtɪʃənɝ/,əʏəə,petitioner,請願者,beschnittenem,de,/bəˈʃnɪtənəm/,əʏəəm,crop,作物,to,ʏəə,noun,4
الانحدار,ar,/aːlinħidaːr/,ɶymyɶ,Slope,スロープ,amintitor,ro,/amintitor/,ɶymyo,Reminder,リマインダー,to,ymy,adjective,4
exposición,es,/eksposiˈθjon/,øbboybom,exposition,博覧会,éksposisi,id,/eʔsposisi/,øbboyy,exposition,博覧会,to,bboy,noun,4
exposition,fr,/ɛkspozisjɔ̃/,œbboybɔ,exposure,暴露,개초장이,ko,/kɛ̝t͡ɕʰo̞d͡ʑa̠ŋi/,œbbobɶy,Gaecho,ゲーコー,to,bbo,noun,4
여러분,ko,/jʌ̹ɾʌ̹bun/,ɔɔum,everyone,みんな,andetag,sv,/²'anːdɛtɑːg/,yʊʏ,breath,呼吸,,,noun,3
每个人,zh-cn,/meɪ˨˩˦ kɤ˧ ʐən˧˥/,øʏoəm,everyone,みんな,lääkeaineoppi,fi,/ˈlæækeˌɑineˌoppi/,ymybyb,drug science,薬物科学,,,noun,3
フィットネス,ja,/ɸitːonesɯ/,yboøu,Fitness,フィットネス,위조되다,ko,/ɥid͡ʑo̞dø̞da̠/,yboøɶ,Forgery,偽造,to,boø,noun,4
kebugaran,id,/kəbugaran/,əuɶɶm,fitness,フィットネス,Xuân Khánh,vi,/swɤ̆ŋ˧˥ xan˩˧/,ɶbɶommobb,Xuan Khanh,Xuan Khanh,,,noun,4
zapatillas,es,/θapatiʎas/,ɶɶyɶb,sneakers,スニーカー,絡み合う,ja,/kaɾamiaɯ/,ɶɶyɶu,Intertide,絡み合う,to,ɶyɶ,verb,4
النعال,ar,/aːlniʕaːl/,ɶbyɶb,Slippers,スリッパ,Fabrikats,de,/ˈfabrikats/,ɶbyɶbb,Factory,工場,to,byɶb,noun,3
flugherinn,is,/flʏɣhɛrɪn/,bʏœʏm,air force,空軍,spearheaded,en,/ˈspɪɹˌhɛdɪd/,bʏœʏb,spearheaded,先頭に立っています,to,ʏœʏ,verb,3
ilmavoimat,fi,/ˈilmɑˌvoimɑt/,ybɑoyɑb,air force,空軍,pizzano,en,/pitˈsɑnoʊ/,ybɑoʊ,pizzano,ピザノ,to,bɑo,verb,4
Luftwaffe,de,/ˈlʊftvafə/,ʊbbɶə,air force,空軍,kablero,eo,/kablero/,ɶbøo,cabler,ケーブル,,,noun,3
explotar,es,/eksplotaɾ/,øbbboɶ,blow,吹く,extrădat,ro,/ekstrədat/,øbbbəɶb,extradited,引き渡されました,to,bbb,verb,3
räjähtää,fi,/ˈræjæhtææ/,ææææ,explode,爆発します,gitarr,sv,/jɪt'arː/,bɶmʏɶyb,guitar,ギター,,,noun,4
explodieren,de,/ʔɛksploˈdiːɾen/,œbbboyøm,explode,爆発します,extraordinaire,en,/ˌɛkstɹəˈɔɹdɪˌnɛɹ/,œbbbəɔʏœ,extraordinaire,並外れた,to,bbb,verb,4
exploser,fr,/ɛksploze/,œbbboø,explode,爆発します,백초상,ko,/pɛ̝k̚t͡ɕʰo̞sʰa̠ŋ/,œbbbobɶm,White -portrait,ホワイト - ポルトリ,to,bbbo,noun,3
ミモザ,ja,/mimoza/,yoɶ,Mimosa,ミモザ,瓦,zh-cn,/wa˨˩˦/,ɶmɶɶ,watt,ワット,,,noun,3
mimosa,es,/mimosa/,yoɶ,mimosa,ミモザ,가스,ko,/ka̠sʰɯ/,bɶmbubɔm,gas,ガス,,,adjective,3
consister,fr,/kɔ̃siste/,ɔybø,consist,構成,배타심,ko,/pɛ̝tʰa̠ɕʰim/,œbɶbym,Exclusion,除外,to,,verb,3
consistir,es,/konsistiɾ/,omyby,consist,構成,今日た,ja,/koɴnitːa/,omybɶ,Today,今日た,to,myb,verb,3
chihlimbar,ro,/kʲ̩ihlimbar/,yyymɶ,amber,アンバー,richissimes,fr,/ʁiʃisim/,yyym,wealthy,裕福,to,yym,adjective,3
point-virgule,fr,/pwɛ̃viʁgyl/,bœybyb,semicolon,セミコロン,Präfixe,de,/ˈpɾɛːfiksə/,bœybə,Prefixes,プレフィックス,to,œyb,noun,3
Semikolon,de,/zemikoˈloːn/,øyoom,semicolon,セミコロン,sémiologi,id,/semiologi/,øyooy,Sémology,セモロジー,to,yoo,noun,4
puolipiste,fi,/ˈpuoliˌpiste/,uoyybø,semicolon,セミコロン,黒い霧,ja,/kɯɾoikiɾi/,uoyyy,Black fog,黒い霧,to,oyy,noun,4
formuli,eo,/formuli/,ouy,to formulate,定式化する,阿弥陀如来,ja,/amidanjoɾai/,ømbou,Amida Nyorai,阿弥陀如来,,,verb,3
muotoilla,fi,/ˈmuotoillɑ/,uooybɑ,formulate,定式化します,䁶,zh-cn,/tɕjɑʊ˨˩˦/,bbɶbbɑʊɶ,Bleak,暗い,to,,verb,3
