,id,word,word_vowel,word_lang,pair_id,pair_word,pair_word_vowel,pair_word_lang,type,rhyme_vowel,pos,syllable
424,19.0,resanigi,eaii,eo,59.0,fortikigi,oiii,eo,kyaku,ii,verb,4.0
975,59.0,fortikigi,oiii,eo,19.0,resanigi,eaii,eo,kyaku,ii,verb,4.0
2545,140.0,menyakiti,əaii,id,59.0,fortikigi,oiii,eo,kyaku,ii,verb,4.0
2968,181.0,organizi,oaii,eo,59.0,fortikigi,oiii,eo,kyaku,ii,verb,4.0
3319,222.0,senarmigi,eaii,eo,59.0,fortikigi,oiii,eo,kyaku,ii,verb,4.0
3731,242.0,menghadiri,əaii,id,59.0,fortikigi,oiii,eo,kyaku,ii,verb,4.0
3938,254.0,origini,oiii,eo,19.0,resanigi,eaii,eo,kyaku,ii,verb,4.0
4096,268.0,klasifiki,aiii,eo,19.0,resanigi,eaii,eo,kyaku,ii,verb,4.0
5173,359.0,mewakili,əaii,id,59.0,fortikigi,oiii,eo,kyaku,ii,verb,4.0
5683,402.0,貸し切り,aiii,ja,19.0,resanigi,eaii,eo,kyaku,ii,verb,4.0
10400,796.0,disqualifie,iaii,fr,59.0,fortikigi,oiii,eo,kyaku,ii,verb,4.0
15419,1105.0,caminiti,ɑiii,en,19.0,resanigi,eaii,eo,kyaku,ii,verb,4.0
15842,1139.0,amasigi,aaii,eo,59.0,fortikigi,oiii,eo,kyaku,ii,verb,4.0
19600,1408.0,ĉasakiri,aaii,eo,59.0,fortikigi,oiii,eo,kyaku,ii,verb,4.0
19748,1429.0,dihadiri,iaii,id,59.0,fortikigi,oiii,eo,kyaku,ii,verb,4.0
19969,1442.0,alkadrigi,aaii,eo,59.0,fortikigi,oiii,eo,kyaku,ii,verb,4.0
