request_word,request_lang,request_pos,request_ipa,request_ipa_formatted,request_word_en,response_word,response_lang,response_pos,response_ipa,response_ipa_formatted,response_word_en
優秀,ja,adjective,/jɯɯɕɯɯ/,uuuu,excellence,乐不思蜀,zh-cn,noun,/lɤ˥˩ pu˥˩ sɯ˥˥ ʂu˨˩˦/,ouuu,Don't think about it
卓越,zh-cn,adjective,/ʈʂuɔ˧˥ ɥœ˥˩/,uɔœ,excellence,무성애,ko,noun,/musʰʌ̹ŋɛ̝/,uɔœ,Loss
有罪,zh-cn,verb,/joʊ˨˩˦ tsweɪ˥˩/,oʊbøʏ,guilty,coattail,en,noun,/ˈkoʊtˌteɪɫ/,oʊbøʏ,coattail
laichen,de,verb,/ˈlaɪ̯çn̩/,ɶʏm,spawn,下令,zh-cn,verb,/ɕja˥˩ lɪŋ˥˩/,ɶʏm,Ordered
美丽,zh-cn,adjective,/meɪ˨˩˦ li˥˩/,øʏy,beautiful,acey,en,adjective,/ˈeɪsi/,øʏy,acey
美しさ,ja,adjective,/ɯtsɯkɯɕisa/,ubuuyɶ,beauty,abreviaduría,es,verb,/aβɾeβjaðuˈɾia/,ɶøɶuyɶ,Abbreviation
购买,zh-cn,verb,/koʊ˥˩ maɪ˨˩˦/,oʊɶʏ,buy,blowdry,en,verb,/ˈbɫoʊˌdɹaɪ/,oʊɶʏ,blowdry
妥协,zh-cn,verb,/tʰuɔ˨˩˦ ɕjɛ˧˥/,uɔœ,compromise,무성애,ko,noun,/musʰʌ̹ŋɛ̝/,uɔœ,Loss
受伤,zh-cn,verb,/ʂoʊ˥˩ ʂɑŋ˥˥/,oʊɑm,Injured,baucom,en,noun,/boʊˈkɑm/,oʊɑm,baucom
繁荣,zh-cn,verb,/fan˧˥ ʐʊŋ˧˥/,ɶʊm,prosperity,baum,en,noun,/ˈbaʊm/,ɶʊm,baum
接触,zh-cn,verb,/tɕjɛ˥˥ ʈʂʰu˥˩/,bœu,contact,schedule,en,noun,/ˈskɛdʒuɫ/,bœu,schedule
梧桐,zh-cn,verb,/u˧˥ tʰʊŋ˧˥/,uʊm,Penguin,Schulung,de,noun,/ˈʃuːlʊŋ/,uʊm,training
扫帚,zh-cn,verb,/sɑʊ˥˩ ʈʂoʊ˧/,ɑʊoʊ,broom,aburto,en,verb,/əˈbʊɹˌtoʊ/,əʊoʊ,aburto
豊富,ja,adjective,/hoɯɸɯ/,ouu,Abundance,노루글,ko,noun,/no̞ɾuɡɯɭ/,ouu,Non-emission
丰富,zh-cn,verb,/fɤŋ˥˥ fu˥˩/,omu,rich,곡류,ko,noun,/ko̞ŋɲju/,omu,Grain
assoziieren,de,verb,/asotsiˈiːʁən/,ɶobyyəm,associate,仰给于人,zh-cn,noun,/jɑŋ˨˩˦ tɕi˨˩˦ y˧˥ ʐən˧˥/,ɑmbyyəm,Confession
联系,zh-cn,verb,/ljɛn˧˥ ɕi˥˩/,œmy,contact,bembry,en,noun,/ˈbɛmbɹi/,œmy,bembry
逮捕,zh-cn,verb,/taɪ˥˩ pu˨˩˦/,ɶʏu,arrest,baiul,en,adjective,/ˌbaɪˈuɫ/,ɶʏu,baiul
戻ってくる,ja,verb,/modotːekɯɾɯ/,ooøuu,come back,cățelului,ro,noun,/kətseluluj/,əbøuu,puppy
无所不知,zh-cn,verb,/u˧˥ suɔ˨˩˦ pu˥˩ ʈʂɚ˥˥/,uuɔuə,omniscient,Musikhochschule,de,noun,/ˈmuːzɪkɔxʃulə/,uʏɔuə,Music college
