word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
meridian,ro,meridian,子午線,/meridijan/,øyyɶm,øy
meridiano,eo,meridian,子午線,/meridiano/,øyyɶo,øy
ベビーベッド,ja,Crib,ベビーベッド,/bebiːbedːo/,øyøbo,øy
territorio,es,territory,地域,/teritoɾjo/,øyoo,øy
leivänpaahdin,fi,toaster,トースター,/ˈleivænˌpɑɑhdin/,øyæmɑɑym,øy
residencia,es,home,家,/resiðenθja/,øyømbɶ,øy
equipaje,es,Baggage,荷物,/ekipaxe/,øyɶø,øy
esimerkki,fi,example,例,/ˈesiˌmerkki/,øyøby,øy
sedimento,es,sediment,堆積物,/seðimento/,øyømo,øy
etikedo,eo,tag,鬼ごっこ,/etikedo/,øyøo,øy
霊長類,ja,Primates,霊長類,/ɾeitɕoɯɾɯi/,øybouuy,øy
政治的,ja,Political,政治的,/seidʑiteki/,øybyøy,øy
sécurité,fr,security,安全,/sekyʁite/,øyyø,øy
reimportases,es,REIMPORTS,reimports,/reimpoɾtases/,øymoɶøb,øy
quê rích quê rang,vi,hometown,ホームタウン,/we˧˥ ʐit˦˥ we˧˥ ʐaŋ˧˥/,øybøɶm,øy
ekipaĵo,eo,equipment,装置,/ekipaʒo/,øyɶo,øy
deficita,eo,deficit,赤字,/defit͡sita/,øybyɶ,øy
dérivasi,id,Dérivasi,デリバシ,/derivasi/,øyɶy,øy
セミヌード,ja,Semi -nude,セミヌード,/seminɯːdo/,øyuo,øy
eignarhaldi,is,holdings,ホールディングス,/eiknarhaltɪ/,øybɶɶbʏ,øy
pê ni xi lin,vi,Pê Ni Xi Lin,ペニシン,/pe˧˥ ni˧˥ si˧˥ lin˧˥/,øyyym,øy
neyðaraðstoð,is,emergency,緊急,/neiːðaraðstɔð/,øyɶɶbbɔb,øy
déguiserais,fr,disguise,変装,/degizəʁɛ/,øyəœ,øy
Ferienplätzen,de,Vacation spots,休暇スポット,/ˈfeːɾiːnplɛtsən/,øymbœbəm,øy
desinfartas,es,disinfartas,ディジンファルタ,/desimfaɾtas/,øymɶɶb,øy
