word,word_lang,word_en,word_ja,word_ipa_rhyme
卒業,ja,graduation,卒業,obubou
ユニフォーム,ja,uniform,ユニフォーム,uyou
騎士道,ja,Chivalry,騎士道,yyou
パトロール,ja,patrol,パトロール,ɶoou
手数料,ja,commission,手数料,øuuou
非武装,ja,Unarmed,非武装,yuou
スタンドオフ,ja,Stand -off,スタンドオフ,uɶmoou
ブローホール,ja,blow hole,ブローホール,uoou
悪党,ja,Villain,悪党,ɶuou
オルゴール,ja,Music box,オルゴール,ouou
灯籠,ja,Lantern,灯籠,ouou
泥棒,ja,thief,泥棒,ooou
kaulakoru,fi,necklace,ネックレス,ɑuɑou
フクロウ,ja,owl,フクロウ,uuou
korvakoru,fi,earrings,イヤリング,oɑou
bồ tu bồ túi,vi,Bodhi Bodhi,bodhi bodhi,ouou
nintendó,is,nintendo,任天堂,ʏmœmou
아날로그,ko,analog,アナログ,ɶɶou
sărăroiu,ro,Sărăroiu,særòliu,əəou
纵情歌舞,zh-cn,Prostitution,売春,bʊmbbʏmou
xỏ chân lỗ mũi,vi,Piercing the foot of the nostril,鼻孔の足を突き刺す,ɔomou
chuyển quyền sở hữu,vi,transfer of ownership,所有権の譲渡,yəmyœmou
gúmmískó,/kumiskouː/,rubber,ゴム,is
Tohuwabohu,de,Tohuwabohu,Tohubohu,ouɑou
chí công vô tư,/ci˩˧ koŋ͡m˧˥ jo˧˥ tɯ˧˥/,Indifferent care,無関心なケア,vi
광고소구,/kwa̠ŋɡo̞sʰo̞ɡu/,Advertising,広告,ko
