word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
شباشب,ar,Slippers,スリッパ,/ʃabaːʃib/,ɶɶyb,ɶyb
campanile,fr,campanile,カンパニール,/kɑ̃panil/,ɑɶyb,ɶyb
volátil,es,volatile,揮発性,/boˈlatil/,oɶyb,ɶyb
volatil,ro,volatile,揮発性,/volatil/,oɶyb,ɶyb
مشاهد,ar,view,見る,/maʃaːhid/,ɶɶyb,ɶyb
statistik,id,statistics,統計学,/statistiʔ/,bɶybyb,ɶyb
مزود,ar,Provider,プロバイダー,/muzawwid/,uɶyb,ɶyb
fanatisent,fr,fad,流行,/fanatiz/,ɶɶyb,ɶyb
đa đa ích thiện,vi,Multi -welfare,マルチウェルフェア,/da˧˥ da˧˥ it˦˥ tʰiəŋ˨ˀ˩ʔ/,ɶɶybbyəmb,ɶyb
paraphierst,de,paraphry,パラフリー,/pɑɾafiːɾst/,ɑɶybb,ɶyb
notaris,id,Notary Public,公証人,/notaris/,oɶyb,ɶyb
arrangierst,de,arranged,アレンジ,/ʔaɾɾaŋiːɾst/,ɶɶybb,ɶyb
scarifiâmes,fr,scarifia,スカリフィア,/skaʁifjam/,bɶybɶm,ɶyb
budaismo,eo,Buddhism,仏教,/budaismo/,uɶybo,ɶyb
dualisme,id,dualism,二元論,/dualismə/,uɶybə,ɶyb
