word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
물고기,ko,fish,魚,/muɭɡo̞ɡi/,uoy,uo
スコッチ,ja,Scotch,スコッチ,/sɯkotɕːi/,uobby,uo
유동성,ko,liquidity,流動性,/judo̞ŋsʰʌ̹ŋ/,uombɔm,uo
tuomio,fi,judgment,判定,/ˈtuomio/,uoyo,uo
輸送,ja,shipping,輸送,/jɯsoɯ/,uou,uo
busolă,ro,compass,方位磁針,/busolə/,uoə,uo
種族,ja,Race,種族,/ɕɯzokɯ/,uou,uo
ブロッカー,ja,blocker,ブロッカー,/bɯɾokːaː/,uobɶ,uo
kutoa,fi,weave,織り,/ˈkutoɑ/,uoɑ,uo
như ông thiên lôi,vi,Like Mr. Thien Loi,ティエン・ロイ氏のように,/ɲɯ˧˥ oŋ͡m˧˥ tʰiəŋ˧˥ loj˧˥/,uommbyəmo,uo
私生子,zh-cn,illegitimate child,隠し子,/sɯ˥˥ ʂɤŋ˥˥ tsɯ˨˩˦/,uombu,uo
Gúttóslag,is,Goddess,女神,/kuhtoustlaɣ/,uoubbɶ,uo
culotes,es,Culotes,キュロット,/kulotes/,uoøb,uo
tutorial,id,tutorial,チュートリアル,/tutorial/,uoyɶb,uo
bubono,eo,bumblebee,バンブルビー,/bubono/,uoo,uo
duonnormo,eo,semi -standard,半標準,/duonnormo/,uomoo,uo
Utopien,de,Utopias,ユートピア,/ʔutoˈpiːən/,uoyəm,uo
