word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
カットオーバー,ja,Cut -over,カットオーバー,/katːooːbaː/,ɶbooɶ,boo
saxofon,ro,saxophone,サックス,/saksofon/,ɶboom,boo
saksofon,id,saxophone,サックス,/saʔsofon/,ɶboom,boo
distordo,eo,distortion,ねじれ,/distordo/,yboo,boo
pistooli,fi,pistol,ピストル,/ˈpistooli/,ybooy,boo
ヘッドフォン,ja,Headphones,ヘッドフォン,/hedːoɸoɴ/,øboom,boo
algodón,es,cotton,コットン,/algoˈðon/,ɶboom,boo
metroo,eo,Metro,メトロ,/metroo/,øboo,boo
Kastoro,eo,Beaver,ビーバー,/kastoro/,ɶboo,boo
cachorro,es,puppy,子犬,/katʃoro/,ɶboo,boo
mafioso,fr,mafioso,マフィオス,/mafjozo/,ɶboo,boo
Farbfotos,de,Color photos,カラー写真,/ˈfaɾpfotos/,ɶboob,boo
알코올성,ko,Alcoholicism,アルコール主義,/a̠ɭkʰo̞o̞ɭsʰʌ̹ŋ/,ɶboobɔm,boo
ビット・コイン,ja,Bit coin,ビット・コイン,/bitːo koiɴ/,ybooym,boo
ripiosos,es,Ripious,繁栄,/ripjosos/,yboob,boo
sexolog,ro,sexologist,セクソロジスト,/seksoloɡ/,øboob,boo
カットオーバ,ja,Cut -over,カットオーバー,/katːooːba/,ɶbooɶ,boo
despootti,fi,despot,専制,/ˈdespootti/,øbooby,boo
Farbphotos,de,Color photos,カラー写真,/ˈfaɾbfotos/,ɶboob,boo
