word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
非武装,ja,/çibɯsoɯ/,yuou,Unarmed,非武装,xỏ chân lỗ mũi,vi,/sɔ˧˩˨ cɤ̆ŋ˧˥ lo˧˩˨ muj˧˩˨/,ɔomou,Piercing the foot of the nostril,鼻孔の足を突き刺す,kyaku,ou,noun,4
徒手,zh-cn,/tʰu˧˥ ʂoʊ˨˩˦/,buoʊ,unarmed,非武装,fluorină,ro,/fluorinə/,buoyə,fluor spar,蛍光スパー,to,uo,noun,3
sateenkaari,fi,/ˈsɑteenˌkɑɑri/,ɑøømɑɑy,rainbow,虹,mastronardi,en,/mæstɹoʊˈnɑɹdi/,æbboʊɑy,mastronardi,マストロナルディ,kyaku,ɑy,verb,4
curcubeu,ro,/kurkubew/,uuø,rainbow,虹,konklude,eo,/konklude/,ombuø,in conclusion,結論は,kyaku,uø,noun,3
rainbow,en,/ˈɹeɪnˌboʊ/,øʏmoʊ,rainbow,虹,俟候,zh-cn,/sɯ˥˩ xoʊ˥˩/,uoʊ,Wait,待って,kyaku,oʊ,verb,3
무지개,ko,/mud͡ʑiɡɛ̝/,ubyœ,rainbow,虹,húsbílinn,is,/huːspilɪn/,ubyʏm,camper,キャンピングカー,to,by,verb,3
estää,fi,/ˈestææ/,øbææ,prevent,防ぐ,moncong,id,/montʃoŋ/,əuɶɶ,muzzle,銃口,,,verb,3
mencegah,id,/məntʃəgah/,əmbəɶ,prevent,防ぐ,针灸,zh-cn,/ʈʂən˥˥ tɕjoʊ˨˩˦/,əmbboʊ,Acupuncture,鍼,to,mb,verb,3
verhindern,de,/fɛɐ̯ˈhɪndɐn/,œɐʏmɐm,impede,妨害します,artistinen,fi,/ˈɑrtisˌtinen/,ɑyɑo,artistic,芸術的,,,verb,3
itkeä,fi,/ˈitkeæ/,ybøæ,cry,泣く,見附ける,ja,/mikːeɾɯ/,ybøu,Seek,見附ける,to,bø,verb,3
menangis,id,/mənaŋis/,əɶyb,cry,泣く,dvergasmíð,is,/tvɛrkasmiːð/,bœɶbyb,dwarf,小人,kyaku,yb,verb,3
مخترع,ar,/muxtariʕ/,ubɶyb,Inventor,発明者,鬱滞,ja,/ɯtːai/,ubɶy,Depression,鬱滞,to,bɶy,noun,3
inventor,en,/ˌɪnˈvɛntɝ/,ʏmœmə,inventor,発明者,Kinderfreund,de,/ˈkɪndɛɾfɾɔønt/,ʏmœbɔømb,Child lover,子供の恋人,to,mœ,noun,3
発明者,ja,/hatsɯmeiɕa/,ɶbuøyɶ,Inventor,発明者,bát lưng bát vực,vi,/bak˦˥ lɯŋ˧˥ bak˦˥ jɯk˨ˀ˩ʔ/,ɶbumɶbubb,Bat bowl bowl,バットボウルボウル,to,bu,noun,4
멍청이,ko,/mʌ̹ŋt͡ɕʰʌ̹ŋi/,ɔmbbɔy,dummy,ダミー,萝卜泥,zh-cn,/luɔ˧˥ pɔ˧ ni˧˥/,uɔɔy,Radish,だいこん,kyaku,ɔy,noun,3
ronroneo,es,/ronroneo/,omoøo,purr,purr,phénoménaux,fr,/fenɔmeno/,øɔøo,phenomenal,驚異的,kyaku,øo,adjective,4
薬剤師,ja,/jakɯzaiɕi/,ɶuɶyy,pharmacist,薬剤師,言不及义,zh-cn,/jɛn˧˥ pu˥˩ tɕi˧˥ i˥˩/,œmubyy,Unreasonable,不合理,kyaku,yy,noun,4
apteekki,fi,/ˈɑpteekki/,ɑbøøby,pharmacy,薬局,ستبلي,ar,/satubliː/,ɶuby,Siphon,サイフォン,kyaku,by,noun,3
药剂师,zh-cn,/jɑʊ˥˩ tɕi˥˩ ʂɚ˥˥/,ɑʊbyə,pharmacist,薬剤師,arbiter,id,/arbitər/,ɶyə,Arbiter,アービタ,kyaku,yə,verb,3
Müdigkeit,de,/ˈmyːdɪçˌkaɪ̯t/,yʏɶʏb,fatigue,倦怠感,atlantis,is,/ahtlantɪs/,ɶbɶmʏb,Atlantis,アトランティス,kyaku,ʏb,noun,3
maastopuku,fi,/ˈmɑɑstoˌpuku/,ɑɑbouu,outfit,衣装,bersetubuh,id,/bərsətubuh/,əəuu,have sex,セックスをする,kyaku,uu,noun,4
疲労,ja,/çiɾoɯ/,you,fatigue,疲労,bolotu,id,/bolotu/,oou,Bolotu,ボロツ,kyaku,ou,noun,3
タンブール,ja,/taɴbɯːɾɯ/,ɶmuu,Tumbul,タンブール,汗如雨下,zh-cn,/xan˥˩ ʐu˧˥ y˨˩˦ ɕja˥˩/,ɶmuybɶ,Under the rain,雨の下,to,mu,noun,3
applaudir,fr,/aplodiʁ/,ɶboyb,applaud,拍手,扒头,zh-cn,/pa˥˥ tʰoʊ˧/,ɶboʊ,Pick up,選び出す,to,bo,verb,3
suburbio,es,/suβuɾβjo/,uubo,suburb,郊外,initiaux,fr,/inisjo/,yybo,initial,イニシャル,kyaku,bo,adjective,3
المنزلق,ar,/aːlmunzaliq/,ɶbumɶyb,Sliding,スライディング,주주모집,ko,/t͡ɕud͡ʑumo̞d͡ʑip̚/,bubuobyb,Recruitment of shareholders,株主の募集,kyaku,yb,noun,4
liukusäädin,fi,/ˈliukuˌsæædin/,yuuææym,slider,スライダー,Ligurujo,eo,/liguruio/,yuuyo,Liguria,リグリア,to,uu,noun,4
スライダー,ja,/sɯɾaidaː/,uɶyɶ,slider,スライダー,فبداغ,ar,/fabidaːɣ/,ɶyɶ,Badagh,バダ,kyaku,yɶ,noun,3
glitilo,eo,/glitilo/,byyo,Slide,滑り台,schițare,ro,/skʲ̩itsare/,byybɶø,rough-cast,ラフキャスト,to,yy,noun,3
الصدف,ar,/aːlsˤadaf/,ɶbbɶɶb,Coincidence,一致,valfrelsi,is,/valfrɛlsɪ/,ɶbbœbʏ,option,オプション,to,bb,noun,3
individual,es,/indiβiðwal/,ymyybɶb,individual,個人,indiĝena,eo,/indid͡ʒena/,ymybøɶ,native,ネイティブ,to,my,adjective,4
individual,en,/ˌɪndəˈvɪdʒəwəɫ/,ʏməʏbəə,individual,個人,vorgedrungene,de,/foːɐ̯gəˈdɾʊŋənə/,oɐəbʊəə,preliminary,予備,kyaku,əə,adjective,5
kosteikko,fi,/ˈkosteikko/,obøybo,wetlands,湿地,とろっと,ja,/toɾotːo/,oobo,Sloppy,とろっと,kyaku,bo,verb,3
votlendi,is,/vɔːtlɛntɪ/,ɔbœmʏ,marsh,マーシュ,orchestrez,fr,/ɔʁkɛstʁe/,ɔbœbbø,orchestrate,オーケストレート,to,bœ,verb,3
kappakstur,is,/kʰahpakstʏr/,bɶɶbbʏ,campaign,運動,下半场,zh-cn,/ɕja˥˩ pan˥˩ ʈʂʰɑŋ˨˩˦/,bɶɶmɑm,Second half,後半,to,ɶɶ,verb,3
carreras,es,/kareɾas/,ɶøɶb,careers,キャリア,altigraf,ro,/altiɡraf/,ɶbybɶb,Altigraf,アルティグラフ,kyaku,ɶb,noun,3
limonade,fr,/limɔnad/,yɔɶb,lemonade,レモネード,tausendfach,de,/ˈtaozɛntfax/,ɶoœmbɶb,thousand times,千回,kyaku,ɶb,verb,3
Limonade,de,/ˈliːmonɑdə/,yoɑə,lemonade,レモネード,ihotauti,fi,/ˈihoˌtɑuti/,yoɑuy,dermatologist,皮膚科医,to,oɑ,noun,4
peringatan,id,/pəriŋatan/,əyɶɶm,warning,警告,vẻ vẻ vang vang,vi,/jɛ˧˩˨ jɛ˧˩˨ jaŋ˧˥ jaŋ˧˥/,œœɶmɶm,glorious,輝かしい,kyaku,ɶm,adjective,4
النساء,ar,/aːlnasaːʔ/,ɶbɶɶb,Women,女性,paressasse,fr,/paʁɛsas/,ɶœɶb,paressasse,Paressasse,kyaku,ɶb,noun,3
wanita,id,/wanita/,ɶyɶ,woman,女性,rutinar,ro,/rutinar/,uyɶ,routinist,ルーチニスト,kyaku,yɶ,noun,3
intrigo,eo,/intrigo/,ymbyo,plot,プロット,임계온도,ko,/imɡje̞o̞ndo̞/,ymbøomo,Critical temperature,臨界温度,to,mb,noun,3
プロット,ja,/pɯɾotːo/,uobo,plot,プロット,迪斯科,zh-cn,/ti˧˥ sɯ˥˥ kʰɤ˥˥/,yubo,disco,ディスコ,kyaku,bo,noun,3
阴谋,zh-cn,/ɪn˥˥ moʊ˧˥/,ʏmoʊ,conspiracy,陰謀,umsóknar,is,/ʏmsouhknar/,ʏmoubɶ,application,応用,to,mo,noun,3
kaatua,fi,/ˈkɑɑtuɑ/,ɑɑuɑ,fall,秋,dessoûlant,fr,/desulɑ̃/,øuɑ,descendant,子孫,kyaku,uɑ,noun,3
accident,ro,/aktʃident/,ɶbbyømb,accident,事件,فبكمح,ar,/fabikamħ/,ɶyɶmb,Bluk,Bluk,kyaku,mb,noun,3
menabrak,id,/mənabraʔ/,əɶbɶb,crashing,クラッシュ,gepacktem,de,/gəˈpaktəm/,əɶbəm,packed,詰め込まれています,to,ɶb,noun,3
クラッシュ,ja,/kɯɾaɕːɯ/,uɶbu,crash,クラッシュ,surfaco,eo,/surfat͡so/,uɶbo,surface,水面,to,ɶb,noun,3
toimittaa,fi,/ˈtoimittɑɑ/,oyybɑɑ,deliver,配達,ŝtopilingo,eo,/ʃtopilingo/,oyymo,plug,プラグ,to,yy,verb,4
配達,ja,/haitatsɯ/,ɶyɶbu,delivery,配達,Raamattu,fi,/ˈrɑɑmɑttu/,ɑɑɑbu,Holy Bible,聖書,kyaku,bu,noun,3
