word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme
قوي,ar,strong,強い,/qaʊiːa/,ɶʊyɶ
química,es,chemistry,化学,/ˈkimika/,yyɶ
crónica,es,chronicle,クロニクル,/ˈkɾonika/,boyɶ
أرق,ar,insomnia,不眠症,/ʔariqa/,ɶyɶ
facila,eo,easy,簡単,/fat͡sila/,ɶbyɶ
gembira,id,happy,ハッピー,/gəmbira/,əmyɶ
gracia,eo,grace,恵み,/grat͡sia/,bɶbyɶ
túnica,es,tunica,チュニカ,/ˈtunika/,uyɶ
mortiga,eo,Deadly,致命的,/mortiga/,oyɶ
gaja,eo,,陽気な,/gaia/,ɶyɶ
física,es,physical,物理的,/ˈfisika/,yyɶ
bergairah,id,enthusiastic,熱狂的,/bərgairah/,əɶyɶ
اختبار,ar,a test,テスト,/ixtibaːr/,ybyɶ
شره,ar,gluttonous,大食い,/ʃariha/,ɶyɶ
dại gì mà,vi,What foolish,なんて愚かだ,/jaj˨ˀ˩ʔ ɣi˦˨ ma˦˨/,ɶbyɶ
indignât,fr,indignant,憤慨する,/ɛ̃diɲa/,œyɶ
느리다,ko,slow,スロー,/nɯɾida̠/,uyɶ
gelisah,id,nervous,緊張,/gəlisah/,əyɶ
belia,id,young,若い,/bəlia/,əyɶ
valía,es,It was worth,価値がありました,/baˈlia/,ɶyɶ
لإحمرار,/liiħmiraːr/,To red,赤へ,yybyɶ,ar
betina.,id,female.,女性。,/bətina./,əyɶ
devia,ro,depart,出発,/devija/,øyɶ
질기다,/t͡ɕiɭɡida̠/,be tough,強くなれ,byyɶ,ko
졸리다,/t͡ɕo̞ɭʎida̠/,Sleepy,眠いです,boyɶ,ko
커지다,/kʰʌ̹d͡ʑida̠/,grow big,大きくなる,bɔbyɶ,ko
nervurât,fr,nervous,緊張,/nɛʁvyʁa/,œbyɶ
valida,eo,Valid,有効,/valida/,ɶyɶ
prendida,es,set on,上の設定,/pɾendiða/,bømyɶ
malĝoja,eo,sad,悲しい,/mald͡ʒoia/,ɶbboyɶ
