word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
guardería,es,/gwaɾðeˈɾia/,bɶøyɶ,kindergarten,幼稚園,キャディーバッグ,ja,/kjadeiːbagːɯ/,bɶøyɶbu,Caddy bag,キャディーバッグ,to,ɶøyɶ,noun,4
pembibitan,id,/pəmbibitan/,əmyyɶm,nursery,保育園,unwieldiness,en,/ənˈwiɫdinəs/,əmyyəb,unwieldiness,扱いにくい,to,myy,noun,4
Kindergarten,de,/ˈkɪndɐˌɡaːɐ̯tn̩/,ʏmɐɶɐbm,kindergarten,幼稚園,كالأزور,ar,/kaaːlʔazwar/,ɶɶbɶbɶ,Like,お気に入り,,,noun,3
コテージ,ja,/koteːdʑi/,oøby,Cottage,コテージ,sorbetti,fi,/ˈsorbetti/,oøby,sorbet,シャーベット,to,øby,noun,3
sumarhús,is,/sʏːmarhuːs/,ʏɶub,summer house,夏の家,pansar,sv,/²p'anːsar/,ɶuʏbb,armor,鎧,,,noun,3
sentiment,fr,/sɑ̃timɑ̃/,ɑyɑ,feeling,フィーリング,atormentarle,es,/atoɾmentaɾle/,ubyɶ,torment him,,,,verb,3
tilfinning,is,/tʰɪlfɪniŋk/,bʏbʏymb,sensibility,感性,quicksilver,en,/ˈkwɪkˈsɪɫvɝ/,bʏbʏə,quicksilver,クイックシルバー,to,ʏbʏ,verb,3
フィーリング,ja,/ɸiːɾiɴgɯ/,yymu,Feeling,フィーリング,kí sinh trùng,vi,/ki˩˧ ʂin˧˥ ʈuŋ͡m˦˨/,yymumm,parasites,寄生虫,to,ymu,noun,3
merasa,id,/mərasa/,əɶɶ,feel,感じられる,klivo,eo,/klivo/,ɶøy,CLIVE,クライヴ,,,verb,3
sotkea,fi,/ˈsotkeɑ/,obøɑ,mess,混乱,Wohlbehagen,de,/ˈvolbeɑgən/,obøɑəm,Well -being,まあ - ビーイング,to,bøɑ,noun,3
reiniciar,es,/reiniθjaɾ/,øyybɶ,restart,再起動,desinit,ro,/desinit/,øyyb,Desitin,デシチン,to,yyb,verb,3
donaco,eo,/donat͡so/,oɶbo,gift,贈り物,もさっと,ja,/mosatːo/,oɶbo,Quickly,もさっと,to,ɶbo,verb,3
الحالي,ar,/aːlħaːlijj/,ɶbɶy,Present,現在,lagfæra,is,/laxfaira/,ɶbɶyɶ,fix,修理,to,bɶy,verb,3
