word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
情報,ja,/dʑoɯhoɯ/,bouou,information,情報,quyền sở hữu,vi,/wiɛŋ˦˨ ʂɤ˧˩˨ hɯw˧˩˨/,yœmou,ownership,所有,kyaku,ou,noun,3
información,es,/imfoɾmaˈθjon/,ymoɶbom,information,情報,자소작농,ko,/t͡ɕa̠sʰo̞d͡ʑa̠ŋno̞ŋ/,bɶbobɶmom,Self -confidence,自己自信,kyaku,om,noun,4
criterio,es,/kɾiteɾjo/,byøo,criterion,基準,subteno,eo,/subteno/,ubøo,Support,サポート,kyaku,øo,noun,3
クラッカー,ja,/kɯɾakːaː/,uɶbɶ,cracker,クラッカー,edzeca,eo,/ed͡zet͡sa/,øbøbɶ,marriage,結婚,kyaku,bɶ,noun,3
spécifier,fr,/spesifje/,bøybø,specify,特定,グラッセ,ja,/gɯɾasːe/,uɶbø,Grasse,グラッセ,kyaku,bø,noun,3
仕様,ja,/ɕijoɯ/,you,specification,仕様,混合物,zh-cn,/xuən˥˩ xɤ˧˥ u˥˩/,uəmou,mixture,混合,kyaku,ou,noun,3
Vampir,de,/vamˈpiːɐ̯/,ɶmyɐ,vampire,吸血鬼,anticlor,ro,/antiklor/,ɶmybo,antique,アンティーク,to,my,noun,3
vampyyri,fi,/ˈvɑmpyyri/,ɑmyyy,vampire,吸血鬼,ban chỉ huy,vi,/baŋ˧˥ ci˧˩˨ hwi˧˥/,ɶmyy,Steering committee,運営委員会,kyaku,yy,noun,3
astia,fi,/ˈɑstiɑ/,ɑbyɑ,dish,皿,tacita,en,/tɑˈtʃitə/,ɑbyə,tacita,タキタ,to,by,noun,3
maljuna,eo,/maljuna/,ɶbuɶ,old,年,الحدوج,ar,/aːlħuduːdʒ/,ɶbuub,Boundary,境界,to,bu,adjective,3
