request_word,request_lang,request_pos,request_ipa,request_ipa_formatted,request_word_en,response_word,response_lang,response_pos,response_ipa,response_ipa_formatted,response_word_en
cavey,en,verb,/ˈkeɪvi/,øʏy,cavey,为期,zh-cn,verb,/weɪ˧˥ tɕʰi˥˥/,øʏy,Period
盗窃,zh-cn,verb,/tɑʊ˥˩ tɕʰjɛ˥˩/,ɒʊœ,theft,Karussell,de,noun,/ˈkɑːɾʊszɛll/,ɒʊœ,carousel
怪物,zh-cn,verb,/kuaɪ˥˩ u˥˩/,uɶʏu,monster,byu,en,noun,/ˈbiˈwaɪˈju/,yɶʏu,byu
mikro,id,adjective,/miʔro/,nyo,micro,Niveau,de,noun,/niˈvoː/,nyo,level
마이크로,ko,adjective,/ma̠ikxɯɾo̞/,nɶyuo,Micro,からいうと,ja,verb,/kaɾaiɯto/,ɶɶyuo,Felting
micro,en,adjective,/ˈmaɪˌkɹoʊ/,nɶʏoʊ,micro,内疚,zh-cn,noun,/neɪ˥˩ tɕjoʊ˥˩/,nøʏoʊ,Guilty
stecken,de,verb,/ˈʃtɛkən/,œən,stuck,切诊,zh-cn,noun,/tɕʰjɛ˥˩ ʈʂən˨˩˦/,œən,Consultation
dijalankan,id,verb,/didʒalankan/,yɶɶnɶn,run,agarinean,ro,adjective,/aɡarinĕan/,ɶɶynɶn,Agararean
눈썹,ko,verb,/nuns͈ʌ̹p̚/,nunɔ,Eyebrow,moomaw,en,noun,/ˈmuˌmɔ/,nunɔ,moomaw
松树,zh-cn,verb,/sʊŋ˥˥ ʂu˥˩/,ʊnu,pine,Fundus,de,noun,/ˈfʊndus/,ʊnu,Fundus
閉じる,ja,verb,/todʑiɾɯ/,oyu,close,보리수,ko,noun,/po̞ɾisʰu/,oyu,Burley water
dentang,id,verb,/dəntaŋ/,ənɶn,Denang,aman,ro,adjective,/aman/,ɶnɶn,put off
amiss,en,adjective,/əˈmɪs/,ənʏ,amiss,begnügst,de,verb,/bəˈgnʏkst/,ənʏ,sniff
不安,zh-cn,verb,/pu˥˩ an˥˥/,uɶn,disturbed,Ｕターン,ja,noun,/jɯːtaːɴ/,uɶn,U-turn
突き破る,ja,verb,/tsɯkijabɯɾɯ/,uyɶuu,Thrust,aparatului,ro,noun,/aparatuluj/,ɶɶɶuu,apparatus
menusuk,id,verb,/mənusuʔ/,nənuu,piercing,不三不四,zh-cn,verb,/pu˥˩ san˥˥ pu˧˥ sɯ˥˩/,uɶnuu,dubious
sided,en,verb,/ˈsaɪdɪd/,ɶʏʏ,sided,Bleistift,de,noun,/ˈblaɪ̯ʃtɪft/,ɶʏʏ,pencil
flanken,eo,verb,/flanken/,ɶnøn,aside,ament,ro,noun,/ament/,ɶnøn,asset
양면,ko,verb,/ja̠ŋmjʌ̹n/,ɶnnɔn,both sides,Aktienfonds,de,noun,/ˈʔaktiːnfɔnts/,ɶynɔn,Stock fund
盗窃,zh-cn,verb,/tɑʊ˥˩ tɕʰjɛ˥˩/,ɒʊœ,theft,Karussell,de,noun,/ˈkɑːɾʊszɛll/,ɒʊœ,carousel
静か,ja,adjective,/ɕizɯka/,yuɶ,quiet,Ritual,de,noun,/ɾitual/,yuɶ,ritual
지팡이,ko,verb,/t͡ɕipʰa̠ŋi/,yɶny,cane,adamit,ro,verb,/adamit/,ɶɶny,adamant
관리자,ko,adjective,/kwa̠ɭʎid͡ʑa̠/,ɶyɶ,manager,あいや,ja,adjective,/aija/,ɶyɶ,Oyster
merahasiakan,id,adjective,/mərahasiakan/,nəɶɶyɶɶn,A secret,ケサランパサラン,ja,noun,/kesaɾaɴpasaɾaɴ/,øɶɶnɶɶɶn,Kesaranpasan
浪费,zh-cn,verb,/lɑŋ˥˩ feɪ˥˩/,ɒnøʏ,waste,airmail,en,noun,/ˈɛɹˌmeɪɫ/,œnøʏ,airmail
abgestimmt,de,verb,/ʔapgəˈʃtɪmmt/,ɶəʏnn,Voted,blankenhorn,en,adjective,/ˈbɫæŋkɪnhɝn/,ænʏnn,blankenhorn
调整,zh-cn,verb,/tʰjɑʊ˧˥ ʈʂɤŋ˨˩˦/,ɒʊon,Adjustment,Deduktion,de,noun,/dedʊkˈtsĭoːn/,øʊon,Deduction
geruhen,de,verb,/gəˈɾuːən/,əuən,deign,下文,zh-cn,noun,/ɕja˥˩ uən˧˥/,ɶuən,Below
wirbeln,de,verb,/ˈvɪɾbɛln/,ʏœn,swirl,befriend,en,verb,/bɪˈfɹɛnd/,ʏœn,befriend
旋转,zh-cn,verb,/ɕɥœn˧˥ ʈʂwan˨˩˦/,œnɶn,Rotate,aman,id,adjective,/aman/,ɶnɶn,secure
浪费,zh-cn,verb,/lɑŋ˥˩ feɪ˥˩/,ɒnøʏ,waste,airmail,en,noun,/ˈɛɹˌmeɪɫ/,œnøʏ,airmail
静か,ja,adjective,/ɕizɯka/,yuɶ,quiet,bifurca,ro,noun,/bifurka/,yuɶ,fork
聊天,zh-cn,verb,/ljɑʊ˧˥ tʰjɛn˥˥/,ɒʊœn,to chat with,ausstellen,de,verb,/ˈʔaʊ̯sʃtɛln̩/,ɶʊœn,exhibit
想要,zh-cn,verb,/ɕjɑŋ˨˩˦ jɑʊ˥˩/,ɒnɒʊ,Want,Dramaturg,de,noun,/ˈdɾɑːmɑtʊɾk/,ɒnɒʊ,Dramatur
indah,id,adjective,/indah/,ynɶ,beautiful,귀납,ko,noun,/kɥina̠p̚/,ynɶ,induction
