word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
soliloquio,es,soliloquy,独り言,/solilokjo/,oyobo,oy
poziție,ro,position,位置,/pozitsije/,oybyø,oy
movilidad,es,mobility,可動性,/moβiliðað/,oyyɶb,oy
toimittaja,fi,supplier,サプライヤー,/ˈtoimitˌtɑjɑ/,oyybɑɑ,oy
鳥かご,ja,Birdcage,鳥かご,/toɾikago/,oyɶo,oy
ノミネート,ja,Nomination,ノミネート,/nomineːto/,oyøo,oy
todistaa,fi,evidence,証拠,/ˈtodistɑɑ/,oybɑɑ,oy
policía,es,policeman,警官,/poliˈθia/,oyyɶ,oy
Polizei,de,police,警察,/ˈpoːlitsae/,oybɶø,oy
logistiikka,fi,logistics,ロジスティクス,/ˈlogisˌtiikkɑ/,oybyybɑ,oy
policano,eo,Police,警察,/polit͡sano/,oybɶo,oy
組織化,ja,Organization,組織化,/soɕikika/,oyyɶ,oy
tosiasia,fi,fact,事実,/ˈtosiˌɑsiɑ/,oyɑyɑ,oy
ロリポップ,ja,Lollipop,ロリポップ,/ɾoɾipopːɯ/,oyobu,oy
kotityö,fi,homework,宿題,/ˈkotityø/,oyyø,oy
tẩu vi thượng sách,vi,tip,ヒント,/tɤ̆w˧˩˨ ji˧˥ tʰɯəŋ˨ˀ˩ʔ ʂak˦˥/,oybuəmbɶb,oy
보리농사,ko,Barley,オオムギ,/po̞ɾino̞ŋsʰa̠/,oyombɶ,oy
扱き落とす,ja,Handle down,扱き落とす,/kokiotosɯ/,oyoou,oy
rosicruciens,fr,Rosicruciens,rosicruciens,/ʁozikʁysjɛ̃/,oybybœ,oy
Polynesiern,de,Polynese,ポリネス,/ˈpoːlyneziːɾn/,oyøym,oy
cô nhi quả phụ,vi,orphanage,孤児院,/ko˧˥ ɲi˧˥ wa˧˩˨ fu˨ˀ˩ʔ/,oyɶub,oy
隔壁邻居,zh-cn,Neighbor next door,隣の隣人,/kɤ˧˥ pi˥˩ lɪn˧˥ tɕy˥˥/,oyʏmby,oy
vorniceanu,ro,Vorniceanu,ヴォルニシアヌ,/vornitʃ̩anu/,oybɶu,oy
horrideces,es,horrid,恐ろしい,/oriðeθes/,oyøøb,oy
호리호리,ko,Reclamation,再生,/ɸʷo̞ɾiβo̞ɾi/,oyoy,oy
donitaĵo,eo,gift,贈り物,/donitaʒo/,oyɶo,oy
hoikentaa,fi,slim,スリム,/ˈhoikentɑɑ/,oyømɑɑ,oy
dominasi,id,domination,支配,/dominasi/,oyɶy,oy
formikejo,eo,an ant,アリ,/formikeio/,oyøyo,oy
mô hình toán học,vi,Mathetical model,数学モデル,/mo˧˥ hin˦˨ twaŋ˩˧ hɔk͡p˨ˀ˩ʔ/,oymbɶmɔbbb,oy
