word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
目標,ja,Target,目標,/medʑiɾɯɕi/,øbyuy,øb
結婚式,ja,wedding,結婚式,/kekːoɴɕiki/,øbomyy,øb
exposición,es,exposition,博覧会,/eksposiˈθjon/,øbboybom,øb
expunere,ro,exposure,暴露,/ekspunere/,øbbuøø,øb
respingător,ro,repulsively,反発的に,/respinɡətor/,øbyməo,øb
escalera,es,ladder,はしご,/eskaleɾa/,øbɶøɶ,øb
estrategia,es,strategy,ストラテジー,/estɾatexja/,øbbɶøbɶ,øb
鉄道,ja,Railway,鉄道,/tetsɯdoɯ/,øbuou,øb
héliocentriques,fr,heliocentric,Heliocentric,/eljɔsɑ̃tʁik/,øbɔɑbyb,øb
dégringolades,fr,tumble,タンブル,/degʁɛ̃gɔlad/,øbœɔɶb,øb
月経痛,ja,Menstrual pain,月経痛,/gekːeitsɯɯ/,øbøybuu,øb
déboîtassions,fr,dislocation,転位,/debwatasjɔ̃/,øbɶɶbɔ,øb
escribiéndoos,es,Writing,書き込み,/eskɾiˈβjendoos/,øbbybømoob,øb
nécroserons,fr,necrosis,壊死,/nekʁozəʁɔ̃/,øboəɔ,øb
décriassions,fr,decriassions,decriassions,/dekʁijasjɔ̃/,øbyɶbɔ,øb
Reklamation,de,claim,請求,/ʁeklamaˈtsi̯oːn/,øbɶɶbyom,øb
