word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
inflation,fr,inflation,インフレーション,/ɛ̃flasjɔ̃/,œbɶbɔ,œb
testament,en,testament,遺言,/ˈtɛstəmənt/,œbəəmb,œb
estrogen,en,estrogen,エストロゲン,/ˈɛstɹədʒən/,œbbəbəm,œb
대변인,ko,spokesman,スポークスマン,/tɛ̝bjʌ̹nin/,œbɔym,œb
대수학,ko,algebra,代数,/tɛ̝sʰuɦa̠k̚/,œbuɶb,œb
hexagon,en,hexagon,六角形,/ˈhɛksəˌɡɑn/,œbəɑm,œb
hexagone,fr,hexagon,六角形,/ɛgzagɔn/,œbɶɔm,œb
Elfenbein,de,ivory,象牙,/ˈʔɛlfɛnbəɪn/,œbœməʏm,œb
intuition,fr,intuition,直感,/ɛ̃tɥisjɔ̃/,œbybɔ,œb
espadrille,fr,espadrille,エスパドリル,/ɛspadʁij/,œbɶby,œb
höfðingi,is,chief,チーフ,/hœvðiɲcɪ/,œbymʏ,œb
esturgeon,fr,sturgeon,チョウザン,/ɛstyʁʒɔ̃/,œbybɔ,œb
deputy,en,deputy,副,/ˈdɛpjəti/,œbəy,œb
thermostat,fr,thermostat,サーモスタット,/tɛʁmɔsta/,œbɔbɶ,œb
夜宵儿,zh-cn,Supper,夕食,/jɛ˥˩ ɕjɑʊ˥˥ aɻ˧/,œbɑʊɶ,œb
대표성,ko,Representativeness,代表性,/tɛ̝pʰjosʰʌ̹ŋ/,œbobɔm,œb
xét đến cùng,vi,Considering the end,終わりを考慮します,/sɛk˦˥ den˩˧ kuŋ͡m˦˨/,œbømumm,œb
phép thông công,vi,communication,コミュニケーション,/fɛp˦˥ tʰoŋ͡m˧˥ koŋ͡m˧˥/,œbbommomm,œb
约会,zh-cn,Dating,デート,/ɥœ˥˥ xweɪ˥˩/,œbøʏ,œb
espresso,sv,espresso,エスプレッソ,/ɛsprɛsːʊ/,œbbœbʊ,œb
red-herring,en,red-herring,赤ヒリング,/ˈɹɛdˈhɛɹɪŋ/,œbœʏm,œb
Schnäppchenjagd,de,Bargain hunt,バーゲンハント,/ˈʃnɛppçɛnjakt/,œbbœmɶbb,œb
대중화,ko,popularization,普及,/tɛ̝d͡ʑuŋβwa̠/,œbumbɶ,œb
đẹp như tiên,vi,beautiful as fairy,妖精のように美しい,/dɛp˨ˀ˩ʔ ɲɯ˧˥ tiəŋ˧˥/,œbbuyəm,œb
herprestsins,is,military,軍隊,/hɛrpʰrɛstsɪns/,œbœbbʏmb,œb
