word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
sitelo,eo,bucket,バケツ,/sitelo/,yøo,yø
jinete,es,horse rider,馬のライダー,/xinete/,yøø,yø
記念碑,ja,Monument,記念碑,/kineɴçi/,yømy,yø
työttömyys,fi,unemployment,失業,/ˈtyøttømyys/,yøbøyyb,yø
vyötärö,fi,waist,腰,/ˈvyøtærø/,yøæø,yø
dirección,es,address,住所,/diɾeˈkθjon/,yøbbom,yø
pidennys,fi,extension,拡大,/ˈpidennys/,yømyb,yø
ryöpytä,fi,cascade,カスケード,/ˈryøpytæ/,yøyæ,yø
diseca,ro,dissect,分析します,/diseka/,yøɶ,yø
viteză,ro,speed,速度,/vitezə/,yøə,yø
licencia,es,license,ライセンス,/liθenθja/,yømbɶ,yø
mieliala,fi,mood,ムード,/ˈmieliˌɑlɑ/,yøyɑɑ,yø
hyeena,fi,hyena,ハイエナ,/ˈhyeenɑ/,yøøɑ,yø
viemäri,fi,sewer,下水道,/ˈviemæri/,yøæy,yø
différence,fr,difference,違い,/difeʁɑ̃s/,yøɑb,yø
kiertää,fi,rotate,回転します,/ˈkiertææ/,yøææ,yø
vyölaukku,fi,belt bag,ベルトバッグ,/ˈvyølɑˌukku/,yøɑubu,yø
リセット,ja,reset,リセット,/ɾisetːo/,yøbo,yø
tiedemies,fi,scientist,科学者,/ˈtiedemies/,yøøyøb,yø
tibétains,fr,Tibetans,チベット人,/tibetɛ̃/,yøœ,yø
Rübezahls,de,Beetle,甲虫,/ˈɾyːbetsɑls/,yøbɑbb,yø
기회범,ko,Opportunty criminal,機会犯罪者,/kiɦø̞bʌ̹m/,yøɔm,yø
sinérgi,id,Sinérgi,sinérgi,/sinergi/,yøy,yø
ビレッジ,ja,Village,ビレッジ,/biɾedʑːi/,yøbby,yø
泥水,zh-cn,Muddy water,泥水,/ni˧˥ ʂweɪ˨˩˦/,yøʏ,yø
minérales,fr,mineral,ミネラル,/mineʁal/,yøɶb,yø
بفيلج,ar,Phalag,ファラグ,/bifeɪladʒ/,yøʏɶb,yø
mieliksi,fi,in mind,念頭に置いて,/ˈmieliksi/,yøyby,yø
nhí nhéo,vi,Child pinch,子ピンチ,/ɲi˩˧ ɲeo˩˧/,yøo,yø
evader,en,evader,Evader,/iˈveɪdɝ/,yøʏə,yø
siedele,de,settle,解決,/ˈziːdelə/,yøə,yø
일회기,ko,One -time,一度,/iɾɦø̞ɡi/,yøy,yø
لهيكل,ar,For structure,構造用,/liheɪkal/,yøʏɶb,yø
dilélang,id,Dilang,dilang,/dilelaŋ/,yøɶm,yø
diséntri,id,dysentery,赤痢,/disentri/,yømby,yø
liquéfiasse,fr,liquefiasses,液化,/likefjas/,yøbɶb,yø
dicentes,es,Fathers,父,/diθentes/,yømøb,yø
فيلين,ar,Filler,フィラー,/fiːleɪni/,yøʏy,yø
