word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
mangrove,fi,/ˈmɑngrove/,ɑmboø,mangrove,マングローブ,onslow,en,/ˈɑnsɫoʊ/,ɑmboʊ,onslow,オンスロー,to,mbo,verb,3
bakau,id,/bakau/,ɶɶu,mangrove,マングローブ,deshojarais,es,/desoxaɾais/,ømɶøb,You will deh,あなたはdehします,,,verb,3
seurata,fi,/ˈseurɑtɑ/,øuɑɑ,to follow,従う,ولأحوج,ar,/waliʔaħwadʒ/,ɶɶy,And I need,そして、私は必要です,,,verb,3
続く,ja,/tsɯzɯkɯ/,buuu,Continue,続く,prubuluit,ro,/prubuluit/,buuuyb,Prudence,慎重,to,uuu,verb,3
following,en,/ˈfɑɫoʊɪŋ/,ɑoʊʏm,following,続く,楼上,zh-cn,/loʊ˧˥ ʂɑŋ˥˩/,bbœbɑʊ,upstairs,2階,,,verb,3
motorină,ro,/motorinə/,ooyə,diesel fuel,ディーゼル燃料,honorierte,de,/honoˈɾiːɾtə/,ooyə,honored,名誉ある,to,oyə,verb,4
pelukis,id,/pəlukis/,əuyb,painter,画家,secourisme,fr,/səkuʁism/,əuybm,first aid,応急処置,to,uyb,noun,3
málari,is,/mauːlarɪ/,ɶuɶʏ,painter,画家,baguerions,fr,/bagəʁjɔ̃/,ɶəbɔ,Saves,保存します,,,noun,3
sivuvaunu,fi,/ˈsivuˌvɑunu/,yuɑuu,sidecar,サイドカー,homamaso,eo,/homamaso/,oɶɶo,crowd,群衆,,,noun,4
Beiwagen,de,/bəˈʔiːvɑgən/,əyɑəm,sidecar,サイドカー,amitabha,en,/əˌmiˈtɑbə/,əyɑə,amitabha,阿弥陀,to,yɑə,noun,4
sidecar,es,/siðekaɾ/,yøɶ,sidecar,サイドカー,gladde,sv,/²gl'adːɛ/,œbbœbʊ,pleased,喜んで,,,verb,3
menjamin,id,/məndʒamin/,əmbɶym,ensure,確認,分开,zh-cn,/fən˥˥ kʰaɪ˥˥/,əmbɶʏ,separate,分ける,to,mbɶ,verb,3
保証,ja,/hoɕoɯ/,oou,guarantee,保証,céng,id,/tʃeŋ/,əəmob,Céng,セン,,,noun,3
garantizar,es,/gaɾantiθaɾ/,ɶɶmyɶ,to guarantee,保証する,garantia,eo,/garantia/,ɶɶmyɶ,guaranteed,保証されています,to,ɶmyɶ,verb,4
garanție,ro,/ɡarantsije/,ɶɶmbyø,guarantee,保証,大反派,zh-cn,/ta˥˩ fan˨˩˦ pʰaɪ˥˩/,ɶɶmbɶʏ,Big villain,大きな悪役,to,ɶmb,noun,4
bermasalah,id,/bərmasalah/,əɶɶɶ,problem,問題,patrie,ro,/patrie/,øɶoyb,country,国,,,verb,4
levoton,fi,/ˈlevoton/,øoom,restless,落ち着きがない,retozón,es,/retoˈθon/,øoom,frisky,フリスキー,to,oom,verb,3
tulburat,ro,/tulburat/,ubuɶb,confused,混乱している,دكتوراه,ar,/duktuːraːh/,ubuɶ,PhD,博士号,to,buɶ,verb,3
déduction,fr,/dedyksjɔ̃/,øybbɔ,deduction,控除,registras,es,/rexistɾas/,øybbɶb,registers,レジスタ,to,ybb,noun,3
vähennys,fi,/ˈvæhennys/,æømyb,reduction,割引,hipopotamedoj,eo,/hipopotamedoi/,ubøo,Hippopotamidae,カバ科,,,noun,3
deduction,en,/dɪˈdəkʃən/,ʏəbəm,deduction,控除,kant,is,/kʰan̥t/,ɶymʏœb,steering,操舵,,,noun,3
mengatur,id,/məŋatur/,əɶu,arrange,整える,皑,zh-cn,/aɪ˧˥/,ɶmbøʏ,Snow -covered,,,,verb,3
regulate,en,/ˈɹɛɡjəˌɫeɪt/,œbəøʏb,regulate,規制します,weggesehen,de,/vɛkgəˈzeːən/,œbəøəm,watched away,見た,to,bəø,verb,3
réglementer,fr,/ʁɛgləmɑ̃te/,œbəɑø,regulate,規制します,weggefahren,de,/ˈvɛkgəˌfɑɾən/,œbəɑəm,drove away,運転した,to,bəɑ,verb,4
reguligi,eo,/reguligi/,øuyy,to regulate,規制する,etuilija,fi,/ˈetuiˌlijɑ/,øuyyɑ,forerunner,先駆者,to,uyy,verb,4
perbankan,id,/pərbankan/,əɶmɶm,banking,銀行業,吃晚饭,zh-cn,/ʈʂʰɚ˥˥ wan˨˩˦ fan˥˩/,əɶmɶm,have dinner,夕食をとる,to,ɶmɶm,noun,3
pankkitoiminta,fi,/ˈpɑnkkiˌtoimintɑ/,ɑmbyoyymɑ,banking,銀行業,범물,ko,/pʌ̹mmuɭ/,ɶuɔyɶ,Bum,お尻,to,,noun,5
黒板,ja,/kokɯbaɴ/,ouɶm,blackboard,黒板,copulan,es,/kopulan/,ouɶm,They copulate,彼らは交尾します,to,uɶm,verb,3
parabrisas,es,/paɾaβɾisas/,ɶɶbyɶb,windshield,フロントガラス,þarmatítur,is,/θarmatʰiːtʏr/,ɶɶbyʏ,blockage,閉塞,to,ɶby,noun,4
tuulilasi,fi,/ˈtuuliˌlɑsi/,uuyɑy,windscreen,フロントガラス,杋,zh-cn,/fan˥˥/,bbuɔbbuoɑm,Bleak,暗い,,,noun,4
hræðilegt,is,/r̥aiːðɪlɛxt/,ɶyʏœbb,horrible,最悪,inventivités,fr,/ɛ̃vɑ̃tivite/,øɔbø,inventiveness,独創性,,,adjective,3
最悪,ja,/saiakɯ/,ɶyɶu,terrible ,最悪,hægláta,is,/haiɣlauta/,ɶyɶuɶ,slow,スロー,to,yɶu,adjective,3
horrible,es,/oriβle/,oybø,horrible,最悪,koville,fi,/ˈkoville/,oybø,hard,難しい,to,ybø,adjective,3
