,id,word,word_vowel,word_lang,pair_id,pair_word,pair_word_vowel,pair_word_lang,type,rhyme_vowel,pos,syllable
5286,369.0,enuiga,euia,eo,716.0,agriaría,aaia,es,kyaku,ia,verb,4.0
8996,716.0,agriaría,aaia,es,369.0,enuiga,euia,eo,kyaku,ia,verb,4.0
11879,862.0,ああいった,aaia,ja,369.0,enuiga,euia,eo,kyaku,ia,verb,4.0
18532,1319.0,主观臆断,uaia,zh-cn,369.0,enuiga,euia,eo,kyaku,ia,verb,4.0
18903,1345.0,abarían,aaia,es,369.0,enuiga,euia,eo,kyaku,ia,verb,4.0
18987,1353.0,ababillan,aaia,es,369.0,enuiga,euia,eo,kyaku,ia,verb,4.0
19149,1360.0,analiza,aaia,eo,369.0,enuiga,euia,eo,kyaku,ia,verb,4.0
19763,1430.0,aburría,auia,es,716.0,agriaría,aaia,es,kyaku,ia,verb,4.0
19802,1433.0,áfrýja,auia,is,716.0,agriaría,aaia,es,kyaku,ia,verb,4.0
20266,1461.0,aboutira,auia,fr,716.0,agriaría,aaia,es,kyaku,ia,verb,4.0
20644,1491.0,abatían,aaia,es,369.0,enuiga,euia,eo,kyaku,ia,verb,4.0
21532,1587.0,andæfa,aaia,is,369.0,enuiga,euia,eo,kyaku,ia,verb,4.0
