word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
lumipuku,fi,snow suit,スノースーツ,/ˈlumiˌpuku/,uyuu,uu
mainostaulu,fi,billboard,ビルボード,/ˈmɑinosˌtɑulu/,ɑyobɑuu,uu
maastopuku,fi,outfit,衣装,/ˈmɑɑstoˌpuku/,ɑɑbouu,uu
ゼラニウム,ja,Geranium,ゼラニウム,/zeɾaniɯmɯ/,øɶyuu,uu
キューティクル,ja,cuticle,キューティクル,/kjɯːteikɯɾɯ/,buøyuu,uu
凝集,ja,Cohesion,凝集,/gjoɯɕɯɯ/,bouuu,uu
自己中,ja,selfish,自己中,/dʑikotɕɯɯ/,byobuu,uu
reziduu,ro,residue,残基,/reziduu/,øyuu,uu
逆風,ja,Headwind,逆風,/gjakɯɸɯɯ/,bɶuuu,uu
대구루루,ko,Daegu Luru,デグ・ルル,/tɛ̝ɡuɾuɾu/,œuuu,uu
bersetubuh,id,have sex,セックスをする,/bərsətubuh/,əəuu,uu
Benzinzufuhr,/bəˈntsɪntsufuɾ/,Petrol supply,ガソリン供給,əmbʏmbuu,de,uu
ouagadougou,/ˌwɑɡəˈduɡu/,ouagadougou,ouagadougou,ɑəuu,en,uu
주글주글,ko,Juggle,ジャグル,/t͡ɕuɡɯɭd͡ʑuɡɯɭ/,buubuu,uu
mobutu,en,mobutu,モブツ,/moʊˈbuˌtu/,oʊuu,uu
كسنونو,ar,Knono,knono,/kasunuːnuː/,ɶuuu,uu
mongosutu,en,mongosutu,モンゴストゥ,/ˌmɑŋɡoʊˈsutu/,ɑmoʊuu,uu
