word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme
جليدي,ar,Iceberg,氷山,/dʒaliːdijj/,bɶyy
akiri,eo,to get,取得するため,/akiri/,ɶyy
memilih,id,choose,選ぶ,/məmilih/,əyy
transskribi,eo,transcribe,転写します,/transskribi/,bɶmbbbyy
berdiri,id,stand up,立ち上がる,/bərdiri/,əyy
transcribir,es,transcribe,転写します,/tɾanskɾiβiɾ/,bɶmbbyy
lenkkeily,fi,jogging,ジョギング,/ˈlenkkeily/,ømbøyy
bí rì rì,vi,squash,押しつぶす,/bi˩˧ ʐi˦˨ ʐi˦˨/,yyy
diakhiri,id,ended,終了しました,/diaʔhiri/,yɶbyy
날치기,ko,Snatching,スナッチ,/na̠ɭt͡ɕʰiɡi/,ɶbbyy
pereigi,eo,to destroy,破壊する,/pereigi/,øøyy
تطبيقي,ar,applied,適用,/tatˤbiːqijj/,ɶbyy
nardini,/nɑɹˈdini/,nardini,ナルディーニ,ɑyy,en
strykniini,/ˈstrykniini/,strychnin,ストライクニン,bbybyyy,fi
dorine,en,dorine,ドリン,/dɔˈɹini/,ɔyy
frisyyri,fi,friski,フリスキー,/ˈfrisyyri/,byyyy
attributs,fr,attributes,属性,/atʁiby/,ɶbyy
