word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
入口,zh-cn,/ʐu˥˩ kʰoʊ˨˩˦/,uboʊ,Entrance,入口,sutro,en,/ˈsutɹoʊ/,uboʊ,sutro,サトロ,to,boʊ,noun,3
þreytulegt,is,/θreiːtʏlɛxt/,bøyʏœbb,tired,疲れた,وينجز,ar,/weɪandʒuz/,øʏɶmbub,And it is accomplished,そしてそれは達成されます,,,adjective,3
tiresome,en,/ˈtaɪɝsəm/,ɶʏəəm,tiresome,面倒です,badak,id,/badaʔ/,ɶoyum,rhinoceros,サイ,,,adjective,3
議題,ja,/gidai/,yɶy,agenda,議題,부동층,ko,/pudo̞ŋt͡ɕʰɯŋ/,uombbum,Floating layer,浮動層,,,noun,3
agendă,ro,/adʒendə/,ɶbømə,agenda,議題,ablehnte,de,/ˈʔapˌlentə/,ɶbømə,rejected,拒否,to,bømə,verb,3
agenda,es,/axenda/,ɶømɶ,diary,日記,atténuasses,fr,/atenɥas/,ɶømɶb,attenuasses,減衰,to,ømɶ,verb,3
klusteri,fi,/ˈklusteri/,bubøy,cluster,集まる,術計,ja,/dʑɯkːei/,bubøy,Technique,術計,to,ubøy,noun,3
kirjailija,fi,/ˈkirjɑiˌlijɑ/,yɑyyɑ,author,著者,rivalisierst,de,/ɾivɑliˈziːɾst/,yɑyybb,rival,ライバル,to,ɑyy,noun,4
penulis,id,/pənulis/,əuyb,writer,作家,păuniță,ro,/pəunitsə/,əuybə,pea hen,エンドウ鶏,to,uyb,noun,3
كاتب,ar,/kaːtaba/,ɶɶɶ,clerk,店員,네비게이션,ko,/ne̞biɡe̞iɕʰjʌ̹n/,øbybɔb,navigation,ナビゲーション,,,noun,3
scriitor,ro,/skrijitor/,bbyyo,Writer,作家,fluiríais,es,/flwiˈɾiais/,bbyyɶyb,You would flow,あなたは流れるでしょう,to,byy,noun,3
simio,eo,/simio/,yyo,a monkey,サル,äregirig,sv,/²'ɛːrɛjiːrɪg/,œbɵbbʏm,ambitious,野心的,,,noun,3
원숭이,ko,/wʌ̹nsʰuŋi/,ɔmbuy,monkey,猿,Tonspuren,de,/tɔnspuːɐən/,ɔmbuɐəm,Traces of sound,音の痕跡,to,mbu,noun,3
フクロウ,ja,/ɸɯkɯɾoɯ/,uuou,owl,フクロウ,pukukoru,fi,/ˈpukuˌkoru/,uuou,suit,スーツ,to,uou,noun,4
betrachten,de,/bəˈtʁaχtən/,əbɶbəm,regard,由来,replâtrée,fr,/ʁəplatʁe/,əbɶbø,replected,再現されています,to,bɶb,verb,3
