word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
أعار,ar,/ʔaʕaːra/,ɶɶɶ,Loan,ローン,sektori,fi,/ˈsektori/,øboy,sector,セクタ,,,verb,3
lainata,fi,/ˈlɑinɑtɑ/,ɑyɑɑ,borrow,借りる,nipple,en,/ˈnɪpəɫ/,əœə,nipple,乳首,,,verb,3
verleihen,de,/fɛːɐ̯ˈlaeən/,œɐɶøəm,to lend,貸す,handaskil,is,/hantascɪːl/,ɶmɶbʏb,breathless,息を切らして,,,verb,3
diagramă,ro,/diaɡramə/,yɶbɶə,chart,チャート,quy cách hoá,vi,/wi˧˥ kak˦˥ hwa˩˧/,yɶbɶ,chemical,化学,to,ɶbɶ,noun,3
kaavio,fi,/ˈkɑɑvio/,ɑɑyo,chart,チャート,geréjani,id,/gəredʒani/,uɶɶm,Geréjani,ジェレジャニ,,,verb,3
diagramo,eo,/diagramo/,yɶbɶo,Diagram,図,仕舞った,ja,/ɕimatːa/,yɶbɶ,Damn it,仕舞った,to,ɶbɶ,verb,3
tehosterokotus,fi,/ˈtehosˌteroˌkotus/,øobøooub,booster,増幅器,recogiéndonoslos,es,/rekoˈxjendonozlos/,øobømoobob,collecting them,それらを収集します,to,obø,noun,6
pemacu,id,/pəmatʃu/,əɶbu,booster,増幅器,palmists,en,/ˈpɑmɪsts/,œbuby,palmists,パルミスト,,,noun,3
الداعم,ar,/aːldaːʕim/,ɶbɶym,Supporter,サポーター,Kastanien,de,/ˈkastaniːən/,ɶbɶyəm,Chestnut,栗,to,bɶy,noun,3
yläraja,fi,/ˈylæˌrɑjɑ/,yæɑɑ,upper limit,上限,산국화,ko,/sʰa̠nɡukʰwa̠/,bɔmɔmœy,Sinking,沈没,,,verb,4
幻想,ja,/geɴsoɯ/,ømou,Illusion,幻想,mentorul,ro,/mentorul/,ømoub,mentor,メンター,to,mou,noun,3
illusion,fr,/ilyzjɔ̃/,yybɔ,illusion,幻想,일미선,ko,/iɭmisʰʌ̹n/,yybɔm,Ilmi -sun,Ilmi -sun,to,ybɔ,noun,3
espejismo,es,/espexizmo/,øbøybo,mirage,ミラージュ,besserwisser,fi,/ˈbesserˌwisser/,øbøybø,besserwisser,BesserWisser,to,bøyb,noun,4
وهم,ar,/wahima/,ɶyɶ,delusion,妄想,Tân Nhựt,vi,/tɤ̆ŋ˧˥ ɲɯk˨ˀ˩ʔ/,ybyy,Tan Nhut,タンヌート,,,noun,3
太い,ja,/ɸɯtoi/,uoy,thick,太い,kyrrahafsins,is,/cʰɪrahafsɪns/,bɶuɶʏmb,The Pacific,太平洋,,,adjective,3
correctif,fr,/kɔʁɛktif/,ɔœbyb,patch,パッチ,orestes,en,/ɔˈɹɛstiz/,ɔœbyb,orestes,オレステス,to,œbyb,verb,3
الاستيلاء,ar,/aːlistiːlaːʔ/,ɶybyɶb,Seizure,発作,arbitrista,es,/aɾβitɾista/,ɶybybɶ,arbitrator,仲裁人,to,yby,noun,4
緊急,ja,/kiɴkjɯɯ/,ymbuu,emergency,緊急,tinkturi,eo,/tinkturi/,ymbuy,dye,染料,to,mbu,noun,3
emergent,en,/ˈimɝdʒənt/,yəbəmb,emergent,緊急,blus,id,/blus/,byøyum,blouse,ブラウス,to,,adjective,3
valtimo,fi,/ˈvɑltimo/,ɑbyo,artery,動脈,baggio,en,/ˈbɑdʒioʊ/,ɑbyoʊ,baggio,バギオ,to,byo,noun,3
artery,en,/ˈɑɹtɝi/,ɑəy,artery,動脈,pengagungan,id,/pəŋaguŋan/,əɶub,Guard,ガード,,,noun,3
