word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
hajaantua,fi,/ˈhɑjɑɑnˌtuɑ/,ɑɑɑmuɑ,scatter,散乱,interviewant,/ɛ̃tɛʁvjuvɑ̃/,œœbbuɑ,fr,interviewer,インタビュアー,kyaku,uɑ,noun,4
مبعثر,ar,/mubaʕθar/,uɶbɶ,Scattered,散らばっている,xe vận tải,/sɛ˧˥ jɤ̆ŋ˨ˀ˩ʔ taj˧˩˨/,œombɶ,vi,truck,トラック,kyaku,bɶ,noun,3
amanecer,es,/amaneθeɾ/,ɶɶøø,sunrise,日の出,paranee,/ˈpɑrɑnee/,ɑɑøø,fi,will improve,改善します,kyaku,øø,verb,4
sólarupprás,is,/souːlarʏhpraus/,ouɶʏbɶub,sunrise,日の出,telefonul,/telefonul/,øøoub,ro,phone,電話,kyaku,ub,noun,4
auringonnousu,fi,/ˈɑuringonˌnousu/,ɑuymomouu,sunrise,日の出,해반드르르,/hɛ̝ba̠ndɯɾɯɾɯ/,œɶmuuu,ko,Haengwur,ヘンウル,kyaku,uu,noun,5
kilometer,en,/ˈkɪɫəˌmitɝ/,ʏəyə,kilometer,キロメートル,名人轶事,/mɪŋ˧˥ ʐən˧˥ i˥˩ ʂɚ˥˩/,ʏməmyə,zh-cn,Anecdotic,逸話,kyaku,yə,noun,4
kilómetro,es,/kiˈlometɾo/,yoøbo,kilometer,キロメートル,isorokko,/ˈisoˌrokko/,yoobo,fi,smallpox,天然痘,kyaku,bo,noun,4
كيلومتر,ar,/kiːluːmitr/,yuyb,kilometer,キロメートル,nhất bội nhị,/ɲɤ̆k˦˥ boj˨ˀ˩ʔ ɲi˨ˀ˩ʔ/,obobyb,vi,Best bumper,最高のバンパー,kyaku,yb,noun,3
kilomètre,fr,/kilɔmɛtʁ/,yɔœbb,kilometer,キロメートル,editierst,/ʔeˈdiːtiːɾst/,øyybb,de,edit,編集,kyaku,bb,noun,3
mykistää,fi,/ˈmykistææ/,yybææ,dumbfound,ダムファウンド,利益均沾论,/li˥˩ i˥˩ tɕyn˥˥ ʈʂan˥˥ luən˥˩/,yybymɶmuəm,zh-cn,Both interests,両方の関心,to,yb,verb,4
