word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
المؤيد,ar,Supporter,サポーター,/aːlmuʔajjid/,ɶbuɶyb,ɶb
扱う,ja,deal,扱う,/atsɯkaɯ/,ɶbuɶu,ɶb
acetato,eo,acetate,アセテート,/at͡setato/,ɶbøɶo,ɶb
التقاعد,ar,the retirement,退職,/aːltaqaːʕud/,ɶbɶɶub,ɶb
تطوع,ar,volunteering,ボランティア活動,/tatˤawwaʕa/,ɶbɶɶɶ,ɶb
التمتع,ar,Enjoyment,楽しみ,/aːltamattuʕ/,ɶbɶɶbub,ɶb
아세테이트,ko,acetate,アセテート,/a̠sʰe̞tʰe̞itʰɯ/,ɶbøbøybu,ɶb
fabrication,fr,manufacturing,製造,/fabʁikasjɔ̃/,ɶbyɶbɔ,ɶb
立ち聞く,ja,Talk about,立ち聞く,/tatɕikikɯ/,ɶbyyu,ɶb
التخلي,ar,Give up,あきらめる,/aːltaxalliː/,ɶbɶɶby,ɶb
varnarmaður,is,defender,ディフェンダー,/vartnarmaːðʏr/,ɶbɶɶʏ,ɶb
買って出る,ja,volunteer,買って出る,/katːedeɾɯ/,ɶbøøu,ɶb
八字不合,zh-cn,Eight characters,8文字,/pa˥˥ tsɯ˥˩ pu˥˩ xɤ˧˥/,ɶbuuo,ɶb
bách niên giai lão,vi,centenaries during aging,老化中の100周年,/bak˦˥ niəŋ˧˥ jaj˧˥ law˧˩˨/,ɶbyəmɶɶ,ɶb
alienaré,es,I will alienate,私は疎外します,/aljenaˈɾe/,ɶbøɶø,ɶb
afiuciemos,es,Let's afflict,苦しめましょう,/afjuθjemos/,ɶbubøob,ɶb
abgefragte,de,requested,要求されました,/ʔapgəˈfɾaktə/,ɶbəbɶbə,ɶb
