request_word,request_lang,request_pos,request_ipa,request_ipa_formatted,request_word_en,request_word_ja,response_word,response_lang,response_pos,response_ipa,response_ipa_formatted,response_word_en,response_word_ja
skilið,is,verb,/scɪːlɪð/,ʏʏb,understood,了解した,Rückschritt,de,noun,/ˈɾʏkʃɾɪt/,ʏʏb,Step backwards,後方に足を踏み入れます
salsa,es,verb,/salsa/,ɶbɶ,sauce,ソース,Dagmar,de,noun,/dakˈmaɽ/,ɶbɶ,Dagmar,ダグマー
تحذير,ar,verb,/taħðiːr/,ɶby,warning,警告,falsi,eo,verb,/falsi/,ɶby,to fake,偽物に
avertizare,ro,adjective,/avertizare/,ɶøyɶø,warning,警告,minimizarle,es,verb,/minimiθaɾle/,yyyɶø,minimize him,彼を最小化します
varning,sv,verb,/²v'ɑːɳɪŋ/,ɑʏm,warning,警告,Satin,de,noun,/ˈzɑːtɪn/,ɑʏm,satin,サテン
ironía,es,verb,/iɾoˈnia/,yoyɶ,irony,アイロニー,諸膝,ja,noun,/moɾoçiza/,ooyɶ,All -knee,諸膝
consciente,es,adjective,/konsθjente/,ombømø,aware,わかっている,longtempe,eo,noun,/longtempe/,ombømø,long term,長期
nhận thức,vi,adjective,/ɲɤ̆ŋ˨ˀ˩ʔ tʰɯk˦˥/,ombub,awareness,意識,봉축,ko,noun,/po̞ŋt͡ɕʰuk̚/,ombub,Shaft,軸
stark,sv,adjective,/starːk/,bɶb,strong,強い,plak,id,noun,/plaʔ/,bɶb,plaque,プラーク
kuat,id,adjective,/kuat/,uɶb,strong,強い,thụ hại,vi,noun,/tʰu˨ˀ˩ʔ haj˨ˀ˩ʔ/,uɶb,harm,危害
قوي,ar,adjective,/qaʊiːa/,ɶʊyɶ,strong,強い,redovisa,sv,verb,/²r'eːdʊviːsa/,øʊyɶ,disclose,開示する、明らかにする
strong,en,adjective,/ˈstɹɔŋ/,bɔm,strong,強い,trognes,fr,noun,/tʁɔɲ/,bɔm,grooves,溝
minum,id,verb,/minum/,yum,drink,飲む,tribun,ro,adjective,/tribun/,yum,tribune,トリビューン
juoda,fi,verb,/ˈjuodɑ/,uoɑ,drink,飲む,Judoka,de,noun,/ˈjuːdokɑ/,uoɑ,Judoka,柔道
묶다,ko,verb,/muk̚t͈a̠/,ubɶ,tie,ネクタイ,ブッチャー,ja,noun,/bɯtɕːaː/,ubɶ,Butcher,ブッチャー
institut,ro,adjective,/institut/,ymbyub,institute,研究所,institut,id,noun,/institut/,ymbyub,institute,研究所
optimal,id,adjective,/optimal/,obyɶb,optimal,最適な,교집합,ko,noun,/kjod͡ʑipʰa̠p̚/,obyɶb,Intersection,交差点
optimaalinen,fi,adjective,/ˈoptiˌmɑɑlinen/,obyɑɑyøm,optimal,最適な,Seidenpapieren,de,noun,/zaedɛnpɑˈpiːɾen/,ɶøœmɑyøm,Silk papers,シルクペーパー
最佳,zh-cn,adjective,/tsweɪ˥˩ tɕja˥˥/,bøʏbɶ,optimal,最適な,وسيفك,ar,noun,/waseɪfka/,ɶøʏbɶ,And your sword,そしてあなたの剣
prémisse,fr,verb,/pʁemis/,bøyb,premise,前提,kveið,is,verb,/kʰveiːð/,bøyb,go,行く
forsenda,is,verb,/fɔr̥sɛnta/,ɔœmɶ,condition,調子,여행사,ko,noun,/jʌ̹ɦɛ̝ŋsʰa̠/,ɔœmɶ,Travel agency,旅行会社
premise,en,verb,/ˈpɹɛmɪs/,œʏb,premise,前提,pökkuð,is,noun,/pʰœhkʏð/,œʏb,package,パッケージ
lenteja,es,verb,/lentexa/,ømøɶ,lentil,レンズ豆,bénzéna,id,noun,/benzena/,ømøɶ,Bénzéna,ベンゼナ
énorme,fr,adjective,/enɔʁm/,øɔbm,huge,巨大,enorm,de,,/eˈnɔʁm/,øɔbm,enormously,非常に
to lớn,vi,adjective,/tɔ˧˥ lɤŋ˩˧/,ɔom,big,大きい,monômes,fr,noun,/mɔnom/,ɔom,monomics,モノミクス
enorme,es,adjective,/enoɾme/,øoø,enormous,甚大,memore,eo,noun,/memore/,øoø,in memory,メモリで
émaner,fr,verb,/emane/,øɶø,emanate,発せます,Pkw,de,noun,/ˈpeːkaveː/,øɶø,Car,車
emanar,es,verb,/emanaɾ/,øɶɶ,emanate,発せます,deprava,ro,noun,/deprava/,øɶɶ,debauch,デバウチ
tectónica,es,adjective,/teˈktonika/,øboyɶ,tectonics,テクトニクス,好整以暇,zh-cn,verb,/xɑʊ˥˩ ʈʂɤŋ˨˩˦ i˨˩˦ ɕja˧˥/,ɑʊoyɶ,Good time,良い時間
burlac,ro,verb,/burlak/,uɶb,bachelor,学士,dudas,es,noun,/duðas/,uɶb,Doubts,疑問
照り焼き,ja,adjective,/teɾijaki/,øyɶy,Teriyaki,照り焼き,فلادوي,ar,adjective,/faliʔadwiː/,ɶyɶy,Vladoui,Vladoui
wild,en,adjective,/ˈwaɪɫd/,ɶʏb,wild,野生,hrakið,is,verb,/r̥aːcɪð/,ɶʏb,deteriorate,劣化する
sălbatic,ro,adjective,/səlbatik/,əbɶyb,wild,野生,refroidisses,fr,verb,/ʁəfʁwadis/,əbɶyb,cooling,冷却
salvaje,es,adjective,/salβaxe/,ɶbɶø,wild,野生,alpare,eo,verb,/alpare/,ɶbɶø,alpare,アルペア
underrätta,sv,verb,/²'ɵnːdɛrɛtːa/,ɵmœœɶ,inform,知らせる,ólöglegra,is,adjective,/ouːlœɣlɛɣra/,ouœœɶ,illegal,違法
memberitahukan,id,verb,/məmbəritahukan/,əməyɶuɶm,tell,教えて,fjólubláan,is,noun,/fjouːlʏplauːan/,ouʏbɶuɶm,purple,紫の
يخبر,ar,verb,/jaxbur/,ɶbu,Tells,言う,trách cứ,vi,verb,/ʈak˦˥ kɯ˩˧/,ɶbu,blame,非難
cosecha,es,verb,/kosetʃa/,oøɶ,harvest,収穫,볼메다,ko,noun,/po̞ɭme̞da̠/,oøɶ,Ball,ボール
mùa gặt,vi,verb,/muə˦˨ ɣăk˨ˀ˩ʔ/,uəbb,harvest,収穫,urăsc,ro,noun,/urəsk/,uəbb,I hate,私は嫌いです
berbaring,id,verb,/bərbariŋ/,əɶym,lie down,横になる,rebâtîmes,fr,verb,/ʁəbatim/,əɶym,rebuilt,再建されました
수입,ko,verb,/sʰuip̚/,uyb,income,所得,Rudis,de,noun,/ˈɾuːdis/,uyb,Rudis,ルディス
imported,en,verb,/ˌɪmˈpɔɹtɪd/,ʏmɔʏb,imported,輸入,innbrotið,is,noun,/ɪnprɔtɪð/,ʏmɔʏb,burglary,強盗
nhập khẩu,vi,verb,/ɲɤ̆p˨ˀ˩ʔ xɤ̆w˧˩˨/,obbo,import,輸入,복조,ko,noun,/po̞k̚t͡ɕ͈o̞/,obbo,Demodulation,復調
蜉蝣,zh-cn,verb,/fu˧˥ joʊ˧˥/,uoʊ,ephemera,エフェメラ,yugo,en,noun,/ˈjuɡoʊ/,uoʊ,yugo,Yugo
efímera,es,verb,/eˈfimeɾa/,øyøɶ,Ephemeral,短命,délibéras,fr,verb,/delibeʁa/,øyøɶ,deliberate,意図的に
تدخل,ar,verb,/tadaxxala/,ɶɶbɶɶ,intervention,介入,départagea,fr,noun,/depaʁtaʒa/,øɶbɶɶ,Decisiona,決定
blanda sig i,sv,verb,/blandaʂɛj'iː/,bɶmɶœy,interfere with,干渉する,양자택일,ko,noun,/ja̠ŋd͡ʑa̠tʰɛ̝ɡiɭ/,ɶmbɶœy,Quantum,量子
thương tiếc,vi,verb,/tʰɯəŋ˧˥ tiək˦˥/,uəmyəb,mourn,悲しむ,columbia's,en,noun,/kəˈɫəmbiəz/,əəmyəb,columbia's,コロンビア
