,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,word,word_lang,word_pos,word_ipa,word_ipa_edited_vowel,word_en,next_word_index_verb,next_word_index_adjective,next_word_index_noun,next_word_index_verb_count,next_word_index_adjective_count,next_word_index_noun_count
0,0,1,5,타이가,ko,adjective,/tʰa̠iɡa̠/,ɶyɶ,Taiga,246:478:716:843:1323:1375:1465:1476:1554,27:39:73:114:122:183:185:214:244:314:329:535:578:850:965:1154:1214,621:650:714:742:756:795:855:918:924:949:964:968:1002:1006:1059:1065:1066:1095:1120:1246:1311:1426:1584:1595,9,17,24
1,1,2,8,흥분하다,ko,verb,/xɯŋbunɦa̠da̠/,umuɶɶ,Excitement,782:816:1026:1075:1447:1483,28:92:403:426:562:1187:1267:1610,613:640:687:717:729:743:776:789:967:1051:1071:1189:1248:1252:1254:1321:1352:1397:1450:1489:1523:1589,6,8,22
2,2,3,10,teach,en,verb,/ˈtitʃ/,yb,teach,452:493:524:550:718:872:940:1157,361:909:1178,811:823:877:913:936:1139:1141:1195:1211:1291:1300:1309:1340:1367:1478:1499:1504,8,3,17
3,3,7,32,ぴったり,ja,adjective,/pitːaɾi/,yɶy,Exactly,104:190:310:352:400:501:1041:1233:1403:1484:1532,375:425:432:719:752:977:1228:1380,620:768:787:831:920:933:974:1034:1091:1114:1196:1236:1251:1322:1351:1374:1394:1396:1414:1445:1488:1531:1583:1627,11,8,24
4,4,8,43,murung,id,adjective,/muruŋ/,uum,Murung.,129:200:228:475:859:1325,53:359:405:503:720,683:771:903:956:982:1047:1208:1316,6,5,8
5,5,10,56,말하다,ko,verb,/ma̠ɾɦa̠da̠/,ɶɶɶ,say,100:203:316:404:799:814:861:901:976:1067:1179:1304:1318:1389:1500,30:51:77:118:208:223:300:353:414:636:1008:1046:1591,697:721:727:730:745:769:822:825:840:845:862:881:889:898:919:1001:1007:1015:1039:1058:1061:1072:1073:1099:1158:1159:1242:1256:1281:1296:1412:1533:1536,15,13,33
6,6,11,59,話す,ja,verb,/hanasɯ/,ɶɶu,speak,722:780:1027:1160:1225,152:738:851:1423,725:749:815:838:857:884:900:951:962:1017:1083:1122:1132:1147:1174:1230:1302:1303:1449:1522:1560:1587,5,4,22
7,7,12,61,berbicara,id,verb,/bərbitʃara/,əyɶɶ,Speaking,57:83:186:224:232:280:284:320:388:410:474:723:775:830:988:1063:1106:1121:1364:1543:1555:1603:1605,71:78:80:225:407:436:438:802:979:1097:1180:1401:1429:1508,597:598:672:677:792:800:803:820:856:925:944:945:946:1112:1126:1156:1193:1203:1216:1222:1259:1266:1293:1298:1347:1417:1565:1572:1604:1609,23,14,30
8,8,13,64,balasan,id,verb,/balasan/,ɶɶɶm,reply,267:724:798:970:1194:1462,12:971:990:1003:1306,728:847:852:932:986:1092:1221:1255:1317:1433:1480:1512:1598,6,5,13
9,9,14,71,輝く,ja,verb,/kagajakɯ/,ɶɶɶu,Shine,722:780:1027:1160:1225,152:738:851:1423,725:749:815:838:857:884:900:951:962:1017:1083:1122:1132:1147:1174:1230:1302:1303:1449:1522:1560:1587,5,4,22
10,10,16,79,浸す,ja,verb,/çitasɯ/,yɶu,Immerse,270:461:703:1074,109:226:325:536:1268:1410,612:726:751:791:794:804:836:841:875:921:966:987:994:1035:1040:1049:1088:1096:1098:1173:1229:1237:1305:1334:1348:1441:1493:1542:1553:1567:1621,4,6,31
11,11,17,82,평가하다,ko,verb,/pʰjʌ̹ŋɡa̠ɦa̠da̠/,ɔmɶɶɶ,Evaluate,100:203:316:404:799:814:861:901:976:1067:1179:1304:1318:1389:1500,30:51:77:118:208:223:300:353:414:636:1008:1046:1591,697:721:727:730:745:769:822:825:840:845:862:881:889:898:919:1001:1007:1015:1039:1058:1061:1072:1073:1099:1158:1159:1242:1256:1281:1296:1412:1533:1536,15,13,33
12,12,18,90,낙하산,ko,adjective,/na̠kʰa̠sʰa̠n/,ɶɶɶm,parachute,8:76:119:123:218:266:292:366:372:445:455:500:519:572:724:798:970:1194:1462,447:589:971:990:1003:1306,607:660:712:728:833:847:852:932:986:1092:1221:1317:1433:1480:1598,19,6,15
13,13,20,95,煌く,ja,verb,/kagajakɯ/,ɶɶɶu,Shining,722:780:1027:1160:1225,152:738:851:1423,725:749:815:838:857:884:900:951:962:1017:1083:1122:1132:1147:1174:1230:1302:1303:1449:1522:1560:1587,5,4,22
14,14,23,110,자극하다,ko,verb,/t͡ɕa̠ɡɯkʰa̠da̠/,bɶuɶɶ,stimulate,782:816:1026:1075:1447:1483,28:92:403:426:562:1187:1267:1610,613:640:687:717:729:743:776:789:967:1051:1071:1189:1248:1252:1254:1321:1352:1397:1450:1489:1523:1589,6,8,22
15,15,24,115,나타나다,ko,verb,/na̠tʰa̠na̠da̠/,ɶɶɶɶ,appear,100:203:316:404:799:814:861:901:976:1067:1179:1304:1318:1389:1500,30:51:77:118:208:223:300:353:414:636:1008:1046:1591,697:721:727:730:745:769:822:825:840:845:862:881:889:898:919:1001:1007:1015:1039:1058:1061:1072:1073:1099:1158:1159:1242:1256:1281:1296:1412:1533:1536,15,13,33
16,16,25,125,bajingan,id,adjective,/badʒiŋan/,ɶyɶm,A bastard,995:1188:1284:1307:1315:1448:1464:1479,731:1241:1313:1326,842:1044:1378:1392:1415:1427:1524,8,4,7
17,17,26,127,高い,ja,adjective,/takai/,ɶɶy,high,44:46:133:179:199:215:230:245:288:308:360:369:370:496:566:761:864:922:996:1016:1031:1184,68:111:134:143:331:408:788:1123,732:750:763:783:863:869:899:952:957:963:1005:1019:1057:1062:1089:1110:1145:1148:1161:1177:1190:1219:1247:1261:1350:1387:1413:1416:1459:1467:1469:1511:1515:1521:1547:1566,22,8,36
18,18,28,129,많은,ko,adjective,/ma̠nɯn/,ɶum,Plenty,309:747:960:1090,158:515:540,623:630:733:786:890:923:1010:1064:1205:1223:1371:1537:1568,4,3,13
19,19,31,140,resanigi,eo,verb,/resanigi/,øɶyy,heal,125:234:351:785:796:895:1341:1390,20:33:65:74:110:169:227:263:295:330:358:494:512:854:1169:1243:1319:1571,604:734:735:740:777:837:894:906:941:969:973:981:1032:1070:1101:1102:1117:1124:1201:1206:1239:1264:1438,8,18,23
20,20,33,161,恥ずかしい,ja,adjective,/hazɯkaɕii/,ɶuɶyy,Embarrassing,19:25:58:125:167:197:211:234:317:351:785:796:895:1103:1341:1368:1390:1466,854:1169:1243:1319:1571,735:740:748:777:837:894:906:941:969:973:981:1032:1070:1102:1117:1124:1201:1206:1239:1264:1407:1438,18,5,22
