,request_word,request_lang,request_pos,request_ipa,request_ipa_formatted,request_word_en,response_word,response_lang,response_pos,response_ipa,response_ipa_formatted,response_word_en
0,pochen,de,verb,/ˈpɔxən/,pɔϕəm,throb,不忿,zh-cn,verb,/pu˧˥ fən˥˩/,puϕəm,Not
1,berdenyut,id,verb,/bərdəɲut/,bərbəmup,throb,Blutarmut,de,noun,/ˈbluːtaɾmut/,blupɶmup,Breeze
2,진동,ko,verb,/t͡ɕindo̞ŋ/,pϕymbom,vibration,Autodrom,de,noun,/ˈaotɔdɾom/,ɶopɔbom,Autodrome
3,고정,ko,verb,/ko̞d͡ʑʌ̹ŋ/,pobβɔm,fixing,hands-on,en,noun,/ˌhænˈzɔn/,ræmβɔm,hands-on
4,flunk,en,verb,/ˈfɫəŋk/,ϕəmp,flunk,bănci,ro,noun,/bəntʃʲ/,bəmp,bed
5,爛れる,ja,verb,/tadaɾeɾɯ/,pɶbɶøu,Be septic,빙하계류,ko,noun,/piŋɦa̠ɡje̞ɾju/,pymɶøu,Glacier mooring
6,gagal,id,verb,/gagal/,bɶbɶl,failed,Pedal,de,noun,/peˈdaːl/,pøbɶl,pedal
7,dengar,id,verb,/dəŋar/,bəmɶr,hear,almar,ro,noun,/almar/,ɶlmɶr,Almar
8,blest,en,adjective,/ˈbɫɛst/,bœϕp,blest,äst,de,verb,/ˈʔɛst/,bœϕp,aest
9,青い,ja,adjective,/aoi/,ɶoy,blue,알로기,ko,noun,/a̠ɭɭo̞ɡi/,ɶoy,Aliol
10,순간,ko,adjective,/sʰunɡa̠n/,ϕumɶm,Moment,Osman,eo,noun,/osman/,oϕmɶm,Osman
11,sekejap,id,adjective,/səkədʒap/,ϕəpəbɶp,A moment,광밥,ko,noun,/kwa̠ŋba̠p̚/,prɶmbɶp,Fiberglass
12,berbau,id,verb,/bərbau/,bərbɶu,smell,うざがる,ja,adjective,/ɯzagaɾɯ/,uβɶbɶu,Rant
13,퇴치,ko,verb,/tʰø̞t͡ɕʰi/,pøpϕy,Fading,Nazi,de,noun,/ˈnaːtsi/,mɶpϕy,Nazi
14,reeks,en,verb,/ˈɹiks/,ypϕ,reeks,iț,ro,noun,/its/,ypϕ,IT
15,gebraten,de,verb,/gəˈbrɑːtən/,bəbrɒpəm,fried,implicăm,ro,verb,/implikəm/,ymplypəm,involved
16,華々しい,ja,adjective,/hanabanaɕii/,rɶmɶbɶmɶϕyy,spectacular,겉무릎치기,ko,verb,/kʌ̹nmuɾɯp̚t͡ɕʰiɡi/,pɔmmuuppϕyy,Flooring
17,train,en,verb,/ˈtɹeɪn/,pøʏm,train,Göring,de,noun,/ˈgøːɾɪŋ/,bøʏm,Gaining
18,melatih,id,verb,/məlatih/,məlɶpyr,train,amintiri,ro,noun,/amintirʲ/,ɶmympyr,memories
19,기차,ko,verb,/kit͡ɕʰa̠/,pypϕɶ,train,deca,eo,adjective,/det͡sa/,bøpϕɶ,decent
20,desks,en,verb,/ˈdɛsks/,bœϕpϕ,desks,Dochts,de,noun,/ˈdɔxts/,bɔϕpϕ,Wick
21,책상,ko,verb,/t͡ɕʰɛ̝ks͈a̠ŋ/,pϕœpϕɶm,desk,从犯,zh-cn,verb,/tsʰʊŋ˧˥ fan˥˩/,pϕʊmϕɶm,Gain
22,타이가,ko,adjective,/tʰa̠iɡa̠/,pɶyɶ,Taiga,agriaría,es,verb,/aɣɾjaˈɾia/,ɶɶyɶ,Agriaria.
23,楽しい,ja,adjective,/tanoɕii/,pɶmoϕyy,pleasant,临时起意,zh-cn,verb,/lɪn˧˥ ʂɚ˧˥ tɕʰi˨˩˦ i˥˩/,lʏmpϕyy,Temporary
24,timbul,id,verb,/timbul/,pymbul,Embossed,gandul,es,noun,/gandul/,bɶmbul,slacker
25,出现,zh-cn,verb,/ʈʂʰu˥˥ ɕjɛn˥˩/,uϕœm,appear,야생,ko,adjective,/ja̠sʰɛ̝ŋ/,ɶϕœm,wild
26,생기다,ko,verb,/sʰɛ̝ŋɡida̠/,ϕœmybɶ,to happen,１打,ja,noun,/itɕida/,ypϕybɶ,One-way
27,生み出す,ja,verb,/ɯmidasɯ/,umybɶϕu,produce,가슬가슬,ko,noun,/ka̠sʰɯɭɡa̠sʰɯɭ/,pɶϕuɶϕu,Cassus
28,dämpfen,de,verb,/ˈdɛmpfən/,bœmpϕəm,dampen,勤奋,zh-cn,noun,/tɕʰɪn˧˥ fən˥˩/,pϕʏmϕəm,diligent
29,montiert,de,verb,/mɔnˈtiːɾt/,mɔmpyp,assembled,bespeak,en,verb,/bɪˈspik/,bʏϕpyp,bespeak
30,시장,ko,adjective,/ɕʰid͡ʑa̠ŋ/,ϕybβɶm,market,abgewaschen,de,verb,/ˈapɡəˌvaʃn̩/,ɶpəβɶm,washed
31,撒谎,zh-cn,verb,/sa˥˥ xwɑŋ˨˩˦/,ϕɶϕrɒm,lie,antoine,en,noun,/ɑntˈwɑn/,ɒmprɒm,antoine
32,웬,ko,verb,/we̞n/,røm,wen,gren,ro,noun,/ɡren/,røm,GEN.
33,memancarkan,id,verb,/məmantʃarkan/,məmɶmpɶrpɶm,emit,催泪弹,zh-cn,noun,/tsʰweɪ˥˥ leɪ˥˩ tan˥˩/,pϕrøʏløʏpɶm,Tear
34,평지,ko,adjective,/pʰjʌ̹ŋd͡ʑi/,pɔmbβy,flat,ＮＧ,ja,noun,/enɯdʑi/,ømubβy,Ng
35,mulch,en,verb,/ˈməɫtʃ/,məp,mulch,măști,ro,noun,/məʃtʲ/,məp,masks
36,覆盖,zh-cn,verb,/fu˥˩ kaɪ˥˩/,ϕupɶʏ,cover,anti,en,adjective,/ˈænˌtaɪ/,æmpɶʏ,anti
37,덫,ko,adjective,/tʌ̹t̚/,pɔp,trap,calk,en,noun,/ˈkɔk/,pɔp,calk
38,ganze,de,adjective,/ɡantsə/,ɶmpϕə,whole,boață,ro,noun,/bŏatsə/,bɶpϕə,Boat
39,seluruh,id,adjective,/səluruh/,ϕəlurur,Own,favoruri,ro,noun,/favorurʲ/,ϕɶβorur,favors
40,흥분하다,ko,verb,/xɯŋbunɦa̠da̠/,ϕumbumɶbɶ,Excitement,persuada,ro,noun,/persuwada/,pørϕurɶbɶ,persuade
41,gempa,id,verb,/gəmpa/,bəmpɶ,Earthquake,간파,ko,noun,/ka̠npʰa̠/,pɶmpɶ,detection
42,memutuskan,id,verb,/məmutuskan/,məmupuϕpɶm,deciding,chibulcutean,ro,adjective,/kʲ̩ibulkutĕan/,pybulpupɶm,Chibulutean
43,끊다,ko,verb,/k͈ɯntʰa̠/,pumpɶ,Quit,bangka,id,noun,/baŋka/,bɶmpɶ,Bangka.
44,trennen,de,verb,/ˈtʀɛnən/,pœməm,separate,ackerman,en,adjective,/ˈækɝmən/,æpməm,ackerman
45,마주,ko,verb,/ma̠d͡ʑu/,mɶbβu,Facing,ビジュー,ja,noun,/bidʑɯː/,bybβu,Bijoux
46,마무리,ko,verb,/ma̠muɾi/,mɶmuy,Wrap-up,万事如意,zh-cn,verb,/wan˥˩ ʂɚ˥˩ ʐu˧˥ i˥˩/,rɶmuy,Good luck
47,젠장,ko,verb,/t͡ɕe̞nd͡ʑa̠ŋ/,pϕømbβɶm,Damn it,erzwang,de,verb,/ʔɛːɐˈtsvaŋ/,bœɐpϕβɶm,forced
48,schreie,de,adjective,/ʃˈɾəiː/jə/,əyə,scream,aliyah,en,noun,/əˈɫiə/,əyə,aliyah
49,적자,ko,verb,/t͡ɕʌ̹k̚t͡ɕ͈a̠/,pϕɔppϕɶ,Deficit,anorexia,es,noun,/anoɾeksja/,ɶmoøpϕɶ,anorexy
50,kekacauan,id,verb,/kəkatʃauan/,pəpɶpɶuɶm,chaos,噪音污染,zh-cn,noun,/tsɑʊ˥˩ ɪn˥˥ u˥˥ ʐan˨˩˦/,pϕɒʊʏmuɶm,noise pollution
51,경찰,ko,verb,/kjʌ̹ŋt͡ɕʰa̠ɭ/,pɔmpϕɶ,police,alexa,ro,noun,/aleksa/,ɶløpϕɶ,Alexi
52,teach,en,verb,/ˈtitʃ/,pyp,teach,chip,es,verb,/tʃip/,pyp,chip
53,lehren,de,verb,/ˈleːʁən/,løβəm,to teach,așezăm,ro,noun,/aʃezəm/,ɶøβəm,sit
54,mengajar,id,verb,/məŋadʒar/,məmɶbɶr,teach,brăzdar,ro,noun,/brəzdar/,brəβbɶr,coulter
