word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
kilpailla,fi,compete,競争,/ˈkilpɑillɑ/,ybɑybɑ,yb
pistää,fi,inject,注射,/ˈpistææ/,ybææ,yb
disparar,es,shoot,シュート,/dispaɾaɾ/,ybɶɶ,yb
愉快,zh-cn,joy,喜び,/y˧˥ kʰuaɪ˥˩/,ybuɶʏ,yb
distribuir,es,to distribute,配布する,/distɾiβwiɾ/,ybbyby,yb
kilpailu,fi,competitive,競争力,/ˈkilpɑilu/,ybɑyu,yb
disfrutar,es,to enjoy,楽しむ,/disfɾutaɾ/,ybbuɶ,yb
secretive,en,secretive,秘密,/ˈsikɹətɪv/,ybəʏb,yb
silmäillä,fi,eye,目,/ˈsilmæillæ/,ybæybæ,yb
tippua,fi,drip,滴下,/ˈtippuɑ/,ybuɑ,yb
reply,en,reply,返事,/ɹiˈpɫaɪ/,ybɶʏ,yb
surveillance,fr,surveillance,監視,/syʁvɛjɑ̃s/,ybœɑb,yb
اجتماع,ar,Meeting,ミーティング,/idʒtimaːʕ/,ybyɶb,yb
للحضور,ar,To attend,出席する,/lilħudˤuːr/,ybubu,yb
istrate,ro,Istrate,イスレート,/istrate/,ybbɶø,yb
ulcérât,fr,ulcerate,潰瘍,/ylseʁɑ/,ybøɑ,yb
gütlichen,de,amicable,友好的,/ˈgyːtlɪçən/,ybʏəm,yb
yllytin,fi,stir,混ぜる,/ˈyllytin/,ybyym,yb
reprogrammed,en,reprogrammed,再プログラムされています,/ɹiˈpɹoʊˌɡɹæmd/,yboʊbæmb,yb
surpayez,fr,outline,概要,/syʁpeje/,ybøø,yb
离子键,zh-cn,Ion key,イオンキー,/li˧˥ tsɯ˨˩˦ tɕjɛn˥˩/,ybubbœm,yb
vi khuẩn học,vi,bacteria learned,学んだ細菌,/ji˧˥ xwɤ̆ŋ˧˩˨ hɔk͡p˨ˀ˩ʔ/,ybomɔbbb,yb
schieflachtet,de,slaughtered,虐殺された,/ˈʃiːflaxtət/,ybɶbəb,yb
restricted,en,restricted,制限付き,/ɹiˈstɹɪktəd/,ybbʏbəb,yb
بجلوس,ar,Sitting,座っている,/bidʒuluːs/,ybuub,yb
ískalda,is,icy,氷,/iːskʰalta/,ybbɶbɶ,yb
湿原,ja,Wetland,湿原,/ɕitsɯgeɴ/,ybuøm,yb
