word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
mengganggu,id,disturb,乱す,/məŋgaŋgu/,əmɶmu,əm
menjamin,id,ensure,確認,/məndʒamin/,əmbɶym,əm
menghilang,id,disappear,消える,/məŋhilaŋ/,əmyɶm,əm
penjualan,id,sale,セール,/pəndʒualan/,əmbuɶɶm,əm
menghibur,id,entertain,楽しませる,/məŋhibur/,əmyu,əm
mendidik,id,educate,教育する,/məndidiʔ/,əmyyb,əm
sunflower,en,sunflower,ひまわり,/ˈsənˌfɫaʊɝ/,əmbɶʊə,əm
menjaga,id,guard,ガード,/məndʒaga/,əmbɶɶ,əm
membalas,id,repay,返済,/məmbalas/,əmɶɶb,əm
mendorong,id,push,押す,/məndoroŋ/,əmoom,əm
奋斗,zh-cn,struggle,闘争,/fən˥˩ toʊ˥˩/,əmoʊ,əm
unboxing,en,unboxing,ボックス化解除,/ənˈbɔkˌsɪŋ/,əmɔbʏm,əm
măntoiu,ro,mantoiu,マントイウ,/məntoju/,əmou,əm
zăngănit,ro,clang,クラング,/zənɡənit/,əməyb,əm
忍耐,zh-cn,endure,耐える,/ʐən˨˩˦ naɪ˥˩/,əmɶʏ,əm
闷沉沉,zh-cn,Sinking,沈没,/mən˥˥ ʈʂʰən˧˥ ʈʂʰən˧˥/,əməməm,əm
pembelah,id,splitting,分割,/pəmbəlah/,əməɶ,əm
măndoiu,ro,Mandoiu,Mandoiu,/məndoju/,əmou,əm
分配,zh-cn,distribute,分配します,/fən˥˥ pʰeɪ˥˩/,əmbøʏ,əm
reniera,fr,will deny,否定します,/ʁənjəʁa/,əməɶ,əm
