request_word,request_lang,request_pos,request_ipa,request_ipa_formatted,request_word_en,response_word,response_lang,response_pos,response_ipa,response_ipa_formatted,response_word_en
homey,en,verb,/ˈhoʊmi/,oʊy,homey,仇敌,zh-cn,verb,/ʈʂʰoʊ˧˥ ti˧˥/,oʊy,Enemy
hamal,en,adjective,/ˈheɪməɫ/,øʏə,hamal,位置,zh-cn,noun,/weɪ˥˩ ʈʂɚ˥˩/,øʏə,position
발가락,ko,verb,/pa̠ɭɡa̠ɾa̠k̚/,ɶɶɶp,toes,Apparat,de,noun,/apaˈʀaːt/,ɶɶɶp,apparatus
reefs,en,verb,/ˈɹifs/,yϕϕ,reefs,Miefs,de,noun,/ˈmiːfs/,yϕϕ,Miefs
암초,ko,verb,/a̠mt͡ɕʰo̞/,ɶmpo,reef,amplió,es,verb,/aˈmpljo/,ɶmpo,large
betis,id,verb,/bətis/,əyϕ,calf,belief,de,verb,/bəˈliːf/,əyϕ,relief
仔细,zh-cn,verb,/tsɯ˨˩˦ ɕi˥˩/,puy,careful,ツイン,ja,noun,/tsɯiɴ/,puy,twin
덩어리,ko,verb,/tʌ̹ŋʌ̹ɾi/,ɔɔy,Lump,bohnomie,en,noun,/ˈbɔnɔˌmi/,ɔɔy,bonhomie
clump,en,verb,/ˈkɫəmp/,əmp,clump,bănci,ro,noun,/bəntʃʲ/,əmp,bed
rumpun,id,verb,/rumpun/,umum,Rumpun,rundún,es,verb,/runˈdun/,umum,Runduna.
旋转,zh-cn,verb,/ɕɥœn˧˥ ʈʂwan˨˩˦/,œmɶm,Rotate,냉담,ko,adjective,/nɛ̝ŋda̠m/,œmɶm,apathy
akan,id,verb,/akan/,ɶɶm,will,传染,zh-cn,noun,/ʈʂʰwan˧˥ ʐan˨˩˦/,ɶɶm,infection
발가락,ko,verb,/pa̠ɭɡa̠ɾa̠k̚/,ɶɶɶp,toes,agasat,ro,adjective,/aɡasat/,ɶɶɶp,annoyed
longgar,id,adjective,/loŋgar/,omɶr,loose,bondar,ro,noun,/bondar/,omɶr,bumble-bee
trennen,de,verb,/ˈtʀɛnən/,œəm,separate,aaron,en,adjective,/ˈɛɹən/,œəm,aaron
끊다,ko,verb,/k͈ɯntʰa̠/,umɶ,Quit,bunta,eo,noun,/bunta/,umɶ,Bunta
fatal,en,adjective,/ˈfeɪtəɫ/,øʏə,fatal,位置,zh-cn,noun,/weɪ˥˩ ʈʂɚ˥˩/,øʏə,position
fatala,eo,adjective,/fatala/,ɶɶɶ,fatal,abaka,id,noun,/abaka/,ɶɶɶ,Abaya
fatal,id,adjective,/fatal/,ɶɶl,fatal,Kanal,de,noun,/ˈkanal/,ɶɶl,channel
avant,en,adjective,/əˈvɑnt/,əɑmp,avant,benahmt,de,verb,/bəˈnɑmt/,əɑmp,soothed
tried,en,verb,/ˈtɹaɪd/,ɶʏb,tried,fasrigerer,de,adjective,/ˈfasɾɪgɐ̯ɐ̯/,ɶʏb,fascular
기한,ko,verb,/kiɦa̠n/,yɶm,deadline,乙烷,zh-cn,noun,/i˨˩˦ wan˧˥/,yɶm,Ethane
傾く,ja,verb,/katabɯkɯ/,ɶɶuu,Lean,palatului,ro,noun,/palatuluj/,ɶɶuu,palace
fight,en,verb,/ˈfaɪt/,ɶʏp,fight,Eiter,de,noun,/ˈaɪtɐ/,ɶʏp,pus
싸움,ko,verb,/s͈a̠um/,ɶum,Fight,abun,id,verb,/abun/,ɶum,Abun
튀기다,ko,verb,/tʰɥiɡida̠/,yyɶ,fry,bininya,id,noun,/biniɲa/,yyɶ,BINTER
掩う,ja,verb,/ooɯ/,oou,Shade,colodiu,ro,noun,/kolodju/,oou,collodion
flehen,de,verb,/ˈfleːən/,ϕøəm,plead,stésen,id,noun,/stesən/,ϕøəm,Stésen
데이지,ko,verb,/te̞id͡ʑi/,øyby,daisy,rezigni,eo,verb,/rezigni/,øyby,to give up
감옥,ko,verb,/ka̠mo̞k̚/,ɶop,prison,amoc,ro,verb,/amok/,ɶop,amok
誇らしい,ja,adjective,/hokoɾaɕii/,ooɶyy,proud,honorarii,eo,noun,/honorarii/,ooɶyy,Honoraii
spent,en,verb,/ˈspɛnt/,ϕœmp,spent,fremd,de,,/fʁɛmt/,ϕœmp,strange
샐비어,ko,verb,/sʰɛ̝ɭbiʌ̹/,œyɔ,sage,anymore,en,,/ˌɛniˈmɔɹ/,œyɔ,anymore
merusak,id,verb,/mərusaʔ/,əuɶb,Respondite,dărușag,ro,noun,/dəruʃaɡ/,əuɶb,Darisag
akso,eo,verb,/akso/,ɶpo,Axis,macro,ro,noun,/makro/,ɶpo,macro
축사,ko,verb,/t͡ɕʰuks͈a̠/,pupɶ,Barn,kruca,eo,verb,/krut͡sa/,pupɶ,cross
