request_word,request_lang,request_pos,request_ipa,request_ipa_formatted,request_word_en,response_word,response_lang,response_pos,response_ipa,response_ipa_formatted,response_word_en
uncut,en,noun,/ˌənˈkət/,ənə,uncut,Cremes,de,noun,/ˈtsɾəməs/,ənə,Cremes
游戏,zh-cn,noun,/joʊ˧˥ ɕi˥˩/,oʊy,game,audris,en,noun,/oʊˈdɹis/,oʊy,audris
차남,ko,noun,/t͡ɕʰa̠na̠m/,ɶnɶn,second son,Andrang,de,noun,/ˈʔanˌdɾaŋ/,ɶnɶn,Crowd
符号,ja,noun,/ɸɯgoɯ/,uou,Sign,不得不,zh-cn,verb,/pu˥˩ tɤ˧˥ pu˥˩/,uou,have to
체중,ko,noun,/t͡ɕʰe̞d͡ʑuŋ/,øun,weight,Serum,de,noun,/ˈzeːɾum/,øun,serum
fosilo,eo,noun,/fosilo/,oyo,Spade,boikot,id,noun,/boikot/,oyo,boycott
Spaten,de,noun,/ˈʃpaːtən/,ɶən,spade,下沉,zh-cn,noun,/ɕja˥˩ ʈʂʰən˧˥/,ɶən,sink
スペード,ja,noun,/sɯpeːdo/,uøo,spade,bruero,eo,noun,/bruero/,uøo,bruise
감마,ko,noun,/ka̠mma̠/,ɶnnɶ,gamma,amnar,ro,noun,/amnar/,ɶnnɶ,amnar
星际,zh-cn,noun,/ɕɪŋ˥˥ tɕi˥˩/,ʏny,interstellar,bündig,de,noun,/ˈbʏndiç/,ʏny,flush
정신,ko,noun,/t͡ɕʌ̹ŋɕʰin/,ɔnyn,mental,ameen,en,noun,/əˈmin/,ənyn,ameen
hoven,en,noun,/ˈhoʊvən/,oʊən,hoven,丢人,zh-cn,adjective,/tjoʊ˥˥ ʐən˧˥/,oʊən,Shameful
태양,ko,noun,/tʰɛ̝ja̠ŋ/,œɶn,Sun,乐团,zh-cn,noun,/ɥœ˥˩ tʰwan˧˥/,œɶn,Orchestra
ちゃんちゃん,ja,noun,/tɕaɴtɕaɴ/,ɶnɶn,Chan,aman,id,noun,/aman/,ɶnɶn,secure
kagan,en,noun,/ˈkeɪɡən/,øʏən,kagan,abbilden,de,noun,/ˈap.bɪl.dən/,ɶʏən,depict
鸡蛋,zh-cn,noun,/tɕi˥˥ tan˥˩/,yɶn,egg,Ｇジャン,ja,noun,/dʑiːdʑaɴ/,yɶn,G jean
thome,en,noun,/ˈθoʊm/,oʊn,thome,Bohrturm,de,noun,/ˈboɾtʊɾm/,oʊn,derrick
식당,ko,noun,/ɕʰik̚t͈a̠ŋ/,yɶn,Restaurant,Ｇジャン,ja,noun,/dʑiːdʑaɴ/,yɶn,G jean
diner,en,noun,/ˈdaɪnɝ/,ɶʏn,diner,abbringst,de,noun,/ˈʔapˌbrɪŋst/,ɶʏn,drag
饭店,zh-cn,noun,/fan˥˩ tjɛn˥˩/,ɶnœn,restaurant,abmessen,de,noun,/ˈʔapmɛsn̩/,ɶnœn,measure
シェル,ja,noun,/ɕieɾɯ/,yøu,shell,diréktur,id,noun,/direʔtur/,yøu,director
kawan,id,noun,/kawan/,ɶɶn,Friends,abband,de,noun,/ˈʔapˌbant/,ɶɶn,cord
vices,en,noun,/ˈvaɪsəz/,ɶʏə,vices,abbilde,de,noun,/ˈʔapˌbɪldə/,ɶʏə,depict
kebijaksanaan,id,noun,/kəbidʒaʔsanaʔan/,əyɶɶnɶɶn,wisdom,골가랑골가랑,ko,noun,/ko̞ɭɡa̠ɾa̠ŋɡo̞ɭɡa̠ɾa̠ŋ/,oɶɶnoɶɶn,Goals with goals
음료,ko,noun,/ɯmɲjo/,unno,beverage,おんも,ja,noun,/oɴmo/,onno,Too
夜明け,ja,noun,/joake/,oɶø,breaking Dawn,blocaje,ro,noun,/blokaʒe/,oɶø,bottlenecks
黎明,zh-cn,noun,/li˧˥ mɪŋ˧˥/,ynʏn,dawn,abschminkst,de,noun,/ˈʔapˌʃmɪŋkst/,ɶnʏn,drain
dämmert,de,noun,/ˈdɛmmɛɾt/,œnnœ,dusky,enmesh,en,noun,/ɛnˈmɛʃ/,œnnœ,enmesh
druido,eo,noun,/druido/,uyo,druido,ＳＣＩＤ,ja,noun,/sɯkidːo/,uyo,Scid
