word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
auswählen,de,/ˈʔaosˌvɛlən/,ɶobœəm,choose,選ぶ,dreamworks,en,/ˈdɹimˌwɝks/,œmoʊ,dreamworks,ドリーム・ワークス,to,,verb,3
sélectionner,fr,/selɛksjɔne/,øœbbɔø,select,選択する,Elektroherde,de,/ˈʔeːlɛktɾoɛɾdə/,øœbboœə,Electric herd,電気の群れ,to,œbb,verb,4
pakaian,id,/pakaian/,ɶɶyɶm,clothes,服,kanajla,eo,/kanaila/,ɶɶyɶ,rogue,ローグ,to,ɶyɶ,noun,3
衣類,ja,/iɾɯi/,yuy,clothing,衣類,trusou,ro,/trusow/,ɶbɶø,trousseau,トルソー,,,noun,3
garniture,fr,/gaʁnityʁ/,ɶbyyb,trim,トリム,آصفي,ar,/aːsˤifiː/,ɶbyy,I am described,私は説明されています,to,byy,verb,3
trimmata,fi,/ˈtrimmɑtɑ/,bymɑɑ,trim,トリム,凉面,zh-cn,/ljɑŋ˧˥ mjɛn˥˩/,ombɶʏ,Cold noodle,コールドヌードル,,,verb,3
serpihan,id,/sərpihan/,əyɶm,flakes,フレーク,căliman,ro,/kəliman/,əyɶm,Căliman,カリマン,to,yɶm,noun,3
esquema,es,/eskema/,øbøɶ,scheme,図式,rékréasi,id,/reʔreasi/,øbøɶy,Rékréasi,レクレアシ,to,bøɶ,noun,3
図式,ja,/zɯɕiki/,uyy,Diagram,図式,산업부문,ko,/sʰa̠nʌ̹p̚p͈umun/,ubøœ,Industrial,産業,,,noun,3
泥棒,ja,/doɾoboɯ/,ooou,thief,泥棒,soolojuoksu,fi,/ˈsooloˌjuoksu/,ooouobu,solo run,ソロラン,to,oou,noun,4
무너지다,ko,/munʌ̹d͡ʑida̠/,uɔbyɶ,fallen,落ちた,着即施行,zh-cn,/ʈʂuɔ˧˥ tɕi˧˥ ʂɚ˥˥ ɕɪŋ˧˥/,uɔbyəʏm,Immediately implement,すぐに実装します,to,ɔby,verb,4
romahdus,fi,/ˈromɑhdus/,oɑub,collapse,崩壊,buelow,en,/ˈbuɫoʊ/,uoʊ,buelow,ブロー,,,verb,3
銀行,ja,/giɴkoɯ/,ymou,Bank,銀行,simboluri,ro,/simbolurʲ/,ymouy,symbols,シンボル,to,mou,noun,3
evaluar,es,/eβalwaɾ/,øɶbɶ,evaluate,評価,déchargeât,fr,/deʃaʁʒa/,øɶbɶ,discharge,排出,to,ɶbɶ,verb,3
auswerten,de,/ˈʔaosˌvɛɾtən/,ɶobœəm,evaluate,評価,㾑,zh-cn,/ta˧˥/,ʏmuby,Bleak,暗い,to,,verb,3
évaluer,fr,/evalɥe/,øɶbø,assess,評価,legaste,es,/leɣaste/,øɶbø,LEGAS,レガス,to,ɶbø,verb,3
patriarca,es,/patɾjaɾka/,ɶbɶɶ,patriarch,家長,Agrarlands,de,/ˈʔagɾaɾlants/,ɶbɶɶmbb,Agricultural,農業,to,bɶɶ,noun,3
الأذين,ar,/aːlʔuðeɪn/,ɶbuøʏm,Atrium,アトリウム,다프네,ko,/ta̠pʰɯne̞/,ɶbuø,Daphne,ダフネ,to,buø,noun,3
トロンボーン,ja,/toɾoɴboːɴ/,oomom,trombone,トロンボーン,rotondo,eo,/rotondo/,oomo,rotunda,ロタンダ,to,omo,noun,3
Posaune,de,/ˈpoːzaonə/,oɶoə,trombone,トロンボーン,coc,ro,/kok/,bɶmboø,bake,焼く,,,noun,3
ungabarn,is,/uŋkapatn̥/,umɶɶbm,infant,子供,ممتقع,ar,/mumtaqaʕ/,umɶɶb,pale,青白い,to,mɶɶb,noun,3
infano,eo,/infano/,ymɶo,child,子,incaso,ro,/inkaso/,ymɶo,collection,コレクション,to,mɶo,noun,3
vastasyntynyt,fi,/ˈvɑstɑˌsyntynyt/,ɑbɑymyyb,newborn,,gólandi,is,/kouːlantɪ/,œbʏbøyʏɶ,blend,ブレンド,,,noun,5
クラウド,ja,/kɯɾaɯdo/,uɶuo,Cloud,クラウド,a-xít các-bon-nic,vi,/a˧˥-sit˦˥ kak˦˥-bɔŋ͡m˧˥-nit˧˥/,ommubbbɶbb,carbon-nic acid,炭素酸,to,,noun,3
merangsang,id,/məraŋsaŋ/,əɶmɶm,stimulate,刺激,remaniasse,fr,/ʁəmanjas/,əɶmɶb,reminiasses,reminiasses,to,ɶmɶ,verb,3
stimuler,fr,/stimyle/,byyø,stimulate,刺激,ジビエ,ja,/dʑibie/,byyø,Gibier,ジビエ,to,yyø,verb,3
المشتق,ar,/aːlmuʃtaqq/,ɶbuɶbb,derivative,デリバティブ,đá thử vàng,vi,/da˩˧ tʰɯ˧˩˨ jaŋ˦˨/,ɶbuɶm,touchstone,試金石,to,buɶ,noun,3
