word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
항공기,ko,aircraft,航空機,/ha̠ŋɡo̞ŋɡi/,ɶmomy,ɶm
samræmi,is,harmony,調和,/samraimɪ/,ɶmɶyʏ,ɶm
タンジェリン,ja,tangerine,タンジェリン,/taɴdʑieɾiɴ/,ɶmbyøym,ɶm
Hammelfleisch,de,Mammel,マメル,/ˈhammɛlflaeʃ/,ɶmœbbɶø,ɶm
양고기,ko,lamb,子羊,/ja̠ŋɡo̞ɡi/,ɶmoy,ɶm
bantalan,id,bearing,ベアリング,/bantalan/,ɶmɶɶm,ɶm
mandato,es,mandate,委任,/mandato/,ɶmɶo,ɶm
販売,ja,sale,販売,/haɴbai/,ɶmɶy,ɶm
gambaran,id,description,説明,/gambaran/,ɶmɶɶm,ɶm
ランドリー,ja,laundry,ランドリー,/ɾaɴdoɾiː/,ɶmoy,ɶm
vampíru,is,,吸血鬼,/vam̥pirʏ/,ɶmyʏ,ɶm
バンダナ,ja,bandana,バンダナ,/baɴdana/,ɶmɶɶ,ɶm
ランニング,ja,running,ランニング,/ɾaɴniɴgɯ/,ɶmymu,ɶm
犯罪,zh-cn,crime,犯罪,/fan˥˩ tsweɪ˥˩/,ɶmbbøʏ,ɶm
三色堇,zh-cn,pansy,パンジー,/san˥˥ sɤ˥˩ tɕɪn˨˩˦/,ɶmobʏm,ɶm
干渉,ja,interference,干渉,/kaɴɕoɯ/,ɶmou,ɶm
バンガロー,ja,Bungalow,バンガロー,/baɴgaɾoː/,ɶmɶo,ɶm
反発,ja,Opposition,反発,/haɴpatsɯ/,ɶmɶbu,ɶm
wahnsinnig,de,insane,非常識,/ˈvaːnˌzɪnɪç/,ɶmʏʏ,ɶm
langeto,eo,tab,タブ,/langeto/,ɶmøo,ɶm
乱雑,ja,Random,乱雑,/ɾaɴzatsɯ/,ɶmɶbu,ɶm
يمتلك,ar,Ownership,所有,/jamtalik/,ɶmɶyb,ɶm
Landwirtschaft,de,Agriculture,農業,/ˈlantvɪɾtstshaft/,ɶmbʏbbbbɶbb,ɶm
schlankester,de,slimest,スリム,/ˈʃlaŋkɛstɐ̯/,ɶmœbɐ,ɶm
منزلي,ar,My house,私の家,/manzilijj/,ɶmyy,ɶm
tantiemo,eo,Participation,参加,/tantiemo/,ɶmyøo,ɶm
lạnh như tiền,vi,as cold as money,お金のように寒い,/lan˨ˀ˩ʔ ɲɯ˧˥ tiəŋ˦˨/,ɶmbuyəm,ɶm
产业化,zh-cn,Industrialization,工業化,/ʈʂʰan˨˩˦ jɛ˥˩ xwa˥˩/,ɶmœbɶ,ɶm
氨基醇,zh-cn,Amino alcohol,アミノアルコール,/an˥˥ tɕi˥˥ ʈʂʰuən˧˥/,ɶmbyuəm,ɶm
探測,ja,Exploration,探測,/taɴsokɯ/,ɶmou,ɶm
방조범,ko,Assistant,アシスタント,/pa̠ŋd͡ʑo̞bʌ̹m/,ɶmboɔm,ɶm
单位,zh-cn,unit,単位,/tan˥˥ weɪ˥˩/,ɶmøʏ,ɶm
samningar,is,contract,契約する,/samniŋkar/,ɶmymɶ,ɶm
ينخزق,ar,Tank,タンク,/janxaziq/,ɶmɶyb,ɶm
campestres,es,Campestres,Campestres,/kampestɾes/,ɶmøbbøb,ɶm
anteví,es,I had,私は持っていた,/anteˈβi/,ɶmøy,ɶm
andaman,id,Andaman,アンダマン,/andaman/,ɶmɶɶm,ɶm
annektierst,de,annexed,付録,/ˈʔannɛkˈtiːɾst/,ɶmœbybb,ɶm
암살단,ko,Assassin,暗殺者,/a̠msʰa̠ɭda̠n/,ɶmbɶɶm,ɶm
担架床,zh-cn,Stretcher bed,ストレッチャーベッド,/tan˥˥ tɕja˥˩ ʈʂʰwɑŋ˧˥/,ɶmbbɶɑm,ɶm
șansele,ro,chances,チャンス,/ʃansele/,ɶmøø,ɶm
anchadas,es,Anchadas,アンカダ,/aɲtʃaðas/,ɶmbɶɶb,ɶm
cántabras,es,Cantabrian,カンタブリアン,/ˈkantaβɾas/,ɶmɶbɶb,ɶm
camionnettes,fr,van,バン,/kamjɔnɛt/,ɶmɔœb,ɶm
안질환,ko,Eye disease,目の病気,/a̠nd͡ʑiɾβwa̠n/,ɶmbybɶm,ɶm
panțâru,ro,Panţâru,パンアル,/pantsɨru/,ɶmbʉu,ɶm
chamoisez,fr,Chamisez,チャミゼス,/ʃamwaze/,ɶmɶø,ɶm
