word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
rotation,en,/ɹoʊˈteɪʃən/,oʊøʏəm,rotation,回転,臭美,zh-cn,/ʈʂʰoʊ˥˩ meɪ˨˩˦/,oʊøʏ,Stinky,臭い,to,ʊøʏ,noun,3
دوران,ar,/daʊaraːn/,ɶʊɶɶm,rotation,回転,hoà mục,vi,/hwa˦˨ muk͡p˨ˀ˩ʔ/,omɶomm,draw,描く,,,noun,3
rotation,fr,/ʁɔtasjɔ̃/,ɔɶbɔ,spin,スピン,Normalform,de,/ˈnɔɾmalfɔɾm/,ɔɶbɔm,Normal form,通常のフォーム,to,ɶbɔ,noun,3
rotație,ro,/rotatsije/,oɶbyø,rotation,回転,Polarflüge,de,/ˈpoːlaɾflygə/,oɶbyə,Polar flights,極飛行,to,ɶby,noun,4
rotación,es,/rotaˈθjon/,oɶbom,rotation,回転,ノーマッド,ja,/noːmadːo/,oɶbo,Normad,ノーマッド,to,ɶbo,noun,3
menepuk,id,/mənəpuʔ/,əəub,pat,パット,păhăruț,ro,/pəhəruts/,əəubb,small glass,小さなガラス,to,əub,noun,3
sesama,id,/səsama/,əɶɶ,fellow,仲間,spaltenden,de,/ˈʃpaltˌʔɛndən/,ɶbbœməm,gap,ギャップ,,,verb,3
fellow,en,/ˈfɛɫoʊ/,œoʊ,fellow,仲間,وليحاط,ar,/waliːuħaːtˤ/,ɶyuɶb,And to surround,そして囲まれます,,,verb,3
방명록,ko,/pa̠ŋmjʌ̹ŋno̞k̚/,ɶmmɔmob,guest book,ゲストブック,amniotiques,fr,/amnjɔtik/,ɶmmɔyb,amniotics,羊膜,to,mmɔ,noun,3
paradis,fr,/paʁadi/,ɶɶy,heaven,天国,management,fi,/ˈmɑnɑˌgement/,yubo,management,管理,,,noun,3
汚い,ja,/kitanai/,yɶɶy,dirty,汚い,dilatabil,ro,/dilatabil/,yɶɶyb,expansible,拡張性,to,ɶɶy,adjective,4
牛油,zh-cn,/njoʊ˧˥ joʊ˧˥/,moʊoʊ,butter,バター,muolo,en,/ˈmwoʊɫoʊ/,moʊoʊ,muolo,ムーロ,to,oʊoʊ,noun,3
orðalag,is,/ɔrðalaːɣ/,ɔɶɶ,idiom,熟語,apostropherons,fr,/apɔstʁɔfəʁɔ̃/,bɶəɔ,apostropheron,アポストロファロン,,,verb,3
cuvântare,ro,/kuvɨntare/,uʉmɶø,speech,スピーチ,元宵节,zh-cn,/ɥœn˧˥ ɕjɑʊ˥˥ tɕjɛ˧˥/,əyœmøʏ,Lantern Festival,提灯祭り,,,noun,4
paniikki,fi,/ˈpɑniikki/,ɑyyby,panic,パニック,bas-reliefs,en,/ˈbɑɹiˈɫifs/,ɑyybb,bas-reliefs,バスリリーフ,to,yyb,noun,3
パニック,ja,/panikːɯ/,ɶybu,panic,パニック,فللبص,ar,/falilbusˤˤ/,ɶybub,Let's,しましょう,to,ybu,noun,3
هلع,ar,/haliʕa/,ɶyɶ,panic,パニック,délik,id,/deliʔ/,əɶɶm,offense,攻撃,,,noun,3
قتل,ar,/qatala/,ɶɶɶ,killing,殺します,スマート・フォン,ja,/sɯmaːto ɸoɴ/,uyymy,smartphone,スマート・フォン,,,verb,3
membunuh,id,/məmbunuh/,əmuu,kill,殺す,忍不住,zh-cn,/ʐən˨˩˦ pu˧ ʈʂu˥˩/,əmuu,Unable to bear,耐えられない,to,muu,verb,3
kateellinen,fi,/ˈkɑteelˌlinen/,ɑøøbyøm,jealous,嫉妬,industrializáremos,es,/industɾjaliˈθaɾemos/,omɶbɶɶb,We will industrialize,工業化します,,,adjective,4
invidios,ro,/invidios/,ymyyob,envious,羨ましい,tỉnh uỷ viên,vi,/tin˧˩˨ wi˧˩˨ jiəŋ˧˥/,ymyyəm,Provincial Commissioner,州委員,to,myy,noun,3
bénéficiaire,fr,/benefisjɛʁ/,øøybœb,beneficiary,受益者,benefico,eo,/benefit͡so/,øøybo,Benefice,恩恵,to,øyb,noun,4
ignorer,fr,/iɲɔʁe/,yɔø,ignore,無視,살생계,ko,/sʰa̠ɭsʰɛ̝ŋɡje̞/,bɶbœmbø,Killing system,殺害システム,,,verb,3
يتجاهل,ar,/jatadʒaːhal/,ɶɶbɶɶb,Ignores,無視します,からっ風,ja,/kaɾakːaze/,ɶɶbɶø,Breeze,からっ風,to,ɶbɶ,verb,4
menepuk,id,/mənəpuʔ/,əəub,pat,パット,sărmănuț,ro,/sərmənuts/,əəubb,Sărmănuț,særmònuț,to,əub,noun,3
unbecoming,en,/ˌənbiˈkəmɪŋ/,əmyəʏm,unbecoming,心配していない,Teilabnahme,de,/ˈtaelabnɑmə/,ɶøɶbɑə,Partial acceptance,部分的な受け入れ,to,,adjective,4
epämiellyttävä,fi,/ˈepæˌmiellytˌtævæ/,øæyøbybææ,unpleasant,不快,ولتعطيس,ar,/walitaʕtˤiːs/,ɶyɶɶɶbɶm,And to be thirsty,のどが渇いていること,,,adjective,6
alee,ro,/alee/,ɶøø,alley,路地,alamaihin,fi,/ˈɑlɑˌmɑihin/,øææbø,down,下,,,noun,3
engañar,es,/eŋgaɲaɾ/,ømɶɶ,scam,詐欺,된바람,ko,/tø̞nba̠ɾa̠m/,ømɶɶm,Wind,風,to,mɶɶ,verb,3
속이다,ko,/sʰo̞ɡida̠/,boyɶ,cheat,浮気,clôturassent,fr,/klotyʁas/,boyɶb,closed,閉まっている,to,oyɶ,verb,3
