,id,word,word_vowel,word_lang,pair_id,pair_word,pair_word_vowel,pair_word_lang,type,rhyme_vowel,pos,syllable
72,5.0,말하다,äää,ko,26.0,논하다,o̞ää,ko,kyaku,ää,verb,3.0
554,26.0,논하다,o̞ää,ko,5.0,말하다,äää,ko,kyaku,ää,verb,3.0
942,57.0,취하다,iää,ko,5.0,말하다,äää,ko,kyaku,ää,verb,3.0
2073,120.0,곱하다,o̞ää,ko,5.0,말하다,äää,ko,kyaku,ää,verb,3.0
2633,146.0,자라다,äää,ko,26.0,논하다,o̞ää,ko,kyaku,ää,verb,3.0
4301,282.0,낙하산,äää,ko,26.0,논하다,o̞ää,ko,kyaku,ää,verb,3.0
4382,292.0,놀라다,o̞ää,ko,5.0,말하다,äää,ko,kyaku,ää,verb,3.0
4689,307.0,구하다,uää,ko,5.0,말하다,äää,ko,kyaku,ää,verb,3.0
6484,470.0,토하다,o̞ää,ko,5.0,말하다,äää,ko,kyaku,ää,verb,3.0
16161,1155.0,귀하다,iää,ko,5.0,말하다,äää,ko,kyaku,ää,verb,3.0
21914,1618.0,가다가,äää,ko,26.0,논하다,o̞ää,ko,kyaku,ää,verb,3.0
