word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme
طوباوي,ar,Utopian,ユートピア,/tˤuːbaːwijj/,buɶy
重大,ja,Serious,重大,/dʑɯɯdai/,buuɶy
شيطاني,ar,demonic,悪魔,/ʃeɪtˤaːnijj/,øʏbɶy
baladí,es,trivial,些細な,/balaˈði/,ɶɶy
ترابي,ar,earthy,素朴,/turaːbijj/,uɶy
أبدي,ar,everlasting,永遠に,/ʔabadijj/,ɶɶy
يرتعش,ar,Tremble,震える,/jartaʕiʃ/,ɶɶy
巨大,ja,Huge,巨大,/kjodai/,boɶy
高い,ja,high,高い,/takai/,ɶɶy
暗い,ja,dark,暗い,/kɯɾai/,uɶy
ancai,id,AF,af,/antʃai/,ɶmbɶy
canaris,fr,canary,カナリア,/kanaʁi/,ɶɶy
sómakær,is,reasonable,適正,/souːmacaiːr/,ouɶɶy
kekasih,id,beloved,愛されし者,/kəkasih/,əɶy
ébahi,/ebai/,amazed,驚いた,øɶy,fr
売れ足,/ɯɾeaɕi/,Selling foot,売れ足,uøɶy,ja
bất khả tri,/bɤ̆k˦˥ xa˧˩˨ ʈi˧˥/,impossible,無理だよ,obɶy,vi
محتمي,ar,Inevitable,避けられない,/muħtamiː/,ubɶy
rohani,/rohani/,spiritual,スピリチュアル,oɶy,id
evadí,es,I evaded,私は回避しました,/eβaˈði/,øɶy
