word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
anuncio,es,ad,広告,/anunθjo/,ɶumbo,ɶu
ranura,es,slot,スロット,/ranuɾa/,ɶuɶ,ɶu
아름다움,ko,beauty,美しさ,/a̠ɾɯmda̠um/,ɶumɶum,ɶu
ánægja,is,cheer,応援,/auːnaija/,ɶuɶyɶ,ɶu
バスト,ja,bust,バスト,/basɯto/,ɶuo,ɶu
شحم,ar,fat,太い,/ʃaħuma/,ɶuɶ,ɶu
学士,ja,Bachelor,学士,/gakɯɕi/,ɶuy,ɶu
شرف,ar,honor,名誉,/ʃarufa/,ɶuɶ,ɶu
vakuo,eo,vacuum,真空,/vakuo/,ɶuo,ɶu
saluran,id,channel,チャネル,/saluran/,ɶuɶm,ɶu
arruga,es,wrinkle,しわ,/aruɣa/,ɶuɶ,ɶu
ラフト,ja,raft,ラフト,/ɾaɸɯto/,ɶuo,ɶu
bao mua,vi,bag,バッグ,/baw˧˥ muə˧˥/,ɶuə,ɶu
ダブリー,ja,Dubry,ダブリー,/dabɯɾiː/,ɶuy,ɶu
كلغوب,ar,Koghop,Koghop,/kaluɣuːb/,ɶuub,ɶu
알부자,ko,Rich man,金持ち,/a̠ɭbud͡ʑa̠/,ɶubɶ,ɶu
assouvir,fr,quench,クエンチ,/asuviʁ/,ɶuyb,ɶu
가드레일,ko,Guardrail,ガードレール,/ka̠dɯɾe̞iɭ/,ɶuøy,ɶu
árbakka,is,riverbank,河岸,/aurpahka/,ɶuɶɶ,ɶu
katuno,eo,cotton,コットン,/katuno/,ɶuo,ɶu
capuțin,ro,Caputat,caputat,/kaputsin/,ɶubym,ɶu
ونطوع,ar,Volunteer,ボランティア,/wanutˤuːʕ/,ɶubub,ɶu
打火机,zh-cn,lighter,ライター,/ta˨˩˦ xuɔ˨˩˦ tɕi˥˥/,ɶuɔby,ɶu
alustré,es,I alustré,私はアロストレスです,/aluˈstɾe/,ɶubbø,ɶu
