word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
초보자,ko,/t͡ɕʰo̞bo̞d͡ʑa̠/,bboobɶ,Beginner,初心者,strohmeyer,en,/ˈstɹoʊmaɪɝ/,bboʊɶʏə,strohmeyer,Strohmeyer,to,bo,noun,3
aloittelija,fi,/ˈɑloitˌtelijɑ/,ɑoybøyɑ,beginner,初心者,kalorienreichsten,de,/ˈkɑːloɾiːnɾaeçstən/,ɑoymɶøbəm,most calorie,ほとんどのカロリー,to,oy,noun,5
初心者,ja,/ɕoɕiɴɕa/,oymɶ,beginner,初心者,corindon,ro,/korindon/,oymom,corundum,コランダム,to,ym,noun,3
fregată,ro,/freɡatə/,bøɶə,frigate,フリゲート,grietaras,es,/gɾjetaɾas/,bøɶɶb,Grietras,グリエトラ,to,øɶ,adjective,3
fregatti,fi,/ˈfregɑtti/,bøɑby,frigate,フリゲート,鳥打ち,ja,/toɾiɯtɕi/,oyuby,Bird of birds,鳥打ち,kyaku,by,verb,3
笑顔,ja,/egao/,øɶo,smile,笑顔,fondator,ro,/fondator/,omɶo,founder,創設者,kyaku,ɶo,noun,3
微笑,zh-cn,/weɪ˥˥ ɕjɑʊ˥˩/,øʏbɑʊ,Smile,笑顔,فيصلي,ar,/feɪsˤalijj/,øʏbɶy,Pray,祈る,to,ʏb,verb,3
zâmbitor,ro,/zɨmbitor/,ʉmyo,smiling,笑顔,Finnujo,eo,/finnuio/,ymuyo,Finnish,フィンランド語,kyaku,yo,adjective,3
ébullition,fr,/ebylisjɔ̃/,øyybɔ,boiling,沸騰,reziliat,ro,/rezilijat/,øyyɶb,dissolution,解散,to,yy,verb,4
admirer,fr,/admiʁe/,ɶbyø,admire,憧れ,雪解,ja,/jɯkige/,uyø,Snow solution,雪解,kyaku,yø,noun,3
admiri,eo,/admiri/,ɶbyy,admire,憧れ,侄女婿,zh-cn,/ʈʂɚ˧˥ ny˨˩˦ ɕy˥˩/,əyy,Niece,姪,kyaku,yy,noun,3
憧れ,ja,/akogaɾe/,ɶoɶø,longing,憧れ,ratiboisés,fr,/ʁatibwaze/,ɶybɶø,ratiboises,ratiboises,kyaku,ɶø,noun,4
钦佩,zh-cn,/tɕʰɪn˥˥ pʰeɪ˥˩/,bbʏmbøʏ,admiration,感嘆,slitinni,is,/stlɪːtɪnɪ/,bbʏʏʏ,worn,着用,to,bʏ,verb,3
mansikka,fi,/ˈmɑnsikkɑ/,ɑmybɑ,strawberry,いちご,camouflage,en,/ˈkæməˌfɫɑʒ/,æəbɑ,camouflage,迷彩,kyaku,bɑ,verb,3
strawberry,en,/ˈstɹɔˌbɛɹi/,bbɔœy,strawberry,いちご,slompaður,is,/stlɔm̥paðʏr/,bbɔmɶʏ,sweetened,甘くした,to,bɔ,verb,3
menghafal,id,/məŋhafal/,əmɶɶb,memorize,暗記,كالإرجاء,ar,/kaaːlʔirdʒaːʔ/,ɶɶbybɶb,Like delaying,遅延が好きです,kyaku,ɶb,verb,3
muistaa,fi,/ˈmuistɑɑ/,uybɑɑ,remember,覚えて,souririons,fr,/suʁiʁjɔ̃/,uybɔ,would smash,粉砕します,to,yb,verb,3
حفظ,ar,/ħafiðˤa/,ɶybɶ,save,保存,desabra,es,/desaβɾa/,øɶbɶ,unbalance,不均衡,kyaku,bɶ,verb,3
atvinnugrein,is,/aːtvɪnʏkreiːn/,ɶbʏʏbøym,line of work,仕事のライン,glucosamine,en,/ɡɫuˈkɑsəˌmin/,buɑəym,glucosamine,グルコサミン,kyaku,ym,noun,4
Sektor,de,/ˈzɛktoːɐ̯/,œboɐ,sector,セクタ,대표부,ko,/tɛ̝pʰjobu/,œbou,Representative,代表,to,bo,noun,3
セクタ,ja,/sekɯta/,øuɶ,sector,セクタ,belukar,id,/bəlukar/,əuɶ,shrub,低木,kyaku,uɶ,noun,3
laboro,eo,/laboro/,ɶoo,work,仕事,ostrogots,fr,/ɔstʁogo/,ɔbboo,ostrogots,オストロゴット,kyaku,oo,noun,3
العمل,ar,/aːlʕamal/,ɶbɶɶb,the work,作品,hát quan họ,vi,/hak˦˥ waŋ˧˥ hɔ˨ˀ˩ʔ/,ɶbɶmɔb,Sing the mandarin,マンダリンを歌います,to,bɶ,noun,3
impostor,ro,/impostor/,ymobo,impostor,詐欺師,전당표,ko,/t͡ɕʌ̹nda̠ŋpʰjo/,bɔmɶmbo,Conversion,変換,kyaku,bo,noun,3
imposteur,fr,/ɛ̃pɔstœʁ/,œɔbœb,impostor,詐欺師,que chọc lò,vi,/wɛ˧˥ cɔk͡p˨ˀ˩ʔ lɔ˦˨/,œɔbbbɔ,oven stick,オーブンスティック,to,ɔb,noun,3
huijari,fi,/ˈhuijɑri/,uyɑy,charlatan,シャーラタン,distendis,fr,/distɑ̃di/,ybɑy,distewards,Distewards,kyaku,ɑy,noun,3
比赛,zh-cn,/pi˨˩˦ saɪ˥˩/,yɶʏ,Contest,コンテスト,unaður,is,/ʏːnaðʏr/,ʏɶʏ,pleasure,喜び,kyaku,ɶʏ,noun,3
